Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Sanjiv Mahajan,Internal,"Er. Rishi Kumar, A.E. Nift, Sh. S.K. Dayal, DAO (Gr-I), Sh. Ajay Kumar Mahajan, HDM, Sh. Jiwan Singh, Supdt. Gr-II",Sanjiv Mahajan,24-Apr-2020 11:26 AM,24-Apr-2020 11:30 AM,techsummary_53471.pdf (126.85 KB),Technical,Summary,Sanjiv Mahajan,24-Apr-2020 11:21 AM,technical_53471.pdf,1.0,156653.0,NAVNEET SHARMA GOVT. CONTRACTOR,03-Apr-2020 02:30 AM,Rejected-Finance,Rate higher side,04-Jul-2020 11:45 AM,Finance,Summary,Sanjiv Mahajan,04-Jul-2020 11:39 AM,finance_53471.pdf,BOQ Comparative Chart,Sanjiv Mahajan,Internal,"Sh. Santosh Kumar Dyal, DAO Gr-I, Sh. Jiwan Singh, Supdt. Gr-II. Sh. Ajay Kumar, HDM",Sanjiv Mahajan,04-Jul-2020 11:45 AM,finsummary_53471.pdf (26.00 KB),PWD,2020_PWD_36164_17,18679-18728 dt.7.3.2020,Annual Maintenance Plan (AMP) of Gaggal Sub Division for the year 2020-21 PMGSY Rural Road Ladwara to Makroti road (HP0413VR042) km. 0/0 to 1/0 and 2/0 to 3/0,04-Jul-2020,"INR 1,618,736",30.0,Sanjiv Mahajan,04-Jul-2020 11:47 AM,Award.pdf (164.00 KB),AOC,1.0,156620.0,Rakesh Mahajan Govt Contractor,INR,"1,517,400",AOC,500.0,EE Kangra,Kangra,No,Annual Maintenance Plan (AMP) of Gaggal Sub Division for the year 2020-21 PMGSY Rural Road Ladwara to Makroti road (HP0413VR042) km. 0/0 to 1/0 and 2/0 to 3/0,(SH- P/L 30mm thick bituminous concrete in km. 0/0 to 1/0 and 2/0 to 3/0).,Please refer Tender documents. ,NA ,"16,18,736",Civil Works - Roads,NA ,Tender,120.0,30.0,items,176001.0,NA ,NA ,NA ,"Executive Engineer, HP.PWD., Division, Kangra",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F(Required only National Bank ),PWD,18679-18728 dt.7.3.2020,2020_PWD_36164_17,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,19-Mar-2020 10:00 AM,03-Apr-2020 11:30 AM,19-Mar-2020 10:00 AM,03-Apr-2020 11:00 AM,NA ,NA ,19-Mar-2020 10:00 AM,03-Apr-2020 11:00 AM,24-Apr-2020 11:30 AM,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",1.0,FDR - Fixed Deposit,"31,800",No,fixed,,EE Kangra,Kangra,AOC
,,,,,,,,,,,,2.0,156617.0,Navneet Thakur,01-Apr-2020 03:51 PM,Rejected-Finance,Rate higher side,04-Jul-2020 11:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,3.0,156602.0,pritam singh thkur,01-Apr-2020 02:05 PM,Rejected-Finance,Rate higher side,04-Jul-2020 11:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4.0,156620.0,Rakesh Mahajan Govt Contractor,01-Apr-2020 04:17 PM,Accepted-AOC,Award,04-Jul-2020 11:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,5.0,156647.0,Rohit,02-Apr-2020 11:54 PM,Rejected-Finance,Rate higher side,04-Jul-2020 11:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical staff required as per Clause 36(1(2) and 36(A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,6.0,156541.0,VP SHARMA,29-Mar-2020 05:05 PM,Rejected-Finance,Rate higher side,04-Jul-2020 11:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b and Sr. No-4 Schedule-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (Refer General Rule No-21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
