Cover No,Cover,Document Type,Description,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,1.0,DD - Demand Draft,Providing and fixing RCC Channels and fixing CC tiles to path at different places in ward no 8 Nalagarh,Providing and fixing RCC Channels and fixing CC tiles to path at different places in ward no 8 Nalagarh,Please refer Tender documents. ,NA ,"5,87,800",Civil Works,NA ,Tender,90.0,120.0,NALAGARH,174101.0,NA ,NA ,NA ,NALAGARH,No ,No,"11,800",No,fixed,,EXECUTIVE OFFICE,NALAGARH,EXECUTIVE OFFICER,EXECUTIVE OFFICER MC NALAGARH,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Nalagarh - UDDHP,1MC-NLG(6)2020-21(5),2020_UDDHP_38423_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,300.0,EXECUTIVE OFFICER,NALAGARH,No,27-Jun-2020 06:00 PM,09-Jul-2020 03:00 PM,27-Jun-2020 06:00 PM,09-Jul-2020 10:30 AM,27-Jun-2020 06:00 PM ,08-Jul-2020 05:00 PM ,27-Jun-2020 06:00 PM,09-Jul-2020 10:30 AM,14-Jul-2020 12:30 PM,AOC,18-Jul-2020,"INR 587,800",90.0,Rishabh Sharma,18-Jul-2020 01:24 PM,wn8.pdf (1282.00 KB),AWARD LETTER,Technical,BID OPENING SUMMERY,Rishabh Sharma,13-Jul-2020 04:20 PM,technical_56765.pdf,Finance,Financial bid opening Summary,Rishabh Sharma,14-Jul-2020 01:32 PM,finance_56765.pdf,BOQ Comparative Chart,1.0,166433.0,Hardeep Singh Bedi,08-Jul-2020 01:35 PM,Accepted-AOC,awarded after negotiation,18-Jul-2020 01:25 PM,Executive officer,Internal,Technical Evaluation Summary,Rishabh Sharma,14-Jul-2020 10:20 AM,14-Jul-2020 12:30 PM,techsummary_56765.pdf (127.42 KB),RISHABH SHARMA,Internal,"PRESIDENT, EXECUTIVE OFFICER, ASSISTANT ENGINEER",Rishabh Sharma,18-Jul-2020 01:15 PM,finsummary_56765.pdf (412.82 KB),1.0,166433.0,Hardeep Singh Bedi,INR,"832,958",Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Nalagarh - UDDHP,2020_UDDHP_38423_1,1MC-NLG(6)2020-21(5),Providing and fixing RCC Channels and fixing CC tiles to path at different places in ward no 8 Nalagarh,AOC
,,.pdf,The earnest money indicated in schedule F,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,166595.0,Rafia khan,09-Jul-2020 12:12 AM,Rejected-Technical,document not received,14-Jul-2020 10:20 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3.0,166579.0,rehana,08-Jul-2020 11:21 PM,Rejected-Technical,document not received,14-Jul-2020 10:20 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19 c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List of both gazetted and non-gazetted M C Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
