EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"57,500",No,fixed,,EE Nahan,Nahan,1.0,DD - Demand Draft,"C/o Additional Accommodation in GSSS, Kala-Amb, District Sirmaur (H.P.)",Construction of Five Rooms,As Per Bidding Document ,NA ,"33,04,655",Civil Works - Buildings,NA ,Tender,120.0,270.0,Nahan,173001.0,NA ,NA ,NA ,HPPWD Division Nahan,No ,No,"1,500",EE Nahan,Nahan,No,1.0,Technical,.pdf,COST OF TENDER (Indicated in Schedule F),27-May-2020 05:00 PM,04-Jun-2020 11:00 AM,27-May-2020 05:00 PM,04-Jun-2020 10:00 AM,NA ,NA ,27-May-2020 05:00 PM,04-Jun-2020 10:00 AM,08-Jun-2020 02:30 PM,Executive Engineer,Executive Engineer HPPWD Division Nahan,PWD,NAHAN 175-195,2020_PWD_37588_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,VIJAY KUMAR AGGARWAL,Internal,SUPTD DAO HDM,Vijay Kumar Aggarwal,08-Jun-2020 02:18 PM,08-Jun-2020 02:30 PM,techsummary_55396.pdf (669.93 KB),PWD,2020_PWD_37588_3,NAHAN 175-195,"C/o Additional Accommodation in GSSS, Kala-Amb, District Sirmaur (H.P.)",15-Jul-2020,"INR 3,304,655",270.0,Vijay Kumar Aggarwal,28-Jul-2020 01:16 PM,AOC_37588_3.pdf (757.00 KB),Awarded to Sh. Hemant Kumar,VIJAY KUMAR AGGARWAL,Internal,SUTD DAO HDM,Vijay Kumar Aggarwal,08-Jun-2020 04:23 PM,finsummary_55396.pdf (551.74 KB),1.0,160963.0,DINESH KUMAR GUPTA,03-Jun-2020 11:01 PM,Rejected-Technical,did not submit the documents physically,08-Jun-2020 02:18 PM,Technical,TECHNICAL SUMMARY,Vijay Kumar Aggarwal,06-Jun-2020 04:31 PM,technical_55396.pdf,1.0,160548.0,hement,INR,"4,206,482",Finance,FINANCIAL SUMMARY,Vijay Kumar Aggarwal,08-Jun-2020 04:11 PM,finance_55396.pdf,BOQ Comparative Chart,AOC
,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY (Indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,160548.0,hement,02-Jun-2020 04:38 PM,Accepted-AOC,L1,28-Jul-2020 01:17 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTOR REGISTRATION (General Rules No. 26.3),,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,160956.0,Mohan Singh,03-Jun-2020 10:25 PM,Rejected-Technical,did not submit the documents physically,08-Jun-2020 02:18 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION (General Rule No. 26.4),,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,160968.0,PREM SINGH,03-Jun-2020 11:07 PM,Rejected-Technical,did not submit the documents physically,08-Jun-2020 02:18 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK DONE AND WORK IN HAND CERTIFICATES (FOR Job No. 1 to 3 ONLY) (General Rule No. 26.5),,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5.0,160996.0,Rahul Chuhan,04-Jun-2020 09:18 AM,Rejected-AOC,L2,28-Jul-2020 01:17 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,LIST OF MACHINERY (General Rule No. 26.6),,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6.0,160984.0,YOGESH KUMAR,04-Jun-2020 07:09 AM,Rejected-Technical,did not submit the documents physically,08-Jun-2020 02:18 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM OF BID (General Rules No. 26.8),,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,UNDERTAKING (FOR Job No. 2 to 6 ONLY) (General Rule No. 28.1),,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BIDDING CAPACITY/ C.A. ANNUAL REPORT (FOR Job No. 1 ONLY) (General Rule No. 28.2),,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY IN XLS FORMAT,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
