Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
VIJAY KUMAR AGGARWAL,Internal,SUPTD DAO HDM,Vijay Kumar Aggarwal,12-Mar-2020 02:28 PM,finsummary_52350.pdf (345.07 KB),25-Jun-2020,"INR 1,905,988",120.0,Vijay Kumar Aggarwal,03-Jul-2020 02:27 PM,AOC_35662_6.pdf (830.00 KB),Awarded to Sh. Kuldeep Singh,PWD,2020_PWD_35662_6,NAHAN-11861-90,"C/o Additional Accommodation at GSSS Palion, Tehsil Nahan, Sirmaur (HP)",VIJAY KUMAR AGGARWAL,Internal,SUPTD DAO HDM,Vijay Kumar Aggarwal,12-Mar-2020 12:34 PM,12-Mar-2020 12:35 PM,techsummary_52350.pdf (621.69 KB),Technical,TECHNICAL SUMMARY,Vijay Kumar Aggarwal,05-Mar-2020 03:34 PM,technical_52350.pdf,1,151937,Amit Kumar Contractor,03-Mar-2020 02:44 PM,Rejected-Technical,did not submit the documents physically,12-Mar-2020 12:34 PM,Finance,FINANCIAL SUMMARY,Vijay Kumar Aggarwal,12-Mar-2020 02:19 PM,finance_52350.pdf,BOQ Comparative Chart,1.0,152550.0,kuldeep singh,INR,"2,663,377",AOC,Executive Engineer,"Executive Engineer, HPPWD Division Nahan",PWD,NAHAN-11861-90,2020_PWD_35662_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,27-Feb-2020 05:00 PM,05-Mar-2020 11:00 AM,27-Feb-2020 05:00 PM,05-Mar-2020 10:00 AM,NA ,NA ,27-Feb-2020 05:00 PM,05-Mar-2020 10:00 AM,12-Mar-2020 12:35 PM,"36,500",No,fixed,,EE Nahan,Nahan,"C/o Additional Accommodation at GSSS Palion, Tehsil Nahan, Sirmaur (HP)","C/o Examination Hall with Verandah, Stair Case and Mumty",As Per Bidding Document ,NA ,"19,05,988",Civil Works - Buildings,NA ,Tender,120.0,120.0,Nahan,173001.0,NA ,NA ,NA ,HPPWD Division Nahan,No ,No,500.0,EE Nahan,Nahan,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER (INDICATED IN SCHEDULE F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,152487,Ashwani kumar,04-Mar-2020 02:46 PM,Rejected-Technical,did not submit the documents physically,12-Mar-2020 12:34 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY (INDICATED IN SCHEDULE F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,152582,Bhupender Chauhan,04-Mar-2020 05:34 PM,Rejected-AOC,L2,03-Jul-2020 02:27 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION (GENERAL RULES NO. 23),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,152620,FAREED HASHMI,04-Mar-2020 07:46 PM,Rejected-Technical,did not submit the documents physically,12-Mar-2020 12:34 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION (GENERAL RULE NO. 21),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,152646,Gian Singh Chauhan,04-Mar-2020 09:02 PM,Rejected-Technical,did not submit the documents physically,12-Mar-2020 12:34 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,LIST OF MACHINERY (GENERAL RULE NO. 26.6),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,152550,kuldeep singh,04-Mar-2020 04:21 PM,Accepted-AOC,L1,03-Jul-2020 02:27 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,UNDERTAKING (GENERAL RULE NO. 28.1),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,152622,MANISH CHAUHAN,04-Mar-2020 08:23 PM,Rejected-Technical,did not submit the documents physically,12-Mar-2020 12:34 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY IN XLS FORMAT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,152618,mohan,04-Mar-2020 08:06 PM,Rejected-Technical,did not submit the documents physically,12-Mar-2020 12:34 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,152686,narpat singh,05-Mar-2020 01:00 AM,Rejected-Technical,did not submit the documents physically,12-Mar-2020 12:34 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,152317,Pratap Singh,04-Mar-2020 12:31 PM,Rejected-Technical,did not submit the documents physically,12-Mar-2020 12:34 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
