Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar Distt. Hamirpur H.P.,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,"1,38,000",No,fixed,,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,PWD,C/O link road from Jansooh to Majra,2020_PWD_36141_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,C/O link road from Jansooh to Majra km. 0/0 to 2/060,"ROFD for 5/7 mtr.wide road,R/wall , C.D., Soling, wearing andTarring, Drain and Parapets in between km. 0/0 to 2/060 Under NABARD RIDF-XXV",Please refer Tender documents. ,NA ,"1,05,48,729",Civil Works - Roads,NA ,Tender,120.0,270.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,"5,000",Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,No,1.0,Deadline for submission of Bids is 05-05-2020,Date,,12-Mar-2020 10:30 AM,05-May-2020 11:00 AM,12-Mar-2020 10:30 AM,05-May-2020 10:30 AM,NA ,NA ,12-Mar-2020 10:30 AM,05-May-2020 10:30 AM,11-May-2020 10:30 AM,AOC,EE,Internal,supdt HDM DAO,Pramod Kashyap,08-May-2020 05:59 PM,11-May-2020 10:30 AM,techsummary_53221.pdf (616.53 KB),PWD,2020_PWD_36141_1,C/O link road from Jansooh to Majra,C/O link road from Jansooh to Majra km. 0/0 to 2/060,17-Jul-2020,"INR 10,548,729",270.0,Anil Kumar Sharma,17-Jul-2020 03:49 PM,awardjansooh.pdf (959.00 KB),C/O link road from Jansooh to Majra km. 0/0 to 2/060,EE,Internal,Supdt HDM DAO,Pramod Kashyap,11-May-2020 05:13 PM,finsummary_53221.pdf (147.99 KB),1.0,157569.0,Rohit,INR,"13,288,008",Finance,fin bid,Pramod Kashyap,11-May-2020 05:11 PM,finance_53221.pdf,BOQ Comparative Chart,1.0,157583.0,RAMAN KUMAR,05-May-2020 08:10 AM,Rejected-Finance,l 2,11-May-2020 05:13 PM,Technical,bid opening summary,Pramod Kashyap,05-May-2020 02:37 PM,technical_53221.pdf,AOC
,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,2.0,extended Deadline for submission of Bids,Other,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,157569.0,Rohit,05-May-2020 09:32 AM,Accepted-AOC,L 1,17-Jul-2020 03:49 PM,,,,,,AOC
,,,,.pdf,contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Similar Work done certificate ( Only Completed work ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,"G.S.T. No.with latest clearance return, EPF No. with latest clearance return,Labour Licence, Pan Car",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,List of machinery tool plant with ownership documents/Aff. Magistrate/Notary (Plant and paver must b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Aff. that the information submitted by the bidder is true and correct (Magistrate/Notary),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,"Work in hand certificate duly countersigned by the Engineer in charge, not below the rank of an E.E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Last five Year Turn over duly signed by the CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29(Magistrate/Notary),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
