Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
EXECUTIVE OFFICER,EXE3CUTIVE OFFICER MC NALAGARH,"12,100",No,fixed,,EXECUTIVE OFFICER,NALAGARH,27-Jun-2020 06:00 PM,09-Jul-2020 03:00 PM,27-Jun-2020 06:00 PM,09-Jul-2020 10:30 AM,27-Jun-2020 06:00 PM ,08-Jul-2020 05:00 PM ,27-Jun-2020 06:00 PM,09-Jul-2020 10:30 AM,14-Jul-2020 12:30 PM,Construction of Nallah and providing CC tiles to steps toward Bihari colony in ward no 9 Nalagarh,Construction of Nallah and providing CC tiles to steps toward Bihari colony in ward no 9 Nalagarh,Please refer Tender documents. ,NA ,"6,02,700",Civil Works,NA ,Tender,90.0,120.0,NALAGARH,174101.0,NA ,NA ,NA ,NALAGARH,No ,No,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Nalagarh - UDDHP,1MC-NLG(6)2020-21(4),2020_UDDHP_38425_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,300.0,EXECUTIVE OFFICER,NALAGARH,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,AOC,Technical,BID OPENING SUMMERY,Rishabh Sharma,13-Jul-2020 04:22 PM,technical_56770.pdf,Finance,Financial bid opening Summary,Rishabh Sharma,14-Jul-2020 01:33 PM,finance_56770.pdf,BOQ Comparative Chart,18-Jul-2020,"INR 602,700",90.0,Rishabh Sharma,18-Jul-2020 06:34 PM,wn9.pdf (1078.00 KB),AWARD LETTER,1.0,166499.0,IRSHAD KHAN,08-Jul-2020 03:56 PM,Accepted-AOC,AWARDED AFTER NEGOTIATION,18-Jul-2020 06:34 PM,Executive Officer,Internal,Technical Evaluation Summary,Rishabh Sharma,14-Jul-2020 10:16 AM,14-Jul-2020 12:30 PM,techsummary_56770.pdf (126.05 KB),RISHABH SHARMA,Internal,"PRESIDENT, EXECUTIVE OFFICER, ASSISTANT ENGINEER",Rishabh Sharma,18-Jul-2020 06:28 PM,finsummary_56770.pdf (364.28 KB),Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Nalagarh - UDDHP,2020_UDDHP_38425_1,1MC-NLG(6)2020-21(4),Construction of Nallah and providing CC tiles to steps toward Bihari colony in ward no 9 Nalagarh,1.0,166499.0,IRSHAD KHAN,INR,"715,552",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,.pdf,The earnest money indicated in schedule F,AOC,,,,,,,,,,,,,,,,,,,2.0,166550.0,Sh. Bhupinder Singh Badi S/o Sh. Kishan Singh,08-Jul-2020 07:20 PM,Rejected-Finance,L2 REJECTED,18-Jul-2020 06:29 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19 c,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted M C Employees related to him General Rule No. 16,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
