Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Sanjiv Mahajan,Internal,"Er. Rishi Kumar, A.E., Sh. S.K. Dayal (DAO) (Gr-I), Sh. Ajay Kumar Mahajan, HDM, Sh. Jiwan Singh, Supdt. (Gr-II)",Sanjiv Mahajan,22-Apr-2020 01:49 PM,22-Apr-2020 01:50 PM,techsummary_53466.pdf (115.79 KB),Technical,Summary,Sanjiv Mahajan,22-Apr-2020 01:47 PM,technical_53466.pdf,1.0,156611.0,Navneet Thakur,01-Apr-2020 03:06 PM,Accepted-AOC,Award,04-Jul-2020 11:58 AM,Finance,Summary,Sanjiv Mahajan,04-Jul-2020 11:53 AM,finance_53466.pdf,BOQ Comparative Chart,Sanjiv Mahajan,Internal,"Sh. Santosh Kumar Dyal, DAO Gr-I, Sh. Jiwan Singh, Supdt. Gr-II. Sh. Ajay Kumar, HDM",Sanjiv Mahajan,04-Jul-2020 11:57 AM,finsummary_53466.pdf (25.06 KB),PWD,2020_PWD_36164_14,18679-18728 dt.7.3.2020,Annual Maintenance Plan (AMP) of Lunj Sub Division for the year 2020-21 Rural Road Bassi Gharh Dadoli Har Salari road (HP0406VR135) km. 0/0 to 1/0 and 1/0 1/060,04-Jul-2020,"INR 2,462,451",30.0,Sanjiv Mahajan,04-Jul-2020 11:58 AM,Award.pdf (168.00 KB),AOC,1.0,156611.0,Navneet Thakur,INR,"2,673,766",AOC,500.0,EE Kangra,Kangra,No,19-Mar-2020 10:00 AM,03-Apr-2020 11:30 AM,19-Mar-2020 10:00 AM,03-Apr-2020 11:00 AM,NA ,NA ,19-Mar-2020 10:00 AM,03-Apr-2020 11:00 AM,22-Apr-2020 01:50 PM,Annual Maintenance Plan (AMP) of Lunj Sub Division for the year 2020-21 Rural Road Bassi Gharh Dadoli Har Salari road (HP0406VR135) km. 0/0 to 1/0 and 1/0 1/060,"(SH P/L 30mm thick bituminous concrete in km. 0/0 to 1/0 and 1/0 to 1/060), Rural Road Dehrian Upper Tiara (HP0406VR136) km. 0/0 to 1/0 (SH P/L 25mm thick bituminous concrete in km. 0/0 to 1/0) and Rural Road Link road to Harizan Basti Tarkhankar (HP",Please refer Tender documents. ,NA ,"24,62,451",Civil Works - Roads,NA ,Tender,120.0,30.0,items,176001.0,NA ,NA ,NA ,"Executive Engineer, HP.PWD., Division, Kangra",No ,No,"44,450",No,fixed,,EE Kangra,Kangra,1.0,FDR - Fixed Deposit,PWD,18679-18728 dt.7.3.2020,2020_PWD_36164_14,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F(Required only National Bank ),"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",AOC
,,,,,,,,,,,,2.0,156599.0,pritam singh thkur,01-Apr-2020 01:52 PM,Rejected-Finance,Rate higher side,04-Jul-2020 11:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical staff required as per Clause 36(1(2) and 36(A),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of litigation case,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b and Sr. No-4 Schedule-D,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (Refer General Rule No-21),,,AOC
