Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
29-Jul-2020,"INR 308,504",120.0,Rattan Kumar Sharma,29-Jul-2020 10:32 AM,16.pdf (2615.00 KB),AOC,Executive Engineer,Internal,Superintendent G-II DAO DHD Tender Assistant,Rattan Kumar Sharma,29-Jul-2020 10:30 AM,finsummary_56128.pdf (220.32 KB),Executive Engineer,Internal,Superintendent G-II HDM DAO,Rattan Kumar Sharma,06-Jul-2020 03:27 PM,06-Jul-2020 04:00 PM,techsummary_56128.pdf (786.72 KB),PWD,2020_PWD_38093_2,980-1030 dated 01.06.2020,Restoration of rain Damages on various roads under Renuka Sub-Division HPPWD Renuka,Technical,SUMMARY,Rattan Kumar Sharma,02-Jul-2020 10:09 AM,technical_56128.pdf,1.0,165146.0,Hunar Singh,28-Jun-2020 04:11 PM,Rejected-Finance,L5,29-Jul-2020 10:31 AM,1.0,165257.0,JAIPAL THAKUR CONTARCTOR,INR,"286,160",Finance,SUMMARY,Rattan Kumar Sharma,09-Jul-2020 12:22 PM,finance_56128.pdf,BOQ Comparative Chart,AOC,15-Jun-2020 05:00 PM,30-Jun-2020 11:30 AM,15-Jun-2020 05:00 PM,29-Jun-2020 05:00 PM,NA ,NA ,15-Jun-2020 05:00 PM,29-Jun-2020 05:00 PM,06-Jul-2020 04:00 PM,Restoration of rain Damages on various roads under Renuka Sub-Division HPPWD Renuka,Hiring of JCB for removal of slips),Please refer Tender documents. ,NA ,"3,08,504",Civil Works,NA ,Tender,90.0,120.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,PWD,980-1030 dated 01.06.2020,2020_PWD_38093_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"6,200",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",Sangrah,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",1.0,DD - Demand Draft,350.0,"Executive Engineer, HPPWD Division Sangrah",Sangrah,No,1.0,Fee/PreQual/Technical,.pdf,26.1. COST OF TENDER,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,165257.0,JAIPAL THAKUR CONTARCTOR,29-Jun-2020 02:51 PM,Accepted-AOC,AOC,29-Jul-2020 10:33 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,.pdf,26.2.EARNEST MONEY,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,164887.0,Khajan Singh,26-Jun-2020 12:13 PM,Rejected-Finance,L2,29-Jul-2020 10:31 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.3.CONTRACTORS REGISTRATION,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,165204.0,Som Prakash,29-Jun-2020 12:52 PM,Rejected-Finance,L3,29-Jul-2020 10:31 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.4.GST REGISTRATION,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,165147.0,SURINDER KUMAR,28-Jun-2020 04:22 PM,Rejected-Finance,L4,29-Jul-2020 10:31 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"26.6. LIST OF MACHINERY ,TOOL,PLANT",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.7. FORM NO 8,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof to registration under Employees Provident Funds,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,UNDERTAKING THAT CONTRACTOR SHOULD NOT HAVE MORE THAN TWO CONTRACTS AT A TIME EACH OF RS. 02.00 LACS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,26.7 BILL OF QUANTITY,AOC
