EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"1,50,000",No,fixed,,Managing Director,"HPMC HO 3rd Floor, Nigam Vihar Shimla-2",1.0,Fee/PreQual/Technical,.pdf,Scanned Copy of Tender Documents Fee and EMD in shape of DD.,HP Horticultural Produce Marketing and Processing Corporation Ltd.,HPMC/MKT/TPT-2020,2020_HPMC_38161_1,Yes,Open Tender,Item Wise,Services,2.0,No,Yes,Offline,No,No,No,17-Jun-2020 01:00 PM,10-Jul-2020 03:00 PM,17-Jun-2020 02:00 PM,10-Jul-2020 01:00 PM,NA ,NA ,17-Jun-2020 03:00 PM,10-Jul-2020 01:00 PM,13-Jul-2020 04:30 PM,"3,000",Managing Director,"HPMC HO 3rd Floor, Nigam Vihar Shimla-2",No,1.0,DD - Demand Draft,Managing Director,"HPMC HO 3rd Floor, Nigam Vihar Shimla-2",1.0,Date-Extended,Date,,TRANSPORTATION AND HANDLING,e-tender is invited from Transporters/Truck Operator Unions (Regd.) for Handling and Carriage/Transportation of 35 kg bags of apple to be procured by HPMC under Market Intervention Scheme(MIS- 2020),Please refer Tender documents. ,NA ,"3,00,00,000",Miscellaneous Services,TRANSPORTATION AND HANDLING  ,Tender,180.0,103.0,Sector-1 to 6,171002.0,NA ,NA ,NA ,Shimla,No ,No,AOC,1.0,164595.0,SAINJ THEOG TRANSPORT CO,INR,380.0,16-Jul-2020,"INR 30,000,000",133.0,Dharam Singh Negi,16-Jul-2020 10:58 AM,AOC-TPT.pdf (2053.00 KB),Award of Contract.,HP Horticultural Produce Marketing and Processing Corporation Ltd.,2020_HPMC_38161_1,HPMC/MKT/TPT-2020,TRANSPORTATION AND HANDLING,"Dr. Bhuwan Sharma, HPAS, GM- HPMC",Internal,"GM,HPMC GM,HIMFED, AC and FA, HIMUDA, AO, HPMC, AMO, HPMC",Dharam Singh Negi,15-Jul-2020 05:27 PM,finsummary_56292.pdf (620.33 KB),Finance,Please refer to attached summary document.,Dharam Singh Negi,15-Jul-2020 04:42 PM,finance_56292.pdf,BOQ Comparative Chart,1,166303,AVIATE ENTERPRISES,08-Jul-2020 06:48 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,13-Jul-2020 03:42 PM,"Dr. Bhuwan Sharma, HPAS, GM- HPMC",Internal,GM HPMC JD Horticulture GM HIMFED Asst. Controller HIMUDA AO HPMC AMO HPMC,Dharam Singh Negi,13-Jul-2020 03:57 PM,13-Jul-2020 04:30 PM,techsummary_56292.pdf (763.90 KB),Technical,"Tender was opened on 10th July, 2020, 3 PM in the presence of committee members. Twelve parties have participated in the tender. The documents required were checked and out of twelve parties only six parties were found in order.",Dharam Singh Negi,13-Jul-2020 03:41 PM,technical_56292.pdf,AOC
,,,,,,,,.pdf,ITR for FY2018-19 However the same shall not be applicable for new Transporters/ Unions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,165128.0,PAL TRANSPORT,INR,636.0,,,,,,,,,,,,,,,,,,,,,,,,2,166747,BHUPENDER KUMAR,10-Jul-2020 11:13 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,13-Jul-2020 03:42 PM,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Documents in support of Transporters/ Truck Operator Unions (Regd.).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,165443.0,MEHAR CHAND THAKUR,INR,987.0,,,,,,,,,,,,,,,,,,,,,,,,3,166737,DIGITAL SERVICES SOLUTIONS,10-Jul-2020 09:50 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,13-Jul-2020 03:42 PM,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Copy of GST Number and PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,166711.0,THE JUBBAL TEHSIL TRANSPORT COOPERATIVE SOOCIETY LTD.,INR,393.0,,,,,,,,,,,,,,,,,,,,,,,,4,163352,KAMAL TRANSLINK PRIVATE LIMITED,10-Jul-2020 11:22 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,13-Jul-2020 03:42 PM,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Authorization of Owners confirming association of 75 Trucks with Transporter/ Truck Operator Unions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,165443,MEHAR CHAND THAKUR,09-Jul-2020 07:23 PM,Accepted-AOC,L1 in 5 Sectors.,16-Jul-2020 10:59 AM,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Other Supporting Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,166690,M/S SAWANT ROAD LINE,09-Jul-2020 05:20 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,13-Jul-2020 03:42 PM,,,,,,,,,,,,,AOC
,,,,,,2.0,Finance,.xls,BOQ( Financial Bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,166724,M/s Truck Operator Union Rohru,09-Jul-2020 07:44 PM,Rejected-Finance,L3 in 3 Sectors and L2 in 5 Sectors.,15-Jul-2020 05:28 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,165128,PAL TRANSPORT,10-Jul-2020 10:27 AM,Accepted-AOC,L1 in 3 Sectors.,16-Jul-2020 10:59 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,166337,PANKAJ CHAUHAN GOVT. CONTRACTOR,10-Jul-2020 12:36 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,13-Jul-2020 03:42 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,164595,SAINJ THEOG TRANSPORT CO,10-Jul-2020 12:46 PM,Accepted-AOC,L1 in 2 Sectors.,16-Jul-2020 10:59 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,165101,SAMAST TRUCK OP UNION SAINJ,09-Jul-2020 07:01 PM,Rejected-Finance,L2 in 2 Sectors.,15-Jul-2020 05:28 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,166711,THE JUBBAL TEHSIL TRANSPORT COOPERATIVE SOOCIETY LTD.,09-Jul-2020 06:48 PM,Accepted-AOC,L1 in 2 Sectors.,16-Jul-2020 10:59 AM,,,,,,,,,,,,,AOC
