Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
01-Jul-2020,"INR 137,565,860",545.0,Ajay Kumar Soni,02-Jul-2020 10:56 AM,35447-1.pdf (559.00 KB),AOC,ER.A.K.SONI,Internal,Sh.G.R.Thakur Sh.R.L.Sharma. Sh.R.S.Thakur.,Ajay Kumar Soni,13-Mar-2020 11:54 AM,finsummary_52084.pdf (226.24 KB),ER.A.K.SONI,Internal,Sh.G.R.Thakur Sh.R.L.Sharma. Sh.R.S.Thakur.,Ajay Kumar Soni,13-Mar-2020 10:52 AM,13-Mar-2020 11:00 AM,techsummary_52084.pdf (266.66 KB),PWD,2020_PWD_35447_1,SD-III-CB-TENDER/2019-20-28077 dated 15-02-2020,"Construction of Smart footpath Sanjauli chowk to IGMC Shimla. (SH- Civil, Plumbing and Horticulture work and Entry Structures building portion smart city road etc. under Shimla Smart City Project.)",1.0,Tender Revocation,Bid opening summary posted,11-Mar-2020 03:14 PM,Smartcity.pdf ,206.64,Technical Opening,Technical,Bid opening summary,Pradeep Kumar Bhardwaj,11-Mar-2020 03:18 PM,technical_52084.pdf,1.0,153693.0,Ajay Kumar Sood Engineers and Contractors,09-Mar-2020 03:25 PM,Rejected-AOC,L6,02-Jul-2020 10:56 AM,Finance,Bid opening summary,Ajay Kumar Soni,13-Mar-2020 11:48 AM,finance_52084.pdf,BOQ Comparative Chart,1.0,153679.0,P K Construction Shimla Pvt Ltd,INR,"149,672,635",AOC,PWD,SD-III-CB-TENDER/2019-20-28077 dated 15-02-2020,2020_PWD_35447_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3),"5,000","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",Shimla,No,1.0,DD - Demand Draft,"5,00,000",No,fixed,,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",Shimla,"Construction of Smart footpath Sanjauli chowk to IGMC Shimla. (SH- Civil, Plumbing and Horticulture work and Entry Structures building portion smart city road etc. under Shimla Smart City Project.)","Construction of Smart footpath Sanjauli chowk to IGMC Shimla. (SH- Civil, Plumbing and Horticulture work and Entry Structures building portion smart city road etc. under Shimla Smart City Project.)",As per bidding documents ,NA ,"13,75,65,860",Civil Works,NA ,Tender,120.0,545.0,"IGMC, Sanjauli.",171001.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",24-Feb-2020 05:00 PM,11-Mar-2020 11:00 AM,24-Feb-2020 05:00 PM,09-Mar-2020 05:00 PM,NA ,NA ,24-Feb-2020 05:00 PM,09-Mar-2020 05:00 PM,13-Mar-2020 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,153584.0,Atul Sharma,08-Mar-2020 07:58 PM,Rejected-AOC,L4,02-Jul-2020 10:56 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Earnest Money as per schedule F (6.5),,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,153564.0,gurcharan ind,08-Mar-2020 05:57 PM,Rejected-AOC,L2,02-Jul-2020 10:56 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,153679.0,P K Construction Shimla Pvt Ltd,09-Mar-2020 03:03 PM,Accepted-AOC,L1,02-Jul-2020 10:56 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,153629.0,rajesh kumar suman,09-Mar-2020 02:41 PM,Rejected-AOC,L5,02-Jul-2020 10:56 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Sales tax registration as per General Rule No 21 (in H.P.) Copy of Tin No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,153645.0,Tenzin Construction Co. Pvt. Ltd.,09-Mar-2020 12:43 PM,Rejected-AOC,L3,02-Jul-2020 10:56 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
