Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Finance,"CONTRACT AWARDED WITH THE PERMISSION OF UD SECRETARY AND DIRECTOR UD RUPEES 2,29,75,111.60",Tej Singh Thakur,25-Jul-2020 03:50 PM,finance_47476.pdf,BOQ Comparative Chart,Technical,TECHNICALLY BID ACCEPTED,Tej Singh Thakur,24-Dec-2019 11:40 AM,technical_47476.pdf,25-Jul-2020,"INR 22,975,111.6",180.0,Tej Singh Thakur,25-Jul-2020 04:43 PM,LatestAWARDletter.pdf (803.00 KB),CONTRACT AWARDED WITH THE PERMISSION LETTER OF UD SECRETARY AND UD DIRECTOR,VICEPRESIDENTGOPALKISHANMAHANT,Internal,VPRESIDENTGOPALKISHANMAHANTEOMCKULLUDRAUGHTSMAN,Tej Singh Thakur,24-Dec-2019 11:45 AM,24-Dec-2019 11:55 AM,techsummary_47476.pdf (189.98 KB),1.0,138867.0,amit kumar seth,05-Dec-2019 06:16 PM,Accepted-AOC,LI,25-Jul-2020 04:44 PM,1.0,138867.0,amit kumar seth,INR,"22,975,111.6",Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Kullu - UDDHP,2019_UDDHP_32962_1,MCK/TEND/19/106,Development Of Monal Cafe Parking at Dhalpur.,V.P GOPAL KISHAN MAHANT,Internal,V.P GOPAL KISHAN MAHANT EO MITTER DEV ME TEJSINGH THAKUR DM JIWANAND THAKUR.,Tej Singh Thakur,25-Jul-2020 04:17 PM,finsummary_47476.pdf (196.61 KB),AOC,Development Of Monal Cafe Parking at Dhalpur.,Development Of Monal Cafe Parking at Dhalpur.,Please refer Tender documents. ,NA ,"1,54,30,341",Civil Works,NA ,Tender,180.0,NA ,KULLU,175101.0,MC KULLU ,MC KULLU. ,02-Dec-2019 03:00 PM ,MC KULLU,No ,No,500.0,EO MC KULLU,MC KULLU,No,1.0,DD - Demand Draft,29-Nov-2019 11:00 AM,06-Dec-2019 03:30 PM,29-Nov-2019 11:00 AM,06-Dec-2019 02:00 PM,29-Nov-2019 11:00 AM ,06-Dec-2019 11:00 AM ,29-Nov-2019 11:30 AM,06-Dec-2019 02:00 PM,24-Dec-2019 11:55 AM,1,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Kullu - UDDHP,MCK/TEND/19/106,2019_UDDHP_32962_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"3,08,607",No,fixed,,EO MC KULLU,MC KULLU,EO MC KULLU,EO MC KULLU,1.0,Fee/PreQual/Technical,.pdf,ITB,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,138996.0,Suket Construction Co. Pvt. Ltd.,06-Dec-2019 09:07 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Dec-2019 11:40 AM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,2,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Specifications,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,,,,,,,,3,Certificate Details ,Income Tax Certificate ,Income Tax Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Notice,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee,,,,,,,,,,4,Certificate Details ,Labour License ,Labour License ,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Drawing,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit,,,,,,,,,,5,Financial Details ,Annual Turn Over Details ,Annual Turn Over Details ,HP_Turnover.xls,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Boq,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Financial Details ,P/ L and Balance Sheet 2007-2008 ,P/ L and Balance Sheet 2007-2008 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Financial Details ,P/ L and Balance Sheet 2008-2009 ,P/ L and Balance Sheet 2008-2009 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Financial Details ,P/ L and Balance Sheet 2009-2010 ,P/ L and Balance Sheet 2009-2010 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Litigation Details ,Litigation Details ,Litigation Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
