Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Technical,BOS,Chaman Singh,08-May-2020 04:23 PM,technical_54239.pdf,1.0,157671.0,A.A. ENTREPRENEURS,05-May-2020 02:12 PM,Accepted-AOC,Found lowest,25-Jul-2020 05:08 PM,Finance,FBOS,Chaman Singh,12-May-2020 05:39 PM,finance_54239.pdf,BOQ Comparative Chart,1.0,157671.0,A.A. ENTREPRENEURS,INR,"3,636,053",Superintending Engineer 1st Circle HPPWD Mandi,Internal,Executive Engineer (D) 1st Circle Mandi Executive Engineer Sundernagar Division C.H.D. 1st Circle Mandi Supdt (works) 1st Circle,Chaman Singh,25-Jul-2020 05:04 PM,finsummary_54239.pdf (6409.30 KB),25-Jul-2020,"INR 3,636,053",90.0,Chaman Singh,25-Jul-2020 05:07 PM,AOCPunghGhangnoo5to8.pdf (6409.00 KB),AOC issued after negotiation,PWD,2020_PWD_36738_1,PW-SNR-CB-E-Tender/19-199-206 dt 16.04.2020,Annual Surfacing on Pungh Ghangnoo road KM 5/0 to 8/0(PMGSY),Er. D R Chauhan Executive Engineer,Internal,ER N R Chandel A E Suket DAO Gr-I HDM Supdt Gr-II,Chaman Singh,08-May-2020 04:26 PM,08-May-2020 04:35 PM,techsummary_54239.pdf (1260.48 KB),AOC,PWD,PW-SNR-CB-E-Tender/19-199-206 dt 16.04.2020,2020_PWD_36738_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,25-Apr-2020 05:00 PM,06-May-2020 11:00 AM,25-Apr-2020 05:00 PM,05-May-2020 06:00 PM,NA ,NA ,25-Apr-2020 05:20 PM,05-May-2020 06:00 PM,08-May-2020 04:35 PM,"1,500",EE Sundernagar,Sundernagar,No,1.0,DD - Demand Draft,"51,000",No,fixed,,EE Sundernagar,Sundernagar,Annual Surfacing on Pungh Ghangnoo road KM 5/0 to 8/0(PMGSY),"SH Providing and laying 30mm thick bituminous concrete including profile correction layer, V-shape drain and road marking in KM 5/0 to 8/0.",AS per bid document ,NA ,"28,89,408",Civil Works,Tarring ,Tender,120.0,90.0,Sundernagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,Executive Engineer,O/O Executive Engineer Sunder Nagar Division HPPWD,AOC
,,,,,2.0,157677.0,S.A ASSOCIATE,05-May-2020 02:43 PM,Rejected-AOC,Not Foudn lowest,25-Jul-2020 05:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Affidavit/ undertaking that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
