S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
1.0,156075.0,M/S STRIKER & BROS,INR,"48,069,479",Finance,Bid opening Summary,Jeet Singh Thakur,02-Jun-2020 12:21 PM,finance_52774.pdf,BOQ Comparative Chart,Technical,Bid opening Summary,Jeet Singh Thakur,23-Mar-2020 07:48 PM,technical_52774.pdf,1.0,156075.0,M/S STRIKER & BROS,21-Mar-2020 02:50 PM,Accepted-AOC,l1,27-Jul-2020 05:46 PM,EE,Internal,Assistant Engineer superintendent and senior assistant,Jeet Singh Thakur,27-Jul-2020 05:43 PM,finsummary_52774.pdf (229.59 KB),27-Jul-2020,"INR 60,722,913",540.0,Jeet Singh Thakur,27-Jul-2020 05:45 PM,3.AOC4665.pdf (648.00 KB),"Construction of Link road from Parotha to Sara Km. 0/0 to 7/700 under NABARD Project Formation cutting , Cross Drainage, earthen drain and Parapets",PWD,2020_PWD_35898_3,No. PWC-WA-II/Contract/16568-667 dated 24.2.20,"Construction of Link road from Parotha to Sara Km. 0/0 to 7/700 under NABARD Project Formation cutting , Cross Drainage, earthen drain and Parapets",EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,30-Apr-2020 03:29 PM,04-May-2020 11:30 AM,techsummary_52774.pdf (645.67 KB),AOC,1.0,Date Extended,Date,,"Construction of Link road from Parotha to Sara Km. 0/0 to 7/700 under NABARD Project Formation cutting , Cross Drainage, earthen drain and Parapets","Construction of Link road from Parotha to Sara Km. 0/0 to 7/700 under NABARD Project Formation cutting , Cross Drainage, earthen drain and Parapets",Please refer Tender documents. ,NA ,"6,07,22,913",Civil Works - Roads,NA ,Tender,90.0,540.0,Chamba,176310.0,NA ,NA ,NA ,"Executive Engineer, Chamba Division HPPWD Chamba",No ,No,04-Mar-2020 04:00 PM,23-Mar-2020 11:30 AM,04-Mar-2020 04:00 PM,21-Mar-2020 05:00 PM,NA ,NA ,04-Mar-2020 04:00 PM,21-Mar-2020 05:00 PM,04-May-2020 11:30 AM,"5,000","Executive Engineer, Chamba Division HPPWD Chamba",Chamba,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F),"6,39,700",No,fixed,,"Executive Engineer, Chamba Division HPPWD Chamba",Chamba,PWD,No. PWC-WA-II/Contract/16568-667 dated 24.2.20,2020_PWD_35898_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Executive Engineer, Chamba Division HPPWD Chamba","Executive Engineer, Chamba Division HPPWD Chamba",AOC
,,,,,,,,,,,,,,,,2.0,156091.0,Nveen Sharma,20-Mar-2020 05:50 PM,Rejected-AOC,l2,27-Jul-2020 05:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest Money Deposit (As per schedule F),,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,154154.0,RAJ SINGH GOVT CONTRACTOR,20-Mar-2020 06:14 PM,Rejected-AOC,l4,27-Jul-2020 05:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23),,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,156116.0,R P Dhiman,21-Mar-2020 04:32 PM,Rejected-AOC,l3,27-Jul-2020 05:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.19,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience as per clause 28.2 b of general and direction and as per schedule F..,,,,,,,,,,,,,,,,,,,,,,,AOC
