Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,1.0,DD - Demand Draft,PWD,1231-81 dated 09.06.2020,2020_PWD_38270_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,A/R and M/O Nahan Dadahu Haripurdhar Road Km. 36/0 to 87/0,C/O PCC B/Wall at RD. 62/730 to 62/737,Please refer Tender documents. ,NA ,"1,79,284",Civil Works,NA ,Tender,90.0,90.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,"3,600",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",Sangrah,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",350.0,"Executive Engineer, HPPWD Division Sangrah",Sangrah,No,22-Jun-2020 05:00 PM,07-Jul-2020 11:30 AM,22-Jun-2020 05:00 PM,06-Jul-2020 05:00 PM,NA ,NA ,22-Jun-2020 05:00 PM,06-Jul-2020 05:00 PM,14-Jul-2020 02:30 PM,AOC,PWD,2020_PWD_38270_5,1231-81 dated 09.06.2020,A/R and M/O Nahan Dadahu Haripurdhar Road Km. 36/0 to 87/0,Executive Engineer,Internal,Superintendent G-II DHD DAO,Rattan Kumar Sharma,14-Jul-2020 12:45 PM,14-Jul-2020 02:30 PM,techsummary_56528.pdf (567.97 KB),Executive Engineer,Internal,Superintendent G-II DAO DHD TA,Rattan Kumar Sharma,29-Jul-2020 02:54 PM,finsummary_56528.pdf (201.99 KB),29-Jul-2020,"INR 179,284",90.0,Rattan Kumar Sharma,29-Jul-2020 02:55 PM,33.pdf (2923.00 KB),AOC,1.0,166107.0,RANDEEP SINGH,06-Jul-2020 12:58 PM,Rejected-Finance,L3,29-Jul-2020 02:55 PM,Technical,SUMMARY,Rattan Kumar Sharma,08-Jul-2020 11:58 AM,technical_56528.pdf,1.0,166005.0,SANDEEP SHARMA,INR,"194,470",Finance,SUMMARY,Rattan Kumar Sharma,17-Jul-2020 03:17 PM,finance_56528.pdf,BOQ Comparative Chart,AOC
,,.pdf,EARNEST MONEY,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,166005.0,SANDEEP SHARMA,04-Jul-2020 08:49 PM,Accepted-AOC,AOC,29-Jul-2020 02:56 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,FULL COPY OF LATEST CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,166184.0,surjan singh,06-Jul-2020 04:44 PM,Rejected-Finance,L2,29-Jul-2020 02:55 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"LIST OF MACHINERY, TOOL, PLANT AS PER SBD CONDITIONS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,FORM NO 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Proof to registration under Employees Provident Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,UNDERTAKING THAT CONTRACTOR SHOULD NOT HAVE MORE THAN TWO CONTRACTS AT A TIME EACH OF RS. 02.00 LACS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
