Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Nalagarh - UDDHP,2020_UDDHP_38415_1,1MC-NLG(5)2019-20(15),Providing and fixing RCC Channels and fixing CC tiles to path from House of Amar Nath to House of Jaspal in ward no 3 Nalagarh,1.0,166534.0,BALJINDER SINGH,INR,"1,055,679",RISHABH SHARMA,Internal,"PRESIDENT, EXECUTIVE OFFICER, ASSISTANT ENGINEER",Rishabh Sharma,18-Jul-2020 07:09 PM,finsummary_56757.pdf (329.64 KB),18-Jul-2020,"INR 804,430",90.0,Rishabh Sharma,18-Jul-2020 07:11 PM,wn3.pdf (1188.00 KB),AWARD LETTER,Technical,BID OPENING SUMMERY,Rishabh Sharma,13-Jul-2020 04:14 PM,technical_56757.pdf,Finance,Financial bid opening Summary,Rishabh Sharma,14-Jul-2020 01:23 PM,finance_56757.pdf,BOQ Comparative Chart,1.0,166534.0,BALJINDER SINGH,08-Jul-2020 06:02 PM,Accepted-AOC,RATES ARE REASONABLE HENSE AWARDED,18-Jul-2020 07:12 PM,Executive Officer,Internal,Technical Evaluation Summary,Rishabh Sharma,14-Jul-2020 10:29 AM,14-Jul-2020 12:30 PM,techsummary_56757.pdf (135.16 KB),AOC,Providing and fixing RCC Channels and fixing CC tiles to path from House of Amar Nath to House of Jaspal in ward no 3 Nalagarh,Providing and fixing RCC Channels and fixing CC tiles to path from House of Amar Nath to House of Jaspal in ward no 3 Nalagarh,Please refer Tender documents. ,NA ,"8,04,430",Civil Works,NA ,Tender,90.0,120.0,NALAGARH,174101.0,NA ,NA ,NA ,NALAGARH,No ,No,300.0,EXECUTIVE OFFICER,NALAGARH,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,1.0,DD - Demand Draft,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Nalagarh - UDDHP,1MC-NLG(5)2019-20(15),2020_UDDHP_38415_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"16,100",No,fixed,,EXECUTIVE OFFICER,NALAGARH,27-Jun-2020 06:00 PM,09-Jul-2020 03:00 PM,27-Jun-2020 06:00 PM,09-Jul-2020 10:30 AM,27-Jun-2020 06:00 PM ,08-Jul-2020 05:00 PM ,27-Jun-2020 06:00 PM,09-Jul-2020 10:30 AM,14-Jul-2020 12:30 PM,EXECUTIVE OFFICER,EXECUTIVE OFFICER MC NALAGARH,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,166599.0,Rafia khan,09-Jul-2020 12:38 AM,Rejected-Technical,document not received,14-Jul-2020 10:30 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,166586.0,rehana,08-Jul-2020 11:28 PM,Rejected-Technical,document not received,14-Jul-2020 10:30 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,166557.0,Sh. Bhupinder Singh Badi S/o Sh. Kishan Singh,08-Jul-2020 07:55 PM,Rejected-Finance,L2 REJECTED,18-Jul-2020 07:09 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19 c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted M C Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
