Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Financial Bid Opening,Rishabh Sharma,20-Jun-2020 04:59 PM,finance_55810.pdf,BOQ Comparative Chart,Technical,Bid opening,Rishabh Sharma,19-Jun-2020 07:23 PM,technical_55810.pdf,18-Jul-2020,"INR 794,901",90.0,Rishabh Sharma,18-Jul-2020 06:44 PM,kanshiwalawn2.pdf (1042.00 KB),AWARD LETTER,Executive Officer,Internal,"Executive Officer, Junior Engineer",Rishabh Sharma,20-Jun-2020 01:20 PM,20-Jun-2020 03:00 PM,techsummary_55810.pdf (142.42 KB),1.0,163094.0,KRISHAN LAL,17-Jun-2020 06:56 PM,Accepted-AOC,RATES ARE REASONABLE HENSE AWARDED,18-Jul-2020 06:44 PM,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Nalagarh - UDDHP,2020_UDDHP_37880_1,1MC-NLG(5)2019-20(14),Providing and fixing RCC channels and fixing CC tiles to path from kansiwala chowk to rana house in w no 2 Nalagarh.,1.0,163094.0,KRISHAN LAL,INR,"709,344",EXECUTIVE OFFICER,Internal,"PRESIDENT, EXECUTIVE OFFICER, ASSISTANT ENGINEER",Rishabh Sharma,18-Jul-2020 06:39 PM,finsummary_55810.pdf (379.12 KB),AOC,"15,900",No,fixed,,EXECUTIVE OFFICER,NALAGARH,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,EXECUTIVE OFFICER,EXECUTIVE OFFICER MC NALAGARH,10-Jun-2020 06:00 PM,18-Jun-2020 03:00 PM,10-Jun-2020 06:00 PM,18-Jun-2020 10:30 AM,10-Jun-2020 06:00 PM ,17-Jun-2020 05:00 PM ,10-Jun-2020 06:00 PM,18-Jun-2020 10:30 AM,20-Jun-2020 03:00 PM,300.0,Executive Officer,NALAGARH,No,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Nalagarh - UDDHP,1MC-NLG(5)2019-20(14),2020_UDDHP_37880_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Providing and fixing RCC channels and fixing CC tiles to path from kansiwala chowk to rana house in w no 2 Nalagarh.,Providing and fixing RCC Channels and fixing C. C Tiles to path from Kansiwala chowk to Rana house in ward no 2 Nalagarh,Please refer Tender documents. ,NA ,"7,94,901",Civil Works - Roads,NA ,Tender,120.0,90.0,NALAGARH,174101.0,NA ,NA ,NA ,MC NALAGARH,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,163131.0,Rafia khan,17-Jun-2020 11:28 PM,Rejected-Technical,Irresponsive,20-Jun-2020 01:20 PM,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,3.0,163074.0,rehana,17-Jun-2020 11:52 PM,Rejected-Finance,L3 REJECTED,18-Jul-2020 06:39 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,4.0,163044.0,Sh. Bhupinder Singh Badi S/o Sh. Kishan Singh,17-Jun-2020 03:24 PM,Rejected-Finance,L2 REJECTED,18-Jul-2020 06:39 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Sales tax registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19 c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted M C Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
