S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,156083.0,PRAGATI TOWERS CORPORATION,INR,"5,689,600",HP Irrigation and Public Health||IPH Circle Swan River Flood Management Project Una - HPIPH||Flood Protection Gagret - HPIPH,2020_HPIPH_36052_1,GGT-UNA01-752 No.13347-407 dt 7.3.2020 (Drilling),Providing Multi villages Piped Water Supply Scheme for Gagret Constituency in Gagret and Amb Block in Tehsil Ghanari/Amb Distt. Una (HP),Er. S. K. Sharma,Internal,As per document attached,Parveen Kumar Sharma,08-Jul-2020 05:19 PM,finsummary_53102.pdf (34.55 KB),1.0,155971.0,ABTAR SINGH AND COMPANY,23-Mar-2020 09:56 AM,Rejected-Finance,Higher quoted rates,08-Jul-2020 05:19 PM,Er Parveen Kumar Sharma,Internal,As per document attached,Parveen Kumar Sharma,04-May-2020 05:21 PM,05-May-2020 11:00 AM,techsummary_53102.pdf (34.07 KB),Technical,As per document attached,Parveen Kumar Sharma,04-May-2020 05:02 PM,technical_53102.pdf,Finance,As per document attached,Parveen Kumar Sharma,05-May-2020 02:51 PM,finance_53102.pdf,BOQ Comparative Chart,08-Jul-2020,"INR 5,689,600",180.0,Parveen Kumar Sharma,08-Jul-2020 05:23 PM,Award-Paragti-Tower.pdf (1199.00 KB),As per document attached,AOC,800.0,Executive Engineer Flood Prot. Division Gagret,Gagret,No,07-Mar-2020 06:00 PM,23-Mar-2020 12:30 PM,07-Mar-2020 06:00 PM,23-Mar-2020 11:00 AM,07-Mar-2020 06:00 PM ,23-Mar-2020 11:00 AM ,07-Mar-2020 06:00 PM,23-Mar-2020 11:00 AM,05-May-2020 11:00 AM,HP Irrigation and Public Health||IPH Circle Swan River Flood Management Project Una - HPIPH||Flood Protection Gagret - HPIPH,GGT-UNA01-752 No.13347-407 dt 7.3.2020 (Drilling),2020_HPIPH_36052_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Executive Engineer,Executive Engineer Flood Prot. Division Gagret,Providing Multi villages Piped Water Supply Scheme for Gagret Constituency in Gagret and Amb Block in Tehsil Ghanari/Amb Distt. Una (HP),"Drilling, Lowering of Assembly and Development of 2 No. Tubewells 125 mtrs. deep each at village Guglehar, Andora and 2 Nos. Tubewells 140 mtrs. deep each at village Raipur and Bhanjal (Under Jal Jeevan Mission)",As per NIT ,NA ,"66,54,999",Civil Works,NA ,Tender,120.0,180.0,Works,177201.0,NA ,NA ,NA ,Executive Engineer Flood Prot. Division Gagret,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Registration in HP IPH Department as per NIT condition No. 11(I),"99,050",Yes,fixed,,Executive Engineer Flood Prot. Division Gagret,Gagret,AOC
,,,,,,,,,,,,,,,2.0,156254.0,M/S. Mast Ram Jaswal And Co.,21-Mar-2020 06:43 PM,Rejected-Finance,Higher quoted rates,08-Jul-2020 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Cost of tender documents and Earnest money as per NIT condition No. 11(ii),,,,,,,AOC
,,,,,,,,,,,,,,,3.0,155337.0,popular pipes,23-Mar-2020 10:32 AM,Rejected-Finance,Higher quoted rates,08-Jul-2020 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money Exemption necessary Affidavit as per NIT condition No. 11(iii),,,,,,,AOC
,,,,,,,,,,,,,,,4.0,156083.0,PRAGATI TOWERS CORPORATION,22-Mar-2020 12:28 PM,Accepted-AOC,Lowest quoted rates,08-Jul-2020 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Income Tax, GST Regd No or their latest clearance certificate, copy of PAN as per NIT cond No.11(v)",,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest return of GST or Clearance certificate as per NIT condition No. 11(v),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit as per NIT condition No. 11(vi),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF as per NIT condition No. 11(vii),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Certificate regarding State Ground Water Authority as per NIT condition No. 11(viii),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of work done.,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial bid,,,,,,,AOC
