EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"1,83,200",Yes,fixed,,EE Tauni Devi,Hamirpur,1.0,DD - Demand Draft,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi",1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD payable at Hamipur,"5,000",EE Tauni Devi,Hamipur,Yes,PWD,No. PW/TDD/GA-NIT/2019-20-12499 dt. 02.01.2020,2020_PWD_34171_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,20-Jan-2020 10:30 AM,29-Jan-2020 11:00 AM,20-Jan-2020 10:30 AM,29-Jan-2020 10:30 AM,NA ,NA ,20-Jan-2020 10:30 AM,29-Jan-2020 10:30 AM,06-Feb-2020 03:30 PM,Construction of bridge over Pung khad on chamiana to Banal via Mangleher road RIDF-xxv,C/O 50 Mtr .Span PSC box grider bridge at RD.5/010 including approaches,Please refer Tender documents. ,NA ,"1,50,67,306",Civil Works - Bridges,NA ,Tender,90.0,365.0,"Executive Engineer, HPPWD Division Tauni Devi",177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,AOC,PWD,2020_PWD_34171_1,No. PW/TDD/GA-NIT/2019-20-12499 dt. 02.01.2020,Construction of bridge over Pung khad on chamiana to Banal via Mangleher road RIDF-xxv,EE,Internal,SUPDT/HDM/DAO,Swaroop Kumar,05-Feb-2020 05:09 PM,06-Feb-2020 03:30 PM,techsummary_49626.pdf (502.90 KB),EE,Internal,Supdt,Swaroop Kumar,10-Feb-2020 03:43 PM,finsummary_49626.pdf (466.34 KB),06-Jul-2020,"INR 15,067,306",365.0,Arvind Lakhanpal,06-Jul-2020 06:53 PM,AwardBridge.pdf (1399.00 KB),Award,Finance,finsummary,Swaroop Kumar,10-Feb-2020 03:15 PM,finance_49626.pdf,BOQ Comparative Chart,1.0,147206.0,MSC Roads and Bridges Private Limited,INR,"18,259,161",1.0,147200.0,Kamal Kumar,28-Jan-2020 07:39 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Jan-2020 03:20 PM,Technical,prebid,Swaroop Kumar,29-Jan-2020 03:20 PM,technical_49626.pdf,AOC
,,,,,,2.0,FDR - Fixed Deposit,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,147206.0,MSC Roads and Bridges Private Limited,29-Jan-2020 10:29 AM,Accepted-AOC,L-1,06-Jul-2020 06:53 PM,,,,,,AOC
,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,146771.0,OM PARKASH SHARMA AND SONS,27-Jan-2020 06:37 PM,Rejected-AOC,L-2,06-Jul-2020 06:53 PM,,,,,,AOC
,,,,,,,,,,,,.pdf,GTS Registration (General Rule 21) and GST clearance retuned required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Work Done Certificate (General Rule No. 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Work in hand Certificate (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,"List of Machinery, Tool , Plant must according to works item ALONGWITH PROOF (R.C ) MAY BE UPLOADED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Bid capacity Assessed rule 28.2 must read Attach /upload Attach /upload certificate from C.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
