Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Finance,Bid opening Summary,Jeet Singh Thakur,02-Jun-2020 12:25 PM,finance_52768.pdf,BOQ Comparative Chart,1.0,154158.0,RAJ SINGH GOVT CONTRACTOR,INR,"33,100,216",Technical,Bid opening Summary,Jeet Singh Thakur,23-Mar-2020 07:46 PM,technical_52768.pdf,1.0,156215.0,Des Raj and Co.,21-Mar-2020 04:34 PM,Rejected-AOC,L2,27-Jul-2020 05:21 PM,27-Jul-2020,"INR 33,224,442",540.0,Jeet Singh Thakur,27-Jul-2020 05:20 PM,3.AOC4653.pdf (623.00 KB),"Construction of Kalsuin to Tarala road Km. 0/0 to 4/200 under NABARD Project Formation cutting , Cross Drainage ,earthen drain and parapets",EE,Internal,Assistant engineer superintendent and senior assistant,Jeet Singh Thakur,27-Jul-2020 05:19 PM,finsummary_52768.pdf (217.84 KB),EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,30-Apr-2020 03:22 PM,04-May-2020 11:30 AM,techsummary_52768.pdf (374.08 KB),PWD,2020_PWD_35898_1,No. PWC-WA-II/Contract/16568-667 dated 24.2.20,"Construction of Kalsuin to Tarala road Km. 0/0 to 4/200 under NABARD Project Formation cutting , Cross Drainage ,earthen drain and parapets",AOC,"Executive Engineer, Chamba Division HPPWD Chamba","Executive Engineer, Chamba Division HPPWD Chamba","5,000","Executive Engineer, Chamba Division HPPWD Chamba",Chamba,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F),PWD,No. PWC-WA-II/Contract/16568-667 dated 24.2.20,2020_PWD_35898_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"3,65,000",No,fixed,,"Executive Engineer, Chamba Division HPPWD Chamba",Chamba,1.0,Date Extended,Date,,1.0,DD - Demand Draft,"Construction of Kalsuin to Tarala road Km. 0/0 to 4/200 under NABARD Project Formation cutting , Cross Drainage ,earthen drain and parapets","Construction of Kalsuin to Tarala road Km. 0/0 to 4/200 under NABARD Project Formation cutting , Cross Drainage ,earthen drain and parapets",Please refer Tender documents. ,NA ,"3,32,24,442",Civil Works - Roads,NA ,Tender,90.0,540.0,Chamba,176310.0,NA ,NA ,NA ,"Executive Engineer, Chamba Division HPPWD Chamba",No ,No,04-Mar-2020 04:00 PM,23-Mar-2020 11:30 AM,04-Mar-2020 04:00 PM,21-Mar-2020 05:00 PM,NA ,NA ,04-Mar-2020 04:00 PM,21-Mar-2020 05:00 PM,04-May-2020 11:30 AM,AOC
,,,,,,,,,,,,,,,,2.0,154158.0,RAJ SINGH GOVT CONTRACTOR,20-Mar-2020 05:55 PM,Accepted-AOC,L1,27-Jul-2020 05:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F),,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,GST registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Form No. 8 (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Work experience as per clause 28.2 b of general and direction and as per schedule F..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
