Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Providing and Fixing RCC pipes and Construction Chamber from Qureshi plot to Som Dutt house in ward no.7 Nalagarh,Providing and Fixing RCC pipes and Construction Chamber from Qureshi plot to Som Dutt house in ward no.7 Nalagarh,Please refer Tender documents. ,NA ,"7,11,019",Civil Works,NA ,Tender,90.0,120.0,NALAGARH,174101.0,NA ,NA ,NA ,NALAGARH,No ,No,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Nalagarh - UDDHP,1MC-NLG(6)2020-21(6),2020_UDDHP_38410_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"14,200",No,fixed,,EXECUTIVE OFFICER,NALAGARH,EXECUTIVE OFFICER,EXECUTIVE OFFICER MUNICIPAL COUNCIL NALAGARH,1.0,DD - Demand Draft,27-Jun-2020 06:00 PM,09-Jul-2020 03:00 PM,27-Jun-2020 06:00 PM,09-Jul-2020 10:30 AM,27-Jun-2020 06:00 PM ,08-Jul-2020 05:00 PM ,27-Jun-2020 06:00 PM,09-Jul-2020 10:30 AM,14-Jul-2020 12:30 PM,300.0,EXECUTIVE OFFICER,NALAGARH,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,AOC,RISHABH SHARMA,Internal,"PRESIDENT, EXECUTIVE OFFICER, ASSISTANT ENGINEER",Rishabh Sharma,18-Jul-2020 01:33 PM,finsummary_56754.pdf (324.59 KB),Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Nalagarh - UDDHP,2020_UDDHP_38410_1,1MC-NLG(6)2020-21(6),Providing and Fixing RCC pipes and Construction Chamber from Qureshi plot to Som Dutt house in ward no.7 Nalagarh,1.0,166505.0,IRSHAD KHAN,INR,"731,440",1.0,166432.0,Hardeep Singh Bedi,08-Jul-2020 01:46 PM,Rejected-Finance,L2 REJECTED,18-Jul-2020 01:33 PM,Executive Officer,Internal,Technical Evaluation Summary,Rishabh Sharma,14-Jul-2020 10:22 AM,14-Jul-2020 12:30 PM,techsummary_56754.pdf (134.69 KB),Technical,BID OPENING SUMMERY,Rishabh Sharma,13-Jul-2020 04:12 PM,technical_56754.pdf,Finance,Financial bid opening Summary,Rishabh Sharma,14-Jul-2020 01:21 PM,finance_56754.pdf,BOQ Comparative Chart,18-Jul-2020,"INR 711,019",90.0,Rishabh Sharma,18-Jul-2020 01:41 PM,wn7.pdf (1175.00 KB),AWARD LETTER,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,AOC,,,,,,,,,,,,,,,,2.0,166485.0,IMRAN KHAN,08-Jul-2020 02:55 PM,Rejected-Finance,L3 REJECTED,18-Jul-2020 01:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,AOC,,,,,,,,,,,,,,,,3.0,166505.0,IRSHAD KHAN,08-Jul-2020 03:59 PM,Accepted-AOC,AWARDED AFTER NEGOTIATION,18-Jul-2020 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19 c,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted M C Employees related to him General Rule No. 16,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
