EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"17,200",No,fixed,,EXECUTIVE OFFICER,NALAGARH,1.0,DD - Demand Draft,300.0,EXECUTIVE OFFICER,NALAGARH,No,Providing and Fixing RCC Channels and fixing CC tiles to path from market to Sheetla Mata Temple and different small streets in ward no 6 Nalagarh,Providing and Fixing RCC Channels and fixing CC tiles to path from market to Sheetla Mata Temple and different small streets in ward no 6 Nalagarh,Please refer Tender documents. ,NA ,"8,60,754",Civil Works,NA ,Tender,90.0,120.0,NALAGARH,174101.0,NA ,NA ,NA ,NALAGARH,No ,No,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Nalagarh - UDDHP,1MC-NLG(6)2020-21(7),2020_UDDHP_38422_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,EXECUTIVE OFFICER,EXECUTIVE OFFICER MC NALAGARH,27-Jun-2020 06:00 PM,09-Jul-2020 03:00 PM,27-Jun-2020 06:00 PM,09-Jul-2020 10:30 AM,27-Jun-2020 06:00 PM ,08-Jul-2020 05:00 PM ,27-Jun-2020 06:00 PM,09-Jul-2020 10:30 AM,14-Jul-2020 12:30 PM,AOC,Executive Officer,Internal,Technical Evaluation Summary,Rishabh Sharma,14-Jul-2020 10:24 AM,14-Jul-2020 12:30 PM,techsummary_56763.pdf (131.62 KB),1.0,166435.0,Hardeep Singh Bedi,08-Jul-2020 01:38 PM,Rejected-Finance,L2 REJECTED,18-Jul-2020 06:49 PM,18-Jul-2020,"INR 860,754",90.0,Rishabh Sharma,18-Jul-2020 06:52 PM,wn6.pdf (1064.00 KB),AWARD LETTER,Finance,Financial bid opening Summary,Rishabh Sharma,14-Jul-2020 01:31 PM,finance_56763.pdf,BOQ Comparative Chart,Technical,BID OPENING SUMMERY,Rishabh Sharma,13-Jul-2020 04:19 PM,technical_56763.pdf,RISHABH SHARMA,Internal,"PRESIDENT, EXECUTIVE OFFICER, ASSISTANT ENGINEER",Rishabh Sharma,18-Jul-2020 06:49 PM,finsummary_56763.pdf (319.23 KB),Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Nalagarh - UDDHP,2020_UDDHP_38422_1,1MC-NLG(6)2020-21(7),Providing and Fixing RCC Channels and fixing CC tiles to path from market to Sheetla Mata Temple and different small streets in ward no 6 Nalagarh,1.0,166542.0,KRISHAN LAL,INR,"826,688",AOC
,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,AOC,,,,,,,,2.0,166542.0,KRISHAN LAL,08-Jul-2020 05:51 PM,Accepted-AOC,RATES ARE REASONABLE HENSE AWARDED,18-Jul-2020 06:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19 c,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted M C Employees related to him General Rule No. 16,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
