Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
500.0,EE Paonta Sahib,Paonta Sahib,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP)173025,PWD,tender/2019-20-4213-63 dated 28.10.2019,2019_PWD_32475_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,06-Nov-2019 04:30 PM,18-Nov-2019 11:30 AM,06-Nov-2019 05:00 PM,16-Nov-2019 05:00 PM,NA ,NA ,06-Nov-2019 05:00 PM,16-Nov-2019 05:00 PM,26-Nov-2019 11:40 AM,"22,600",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,1.0,DD - Demand Draft,Restoration of rain damages to Badripur Kishanpura Bhatanwali via Patwar Khana road from RD. 0/0 to 1/500(SH P/L WMM and 20 mm thick premix carpet in km 0/0 to 1/200).,Restoration of rain damages to Badripur Kishanpura Bhatanwali via Patwar Khana road from RD. 0/0 to 1/500(SH P/L WMM and 20 mm thick premix carpet in km 0/0 to 1/200).,Please refer tender document ,NA ,"11,28,009",Civil Works - Roads,NA ,Tender,60.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,AOC,Er.R.K.Dhiman,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,25-Nov-2019 04:17 PM,26-Nov-2019 11:40 AM,techsummary_46718.pdf (817.03 KB),PWD,2019_PWD_32475_7,tender/2019-20-4213-63 dated 28.10.2019,Restoration of rain damages to Badripur Kishanpura Bhatanwali via Patwar Khana road from RD. 0/0 to 1/500(SH P/L WMM and 20 mm thick premix carpet in km 0/0 to 1/200).,08-Jul-2020,"INR 1,128,009",90.0,Dalip Singh Tomar,08-Jul-2020 12:58 PM,aoc.pdf (1157.00 KB),AOC,Er. R.K.Dhiman,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,08-Jul-2020 12:56 PM,finsummary_46718.pdf (409.80 KB),Finance,Fin. Summary,Dalip Singh Tomar,08-Jul-2020 12:53 PM,finance_46718.pdf,BOQ Comparative Chart,1.0,136405.0,Manoj Chawla,INR,"1,446,024",1.0,136491.0,Budh Raj Singh,16-Nov-2019 04:52 PM,Rejected-Finance,L3,08-Jul-2020 12:57 PM,Technical,Bid Opening Summary,Dalip Singh Tomar,25-Nov-2019 03:34 PM,technical_46718.pdf,AOC
,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,136490.0,DINESH KUMAR GUPTA,16-Nov-2019 04:40 PM,Rejected-Technical,Not Qualified,25-Nov-2019 04:17 PM,,,,,,AOC
,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,136405.0,Manoj Chawla,15-Nov-2019 09:08 PM,Accepted-AOC,L1,08-Jul-2020 12:59 PM,,,,,,AOC
,,,,,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,136395.0,Randhir Singh,15-Nov-2019 06:46 PM,Rejected-Finance,L2,08-Jul-2020 12:57 PM,,,,,,AOC
,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,136487.0,Rashid Ali Civil Contractor,16-Nov-2019 04:43 PM,Rejected-Finance,L4,08-Jul-2020 12:57 PM,,,,,,AOC
,,,,,,.pdf,"Machinery as per schedule F Sr.No.6.19Ref.Cl- No.18 i.e.R.C, purchase bills,ownership/Affidavit hire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him gen. Rule sr.no.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
