Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
02-Jul-2020,"INR 2,478,125",30.0,Sanjiv Mahajan,02-Jul-2020 03:34 PM,Award.pdf (249.00 KB),AOC,Sanjiv Mahajan,Internal,"Santosh Dyal, DAO (Gr-I), Jiwan Singh, Supdt. Gr-II, Sh. Ajay Kumar Mahajan, HDM",Sanjiv Mahajan,02-Jul-2020 03:32 PM,finsummary_53412.pdf (25.41 KB),s,Internal,"Er. Rishi Kumar, A.E., Sh. S.K. Dayal (DAO) (Gr-I), Sh. Ajay Kumar Mahajan, HDM, Sh. Jiwan Singh, Supdt. (Gr-II)",Sanjiv Mahajan,22-Apr-2020 12:36 PM,22-Apr-2020 12:40 PM,techsummary_53412.pdf (122.38 KB),PWD,2020_PWD_36164_4,18679-18728 dt.7.3.2020,Annual Maintenance Plan (AMP) of Lunj Sub Division for the year 2020-21 PMGSY Rural Road Lunj to Kallar Dadoli Kourian (Link road Lunj to Kallar via Kapial Kaurian) (HP0406VR078) km. 0/0 to 1/0,Technical,Summary,Sanjiv Mahajan,22-Apr-2020 12:32 PM,technical_53412.pdf,1.0,156638.0,NAVNEET SHARMA GOVT. CONTRACTOR,02-Apr-2020 11:41 PM,Rejected-Finance,Rate higher side,02-Jul-2020 03:33 PM,Finance,Summary,Sanjiv Mahajan,02-Jul-2020 03:28 PM,finance_53412.pdf,BOQ Comparative Chart,1.0,156588.0,Navneet Thakur,INR,"2,694,000",AOC,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F(Required only National Bank ),1.0,FDR - Fixed Deposit,19-Mar-2020 10:00 AM,03-Apr-2020 11:30 AM,19-Mar-2020 10:00 AM,03-Apr-2020 11:00 AM,NA ,NA ,19-Mar-2020 10:00 AM,03-Apr-2020 11:00 AM,22-Apr-2020 12:40 PM,500.0,EE Kangra,Kangra,No,PWD,18679-18728 dt.7.3.2020,2020_PWD_36164_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Annual Maintenance Plan (AMP) of Lunj Sub Division for the year 2020-21 PMGSY Rural Road Lunj to Kallar Dadoli Kourian (Link road Lunj to Kallar via Kapial Kaurian) (HP0406VR078) km. 0/0 to 1/0,(SH - P/L 30mm thick bituminous concrete in km. 0/0 to 1/0) and PMGSY Rural Road Darwah to Shamirpur (HP0406VR082) km. 4/0 to 5/0 and 5/0 to 6/0 (SH - P/L 30mm thick bituminous concrete in km. 4/0 to 5/0 and 5/0 to 6/0).,Please refer Tender documents. ,NA ,"24,78,125",Civil Works - Roads,NA ,Tender,120.0,30.0,items,176001.0,NA ,NA ,NA ,"Executive Engineer, HP.PWD., Division, Kangra",No ,No,"44,700",No,fixed,,EE Kangra,Kangra,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,156588.0,Navneet Thakur,01-Apr-2020 12:31 PM,Accepted-AOC,Award,02-Jul-2020 03:35 PM,,,,,,,,,,,,AOC,,,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,156584.0,pritam singh thkur,01-Apr-2020 12:00 PM,Rejected-Finance,Rate higher side,02-Jul-2020 03:33 PM,,,,,,,,,,,,AOC,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Detail of technical staff required as per Clause 36(1(2) and 36(A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Detail of litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b and Sr. No-4 Schedule-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,GST Registration (Refer General Rule No-21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
