S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Instrument Type,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,152109.0,Chanana Cont. Works,02-Mar-2020 11:33 PM,Rejected-Technical,Not Qualified,20-Mar-2020 12:01 PM,1.0,corrigendum,Wrong Summary uploaded,19-Mar-2020 12:16 PM,summary.pdf ,1034.46,Technical Opening,Technical,Summary,Dalip Singh Tomar,20-Mar-2020 11:56 AM,None,Er. R.K. Dhiman,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,20-Mar-2020 12:01 PM,20-Mar-2020 12:10 PM,techsummary_52146.pdf (1076.22 KB),Finance,Fin Bid Opening Summary,Kishan Lal Chaudhary,24-Jul-2020 03:01 PM,finance_52146.pdf,BOQ Comparative Chart,PWD,2020_PWD_34999_13,CB/Tender/2019-20-8463-8512 dated 05.02.2020,"Periodical renewal on Jamta Rajban road km. 23/0 to 43/0 (SH P/L G-III and 30 mm bituminous concrete in km. 25/0 to 26/0, 30/0 to 31/0,32/0 to 33/0 and 34/0 to35/0 i/c c/o 1 No. missing CD at RD 25/150 , road side furnitures and Road side V-shape",Er. R.K. Dhiman,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,24-Jul-2020 03:05 PM,finsummary_52146.pdf (447.18 KB),1.0,152258.0,M/S SARVJEET SINGH,INR,"4,529,963",24-Jul-2020,"INR 3,161,381",90.0,Kishan Lal Chaudhary,24-Jul-2020 03:08 PM,aoc.pdf (1394.00 KB),AOC,AOC,"1,500",EE Paonta Sahib,Paonta Sahib,Yes,1.0,Corrigendum,Fee,,25-Feb-2020 04:30 PM,04-Mar-2020 11:30 AM,25-Feb-2020 05:00 PM,03-Mar-2020 05:00 PM,NA ,NA ,25-Feb-2020 05:00 PM,03-Mar-2020 05:00 PM,20-Mar-2020 12:10 PM,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP),"Periodical renewal on Jamta Rajban road km. 23/0 to 43/0 (SH P/L G-III and 30 mm bituminous concrete in km. 25/0 to 26/0, 30/0 to 31/0,32/0 to 33/0 and 34/0 to35/0 i/c c/o 1 No. missing CD at RD 25/150 , road side furnitures and Road side V-shape","Periodical renewal on Jamta Rajban road km. 23/0 to 43/0 (SH P/L G-III and 30 mm bituminous concrete in km. 25/0 to 26/0, 30/0 to 31/0,32/0 to 33/0 and 34/0 to35/0 i/c c/o 1 No. missing CD at RD 25/150 , road side furnitures and Road side V-shape",Please refer tender document. ,NA ,"31,61,381",Civil Works - Roads,NA ,Tender,90.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,"55,000",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,PWD,CB/Tender/2019-20-8463-8512 dated 05.02.2020,2020_PWD_34999_13,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
2.0,152267.0,M/s Construction Gallery,03-Mar-2020 04:43 PM,Rejected-Technical,Not Qualified,20-Mar-2020 12:01 PM,2.0,Corrigendum,wrong uploaded technical evaluation,20-Mar-2020 10:47 AM,tech.pdf ,1062.5,Technical Opening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,152258.0,M/S SARVJEET SINGH,03-Mar-2020 03:51 PM,Accepted-AOC,L1,24-Jul-2020 03:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,152050.0,Rashid Ali Civil Contractor,02-Mar-2020 05:50 PM,Rejected-Finance,L1,24-Jul-2020 03:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of 40 percent work done certificate for similar nature of work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/C.A. annual report.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery as per schedule F Sr.No.6.19Ref.Cl- No.18 i.e.R.C,purchase bills,ownership/Affidavit hire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
