Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
29-Jul-2020,"INR 1,662,043",120.0,Rattan Kumar Sharma,29-Jul-2020 12:33 PM,31.pdf (3444.00 KB),AOC,Executive Engineer,Internal,Superintendent G-II DAO DHD Tender Assistant,Rattan Kumar Sharma,29-Jul-2020 12:24 PM,finsummary_56524.pdf (232.05 KB),Executive Engineer,Internal,Superintendent G-II DHD DAO,Rattan Kumar Sharma,14-Jul-2020 11:34 AM,14-Jul-2020 11:45 AM,techsummary_56524.pdf (1099.79 KB),PWD,2020_PWD_38270_1,1231-81 dated 09.06.2020,C/O Link Road Village Ratwa to Kuna via Tholla Kalyari Jarna Bhalaina Km. 0/00 to 6/500,Technical,SUMMARY,Rattan Kumar Sharma,08-Jul-2020 11:52 AM,technical_56524.pdf,1.0,166155.0,Ashok Kumar,06-Jul-2020 03:55 PM,Rejected-Finance,L3,29-Jul-2020 12:25 PM,Finance,SUMMARY,Rattan Kumar Sharma,17-Jul-2020 03:12 PM,finance_56524.pdf,BOQ Comparative Chart,1.0,166187.0,DROPTI SHARMA,INR,"567,384",AOC,"32,500",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",Sangrah,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",500.0,"Executive Engineer, HPPWD Division Sangrah",Sangrah,No,PWD,1231-81 dated 09.06.2020,2020_PWD_38270_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,22-Jun-2020 05:00 PM,07-Jul-2020 11:30 AM,22-Jun-2020 05:00 PM,06-Jul-2020 05:00 PM,NA ,NA ,22-Jun-2020 05:00 PM,06-Jul-2020 05:00 PM,14-Jul-2020 11:45 AM,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,C/O Link Road Village Ratwa to Kuna via Tholla Kalyari Jarna Bhalaina Km. 0/00 to 6/500,5/7mtr.wide formation cutting in km. 1/870 to 3/00)Under MNP,Please refer Tender documents. ,NA ,"16,62,043",Civil Works,NA ,Tender,90.0,120.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,166053.0,BALBIR SINGH,05-Jul-2020 08:46 PM,Rejected-Finance,L6,29-Jul-2020 12:25 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,166187.0,DROPTI SHARMA,06-Jul-2020 04:54 PM,Accepted-AOC,AOC,29-Jul-2020 12:34 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FULL COPY OF LATEST CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,166171.0,RANDEEP SINGH,06-Jul-2020 04:19 PM,Rejected-Finance,L5,29-Jul-2020 12:25 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST NUMBER,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,166045.0,SUNIL KUMAR,05-Jul-2020 07:45 PM,Rejected-Finance,L8,29-Jul-2020 12:25 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"LIST OF MACHINERY, TOOL, PLANT AS PER SBD CONDITIONS",,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,166126.0,Tapender Thakur,06-Jul-2020 01:54 PM,Rejected-Finance,L7,29-Jul-2020 12:25 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM NO 8,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,166084.0,uma duttsharma,06-Jul-2020 11:24 AM,Rejected-Technical,Not Qualified,14-Jul-2020 11:34 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,166154.0,vijay singh,06-Jul-2020 03:48 PM,Rejected-Finance,L2,29-Jul-2020 12:25 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof to registration under Employees Provident Funds,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,165121.0,vijay singh thakur,04-Jul-2020 09:21 PM,Rejected-Finance,L2,29-Jul-2020 12:25 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,UNDERTAKING THAT CONTRACTOR SHOULD NOT HAVE MORE THAN TWO CONTRACTS AT A TIME EACH OF RS. 02.00 LACS,,,,,,,,,,,,,,,,,,,AOC
