S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,DD - Demand Draft,09-Mar-2020 10:00 AM,24-Mar-2020 11:00 AM,09-Mar-2020 10:00 AM,23-Mar-2020 04:00 PM,NA ,NA ,09-Mar-2020 10:00 AM,23-Mar-2020 04:00 PM,10-Apr-2020 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Bid Security,1.0,Extension of Online Bid Submission time,Date,,"2,800","Empowered Officer, ASRB, Assam",GUWAHATI,No,DIB/DLMTRD /SOPD-ODS,Improvement of Tea Garden Road at Duliabam T.E. in Moran Rural Road Sub-Division under Dibrugarh Rural Road Division for 2018-19,Please Refer Tender documents ,NA ,"99,51,000",Civil Works,NA ,Tender,90.0,270.0,Dibrugarh,786001.0,NA ,NA ,NA ,o/o the S.E. P.W.D. Dibrugarh Road Circle,No ,No,Public Works Roads Department,DRC-XIII/16/98/NIT/DIB/ 228,2020_PWD_16877_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,S.E. P.W.D. Dibrugarh Road Circle,o/o the S.E. P.W.D. Dibrugarh Road Circle,"1,99,100",Yes,fixed,,"EE,PWD DLMT Territorial Road Division",Dibrugarh,AOC,1.0,79106.0,SRI MANAB JYOTI GOGOI,INR,9453450.0,Technical,Bids opening,RAJIB KUMAR CHANGKAKOTI,09-Apr-2020 12:38 PM,technical_25689.pdf,Public Works Roads Department,2020_PWD_16877_4,DRC-XIII/16/98/NIT/DIB/ 228,DIB/DLMTRD /SOPD-ODS,Finance,For Finance,AMRIT BARUAH,24-Jul-2020 01:30 PM,finance_25689.pdf,BOQ Comparative Chart,24-Jul-2020,INR 9951000.0,270.0,AMRIT BARUAH,24-Jul-2020 01:36 PM,aoc.pdf (622.00 KB),1,78988,AJOY CHUTIA,21-Mar-2020 03:55 AM,Rejected-AOC,Not awarded,24-Jul-2020 01:36 PM,Rajib Kr. Changkakati,Internal,"Jayashree Hazarika, A. Baruah, P. Kalita",RAJIB KUMAR CHANGKAKOTI,09-Apr-2020 02:11 PM,10-Apr-2020 11:00 AM,techsummary_25689.pdf (768.96 KB),Rajib Kr. Changkakati,Internal,"S. Bailung, A. Baruah, P. Kalita",AMRIT BARUAH,24-Jul-2020 01:33 PM,finsummary_25689.pdf (520.14 KB),AOC
2.0,BC - Bankers Cheque,,,,,,,,,,,,.pdf,Cost of Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2,79116,DAIWIK ASSOCIATES,23-Mar-2020 11:26 AM,Rejected-Technical,Technically disqualified,09-Apr-2020 02:11 PM,,,,,,,,,,,,,,AOC
3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,3,79127,M/S G D CONSTRUCTION,23-Mar-2020 01:36 PM,Rejected-Technical,Technically disqualified,09-Apr-2020 02:11 PM,,,,,,,,,,,,,,AOC
4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,4,78989,M/S KALYAN ENTERPRISE,22-Mar-2020 09:20 PM,Rejected-AOC,Not awarded,24-Jul-2020 01:36 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,5,79146,RAHUL DUTTA,23-Mar-2020 02:33 PM,Rejected-AOC,Not awarded,24-Jul-2020 01:36 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Form of Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,6,78932,Sri Hema Gogoi,20-Mar-2020 03:38 PM,Rejected-AOC,Not awarded,24-Jul-2020 01:36 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,7,78502,Sri Hema Kanta Baruah.,15-Mar-2020 07:17 PM,Rejected-AOC,Not awarded,24-Jul-2020 01:36 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,8,79106,SRI MANAB JYOTI GOGOI,23-Mar-2020 08:18 AM,Accepted-AOC,AOC awarded,24-Jul-2020 01:36 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,9,78747,Sri Trinayan Chetia,19-Mar-2020 03:38 PM,Rejected-AOC,Not awarded,24-Jul-2020 01:36 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,10,78975,Sunil Gogoi,22-Mar-2020 01:12 AM,Rejected-AOC,Not awarded,24-Jul-2020 01:36 PM,,,,,,,,,,,,,,AOC
