S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Stage
1.0,160405.0,AJAY PATHANIA,INR,"11,260,949.7",Finance,FBOS,Chaman Singh,11-Jun-2020 10:59 AM,finance_54922.pdf,BOQ Comparative Chart,Technical,BOS,Chaman Singh,06-Jun-2020 03:50 PM,technical_54922.pdf,1.0,160405.0,AJAY PATHANIA,02-Jun-2020 02:14 PM,Accepted-AOC,Found lowest,01-Jul-2020 02:07 PM,Chief Engineer (MZ),Internal,Superintending Engineer(D and W) MZ S.E. 1st Circle Mandi E.E. (D) (Roads) MZ E.E. Sundernagar Dy. Contr. (F and A) MZ Planning Officer (Road) MZ,Chaman Singh,01-Jul-2020 02:05 PM,finsummary_54922.pdf (7950.18 KB),01-Jul-2020,"INR 11,260,950",90.0,Chaman Singh,01-Jul-2020 02:07 PM,AOC.pdf (7950.00 KB),AOC issued,PWD,2020_PWD_37272_1,PW-SNR-CB-E-Tender/19-429-37 dt 08.05.2020,Annual repair and Maintenance of NH-21 (New NH-154) Chandigarh Mandi Manali road between KM 156/750 to 178/300,Er. D.R. Chauhan Executive Engineer,Internal,N.R. Chandel AE. Suket Member Sushil Kumar DAO Gr-I Member Amar Singh HDM Member Girja Sharma Supdt PMGSY Member,Chaman Singh,09-Jun-2020 10:19 AM,09-Jun-2020 11:30 AM,techsummary_54922.pdf (2333.66 KB),AOC,"2,000",EE Sundernagar,Sundernagar,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,Annual repair and Maintenance of NH-21 (New NH-154) Chandigarh Mandi Manali road between KM 156/750 to 178/300,SH Providing and laying renewal coat with 30mm bitumen concrete at RD 173/900 to 178/300,AS per bid document ,NA ,"97,13,004",Civil Works - Roads,Tarring ,Tender,120.0,90.0,Sundernagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,"1,30,000",No,fixed,,EE Sundernagar,Sundernagar,Executive Engineer,HPPWD Sivision Sunder Nagar,20-May-2020 09:00 AM,04-Jun-2020 11:00 AM,20-May-2020 09:00 AM,03-Jun-2020 06:00 PM,NA ,NA ,20-May-2020 09:15 AM,03-Jun-2020 06:00 PM,09-Jun-2020 11:30 AM,PWD,PW-SNR-CB-E-Tender/19-429-37 dt 08.05.2020,2020_PWD_37272_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,2.0,160034.0,Ajmer Singh,30-May-2020 08:04 PM,Rejected-AOC,Not Found lowest,01-Jul-2020 02:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,3.0,160223.0,M/S NAWAL KISHORE AND SONS,02-Jun-2020 01:57 PM,Rejected-AOC,Not Found lowest,01-Jul-2020 02:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,160720.0,M/S SUKHDEV SHARMA CONTRACTOR,03-Jun-2020 01:07 PM,Rejected-AOC,Not Found lowest,01-Jul-2020 02:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Affidavit/ undertaking that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Copy of EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
