Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Er. R.K. Dhiman,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,24-Jul-2020 04:24 PM,finsummary_54410.pdf (144.77 KB),24-Jul-2020,"INR 676,159",60.0,Kishan Lal Chaudhary,24-Jul-2020 04:25 PM,aoc.pdf (915.00 KB),AOC,PWD,2020_PWD_36843_4,tender/2019-20-10346-95 dt 19.03.2020,Restoration of rain damages due to OFC laying on Paonta Puruwala Singhpura Bhagani Gojjar Dak Pathar road km. 0/0 to 26/500. (SH Providing and laying interlocking tiles ISI Mark from RD. 14/700 to 14/900),Er. R. K. Dhiman,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,04-Jun-2020 10:58 AM,04-Jun-2020 03:05 PM,techsummary_54410.pdf (824.66 KB),Finance,Fin Bid Opening Summary,Kishan Lal Chaudhary,24-Jul-2020 04:21 PM,finance_54410.pdf,BOQ Comparative Chart,1.0,158554.0,SATISH KUMAR,INR,"740,736",Technical,summary,Dalip Singh Tomar,04-Jun-2020 10:28 AM,technical_54410.pdf,1.0,158847.0,Avtar Singh,19-May-2020 11:19 AM,Rejected-Finance,L4,24-Jul-2020 04:24 PM,AOC,1.0,DD - Demand Draft,Restoration of rain damages due to OFC laying on Paonta Puruwala Singhpura Bhagani Gojjar Dak Pathar road km. 0/0 to 26/500. (SH Providing and laying interlocking tiles ISI Mark from RD. 14/700 to 14/900),Restoration of rain damages due to OFC laying on Paonta Puruwala Singhpura Bhagani Gojjar Dak Pathar road km. 0/0 to 26/500. (SH Providing and laying interlocking tiles ISI Mark from RD. 14/700 to 14/900),please refer tender document ,NA ,"6,76,159",Civil Works - Roads,NA ,Tender,90.0,60.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,350.0,EE Paonta Sahib,Paonta Sahib,Yes,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP) 173025,"13,500",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,PWD,tender/2019-20-10346-95 dt 19.03.2020,2020_PWD_36843_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,04-May-2020 04:30 PM,20-May-2020 11:30 AM,04-May-2020 05:00 PM,19-May-2020 05:00 PM,NA ,NA ,04-May-2020 05:00 PM,19-May-2020 05:00 PM,04-Jun-2020 03:05 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,158911.0,DINESH KUMAR GUPTA,19-May-2020 03:58 PM,Rejected-Finance,L2,24-Jul-2020 04:24 PM,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,158845.0,KULDEEP SINGH,19-May-2020 11:26 AM,Rejected-Technical,Not qualified,04-Jun-2020 10:58 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,158864.0,Mohabat construction,19-May-2020 12:57 PM,Rejected-Finance,L3,24-Jul-2020 04:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,158554.0,SATISH KUMAR,18-May-2020 12:18 PM,Accepted-AOC,L1,24-Jul-2020 04:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,158734.0,Shamshad Ali Contractor,18-May-2020 02:09 PM,Rejected-Technical,Not qualified,04-Jun-2020 10:58 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery as schedule F Sr.No.6.19Ref.Cl-No.18 i.e.R.C,purchase bills,ownership/Affidavit hire basis",,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him gen. Rule sr.no.16),,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,AOC
