Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
C/O Additional Accommodation of Science Block (Model-C) at Govt. Sr. Sec. School Darini,"(SH- C/O Building portion, WS and SI, rain water harvesting system and C/O septic tank).",Please refer Tender documents. ,NA ,"81,15,636",Civil Works - Buildings,NA ,Tender,120.0,270.0,items,176001.0,NA ,NA ,NA ,"Executive Engineer, HP.PWD., Division, Kangra",No ,No,19-Mar-2020 04:00 PM,03-Apr-2020 11:30 AM,19-Mar-2020 04:00 PM,03-Apr-2020 11:00 AM,NA ,NA ,19-Mar-2020 04:00 PM,03-Apr-2020 11:00 AM,28-Apr-2020 12:25 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F(Required only National Bank ),"1,13,700",No,fixed,,EE Kangra,Kangra,1.0,FDR - Fixed Deposit,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra","2,000",EE Kangra,Kangra,No,PWD,18786-18835 dt.9.3.2020,2020_PWD_36288_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,1.0,156514.0,deepesh kaundal govt contractor,28-Mar-2020 12:12 PM,Rejected-Finance,Rate higher side,21-Jul-2020 02:18 PM,Technical,Summary,Sanjiv Mahajan,28-Apr-2020 12:17 PM,technical_53534.pdf,1.0,156508.0,Surinder Singh Govt.Contractor,INR,"9,902,836",Finance,Summary,Sanjiv Mahajan,21-Jul-2020 02:14 PM,finance_53534.pdf,BOQ Comparative Chart,Sanjiv Mahajan,Internal,"Sh. Ajay Kumar Mahajan, HDM, Sh. Jiwan Singh, Supdt. (Gr-II)",Sanjiv Mahajan,28-Apr-2020 12:21 PM,28-Apr-2020 12:25 PM,techsummary_53534.pdf (109.74 KB),PWD,2020_PWD_36288_1,18786-18835 dt.9.3.2020,C/O Additional Accommodation of Science Block (Model-C) at Govt. Sr. Sec. School Darini,21-Jul-2020,"INR 8,115,636",270.0,Sanjiv Mahajan,21-Jul-2020 02:18 PM,Award.pdf (247.00 KB),Award,Sanjiv Mahajan,Internal,"Sh. Santosh Kumar Dyal, DAO Gr-I, Sh. Jiwan Singh, Supdt. Gr-II. Sh. Ajay Kumar, HDM",Sanjiv Mahajan,21-Jul-2020 02:17 PM,finsummary_53534.pdf (46.40 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,156508.0,Surinder Singh Govt.Contractor,28-Mar-2020 10:57 AM,Accepted-AOC,Award,21-Jul-2020 02:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical staff required as per Clause 36(1(2) and 36(A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b and Sr. No-4 Schedule-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (Refer General Rule No-21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
