S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,150781.0,naresh vij govt contractor,INR,"7,661,438",Finance,Financial bid summary,Arvind Kumar,04-Mar-2020 11:06 AM,finance_51447.pdf,BOQ Comparative Chart,Technical,Techncial bid opening summary,Arvind Kumar,03-Mar-2020 10:34 AM,technical_51447.pdf,1.0,150781.0,naresh vij govt contractor,27-Feb-2020 07:55 PM,Accepted-AOC,Lowest,22-Jul-2020 04:55 PM,22-Jul-2020,"INR 7,661,438",60.0,Arvind Kumar,22-Jul-2020 04:54 PM,Award.pdf (372.00 KB),AMP for the Year 2020 for Solan Barog Kumarhatti road Km0/0 to 5/0,ER Arvind Sharma EE B and R Solan,Internal,Shri Deepak Anand Senior DAO Solan Shri Hemender Sharma HDM and Smt Rekha Kashyap Supdt Grade II PMGSY,Arvind Kumar,22-Jul-2020 04:51 PM,finsummary_51447.pdf (29.05 KB),Er Arvind Sharma EE B and R Solan,Internal,Shri Deepak Anand Senior DAO Solan shri Hemender Sharma HDM and Smt Rekha Kashyap Supdt Grade II PMGSY,Arvind Kumar,03-Mar-2020 11:38 AM,03-Mar-2020 11:45 AM,techsummary_51447.pdf (35.55 KB),PWD,2020_PWD_35087_1,16203-10 dated 04.02.2020 Solan Barog Khatti road,AMP for the Year 2020 for Solan Barog Kumarhatti road Km0/0 to 5/0,AOC,15-Feb-2020 10:00 AM,29-Feb-2020 11:00 AM,15-Feb-2020 10:00 AM,29-Feb-2020 10:30 AM,NA ,NA ,15-Feb-2020 10:00 AM,29-Feb-2020 10:30 AM,03-Mar-2020 11:45 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and erenest money indicate in Schedule F,AMP for the Year 2020 for Solan Barog Kumarhatti road Km0/0 to 5/0,SH Providing and laying renewal coat by providing Bitumenous concrete in Km2/0 to 5/0 including road marking and side drain,Please refer Tender documents. ,NA ,"60,35,704",Civil Works,NA ,Tender,90.0,60.0,Solan,173212.0,NA ,NA ,NA ,Solan,No ,No,1.0,DD - Demand Draft,PWD,16203-10 dated 04.02.2020 Solan Barog Khatti road,2020_PWD_35087_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"5,000",EE B and R Division HPPWD Solan,EE Solan,No,EE B and R Division HPPWD Solan,Near New Bus stand Solan,"92,200",No,fixed,,EE B and R Division HPPWD Solan,EE Solan,AOC
,,,,,,,,,,,,,,,,2.0,151394.0,PAWAN SHARMA,28-Feb-2020 10:38 AM,Rejected-AOC,Ok,22-Jul-2020 04:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Contractors registraiton reffer general rules No 23,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,GST registraton refer general rules no 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,work done certifidcate and work in hand certificate refer in general rules No 19 schedule F Note wor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,"List of machenery, tool plant shown in schedule F with refeerence to clause 18 Affidavit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,affdavits of correctness of all the documents are submitted is true by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Contractor should have to submit the proof of EPF as mentioned in SBD Clause 25 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Work done condition one similar nature of work not less than 40 percent of the estimated cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Form NO8 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
