Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
11-Jul-2020,"INR 1,923,960",90.0,Pradeep Kumar Bhardwaj,11-Jul-2020 11:10 AM,AOC33730_2.pdf (920.00 KB),AOC,ErPardeepKumarBhardwaj,Internal,ShAmarSinghVermaHDMShManojkumarsupdtShSanjeevchauhansrAssistant,Pradeep Kumar Bhardwaj,11-Jul-2020 11:08 AM,finsummary_48597.pdf (573.70 KB),ErPardeepKumarBhardwaj,Internal,Sh AmarSinghVermaHDMShManojkumarsupdtGRthakurSrDAO,Pradeep Kumar Bhardwaj,24-Jan-2020 04:55 PM,27-Jan-2020 11:00 AM,techsummary_48597.pdf (587.38 KB),PWD,2019_PWD_33730_2,SD-I-CTR-19824 dt 18-12-2019,M/T of Chamyana Surala road km 0/00 to 6/00 (SH P/L M/T in RD 4/00 to 6/00 under SCCP),Technical,Bid opening summary,Pradeep Kumar Bhardwaj,22-Jan-2020 05:09 PM,technical_48597.pdf,1.0,144812.0,Arvind Kumar,18-Jan-2020 02:06 PM,Rejected-Finance,2nd Lowest,11-Jul-2020 11:09 AM,Finance,Bid opening summary,Pradeep Kumar Bhardwaj,28-Jan-2020 10:45 AM,finance_48597.pdf,BOQ Comparative Chart,1.0,144789.0,SURINDER SINGH,INR,"2,793,614",AOC,Executive Engineer Division No-I HPPWD Shimla-3,Executive Engineer Division No-I HPPWD Shimla-3,500.0,Executive Engineer Division No-I HPPWD Shimla-3,Executive Engineer Division No-I HPPWD Shimla-3,No,M/T of Chamyana Surala road km 0/00 to 6/00 (SH P/L M/T in RD 4/00 to 6/00 under SCCP),M/T of Chamyana Surala road km 0/00 to 6/00 (SH P/L M/T in RD 4/00 to 6/00 under SCCP),AS per SBD ,NA ,"19,23,960",Civil Works,NA ,Tender,120.0,90.0,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-I HPPWD Shimla-3,No ,No,03-Jan-2020 06:00 PM,21-Jan-2020 11:00 AM,03-Jan-2020 06:00 PM,20-Jan-2020 04:00 PM,NA ,NA ,03-Jan-2020 06:00 PM,20-Jan-2020 04:00 PM,27-Jan-2020 11:00 AM,1.0,Corrigendum,Other,,1.0,DD - Demand Draft,"36,400",No,fixed,,Executive Engineer Division No-I HPPWD Shimla-3,Executive Engineer Division No-I HPPWD Shimla-3,PWD,SD-I-CTR-19824 dt 18-12-2019,2019_PWD_33730_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,145502.0,Balbir Kewla,18-Jan-2020 12:59 PM,Rejected-Technical,FDR and other document not submit,24-Jan-2020 04:55 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,144789.0,SURINDER SINGH,18-Jan-2020 01:41 PM,Accepted-AOC,Awarded,11-Jul-2020 11:11 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.21),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.19 ),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employee Provident Funds and Miscellaneous provision Act. 1952,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,AOC
