Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,Bid Opening Summary,Ajay Kumar Soni,19-Feb-2020 01:06 PM,technical_51000.pdf,1.0,149990.0,GHANSHYAM,18-Feb-2020 04:32 PM,Rejected-Finance,L5,18-Jul-2020 01:01 PM,Finance,Financial Bid Opening Summary,Ajay Kumar Soni,02-Mar-2020 02:32 PM,finance_51000.pdf,BOQ Comparative Chart,1.0,149864.0,SUBHASH,INR,"844,751",18-Jul-2020,"INR 641,706",60.0,Sudhir Kumar Gupta,18-Jul-2020 01:07 PM,fin2020-34776-6.pdf (77.00 KB),AOC,Er Sudhir Kumar Gupta EE,Internal,ShPremRajMeenDAO ShRamSawaroopSupdt ShSureshKumarVermaHDM,Sudhir Kumar Gupta,18-Jul-2020 01:00 PM,finsummary_51000.pdf (77.20 KB),Er. Sudhir Kumar Gupta,Internal,Sh. Ram Swaroop Supdtt. Sh. Prem Raj Meena DAO Sh. Suresh Verma HDM Sh. Ramesh Thakur TA,Ajay Kumar Soni,02-Mar-2020 01:56 PM,02-Mar-2020 02:00 PM,techsummary_51000.pdf (232.72 KB),PWD,2020_PWD_34776_6,PW-SRDD-CB- CTR 2019-20- 18751 DT.21.01.2020,Construction of Additional Accommodation for Junior Engineer Residance building in (first floor) at HP PWD Jalog Tehsil Sunni District Shimla HP,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),EE Dhami,Shimla Rural Division HPPWD Dhami,"13,500",No,fixed,,EE Dhami,Dhami,10-Feb-2020 06:00 PM,19-Feb-2020 11:00 AM,10-Feb-2020 06:00 PM,18-Feb-2020 05:00 PM,NA ,NA ,10-Feb-2020 06:00 PM,18-Feb-2020 05:00 PM,02-Mar-2020 02:00 PM,PWD,PW-SRDD-CB- CTR 2019-20- 18751 DT.21.01.2020,2020_PWD_34776_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Construction of Additional Accommodation for Junior Engineer Residance building in (first floor) at HP PWD Jalog Tehsil Sunni District Shimla HP,SH Construction of Building Portion and Water supply and Sanitary installation etc.,Please refer Tender documents. ,NA ,"6,41,706",Civil Works - Buildings,NA ,Tender,120.0,60.0,DHAMI,171103.0,NA ,NA ,NA ,SE 4th Circle Shimla,No ,No,1.0,DD - Demand Draft,500.0,EE Dhami,Dhami,No,AOC
,,,,,2.0,150013.0,Laxmi Dass Kaundal,18-Feb-2020 02:46 PM,Rejected-Finance,L4,18-Jul-2020 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,AOC
,,,,,3.0,149830.0,Man mohan thakur,17-Feb-2020 01:41 PM,Rejected-Finance,L2,18-Jul-2020 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,149982.0,ML CONSTRUTION SERVICES,18-Feb-2020 03:56 PM,Rejected-Finance,L3,18-Jul-2020 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,5.0,149864.0,SUBHASH,18-Feb-2020 02:40 PM,Accepted-AOC,AWARDED,18-Jul-2020 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
