Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
24-Jul-2020,"INR 911,478",180.0,Kishan Lal Chaudhary,24-Jul-2020 03:31 PM,aoc.pdf (924.00 KB),AOC,Er. R.K. Dhiman,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,24-Jul-2020 03:27 PM,finsummary_54416.pdf (141.97 KB),Er. R. K. Dhiman,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,04-Jun-2020 11:13 AM,04-Jun-2020 03:20 PM,techsummary_54416.pdf (749.29 KB),PWD,2020_PWD_36843_6,tender/2019-20-10346-95 dt 19.03.2020,Construction of Paonta Puruwala Singhpura Bhagani Gojjar Dakpathar road km. 26/500.(MDR-94) (SH Construction of balance work of 28.48 mtrs RCC Box Cell Vented causeway at RD 13/960) Under Himachal improvement Scheme.,1.0,158850.0,Avtar Singh,INR,"1,069,456",Finance,Fin Bid Opening Summary,Kishan Lal Chaudhary,24-Jul-2020 03:23 PM,finance_54416.pdf,BOQ Comparative Chart,Technical,summary,Dalip Singh Tomar,04-Jun-2020 10:31 AM,technical_54416.pdf,1.0,158850.0,Avtar Singh,19-May-2020 11:30 AM,Accepted-AOC,L1,24-Jul-2020 03:32 PM,AOC,04-May-2020 04:30 PM,20-May-2020 11:30 AM,04-May-2020 05:00 PM,19-May-2020 05:00 PM,NA ,NA ,04-May-2020 05:00 PM,19-May-2020 05:00 PM,04-Jun-2020 03:20 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,1.0,DD - Demand Draft,PWD,tender/2019-20-10346-95 dt 19.03.2020,2020_PWD_36843_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Construction of Paonta Puruwala Singhpura Bhagani Gojjar Dakpathar road km. 26/500.(MDR-94) (SH Construction of balance work of 28.48 mtrs RCC Box Cell Vented causeway at RD 13/960) Under Himachal improvement Scheme.,Construction of Paonta Puruwala Singhpura Bhagani Gojjar Dakpathar road km. 26/500.(MDR-94) (SH Construction of balance work of 28.48 mtrs RCC Box Cell Vented causeway at RD 13/960) Under Himachal improvement Scheme.,please refer tender document ,NA ,"9,11,478",Civil Works - Roads,NA ,Tender,90.0,180.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,"18,300",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP) 173025,350.0,EE Paonta Sahib,Paonta Sahib,Yes,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,158921.0,DARSHAN SINGH,19-May-2020 04:15 PM,Rejected-Technical,Not qualified,04-Jun-2020 11:13 AM,AOC,,,,,,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,158923.0,DINESH KUMAR GUPTA,19-May-2020 04:23 PM,Rejected-Technical,Not qualified,04-Jun-2020 11:13 AM,AOC,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,158625.0,Randhir Singh,17-May-2020 08:11 PM,Rejected-Technical,Not qualified,04-Jun-2020 11:13 AM,AOC,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,158704.0,SATISH KUMAR,18-May-2020 01:06 PM,Rejected-Finance,L2,24-Jul-2020 03:28 PM,AOC,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,"Machinery as schedule F Sr.No.6.19Ref.Cl-No.18 i.e.R.C,purchase bills,ownership/Affidavit hire basis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him gen. Rule sr.no.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
