Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Construction of Bamta Kanchi to Mamvi Sangroli road in GP. Bamta km 0/0 to 4/500,"Cutting in earth work between km RD 0/0 to 0/100 , 0/200 to 0/480 and C/O PCC. R/Wall at Km 0/090 to 0/105, C/O PCC. B/Wall km 0/800 to 0/810, P/L HPC. at RD. 0/080 and C/O Wire Crate B/Wall at RD. 0/300 to 0/320, 0/340 to 0/350,0/600 to 0/630, 1/05",Please refer Tender documents. ,NA ,"12,03,400",Civil Works - Roads,NA ,Tender,120.0,60.0,CHOPAL,171211.0,NA ,NA ,NA ,CHOPAL,No ,No,"25,000",No,fixed,,EE CHOPAL,CHOPAL,EE CHOPAL,HPPWD CHOPAL,350.0,EE CHOPAL,CHOPAL,No,PWD,NO PW CHD CB -E-9/-19 5505-5604,2019_PWD_33621_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,23-Dec-2019 04:00 PM,31-Dec-2019 11:00 AM,23-Dec-2019 04:00 PM,28-Dec-2019 05:00 PM,NA ,NA ,23-Dec-2019 04:00 PM,28-Dec-2019 05:00 PM,09-Jun-2020 02:30 PM,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),AOC,Finance,Bid Opening Summary,Yogesh Sharma,29-Jul-2020 11:52 AM,finance_48465.pdf,BOQ Comparative Chart,1.0,142823.0,Kuldeep Singh,INR,"1,886,926",1.0,142843.0,Basant Chauhan,28-Dec-2019 04:45 PM,Rejected-AOC,Rejected,29-Jul-2020 12:02 PM,Technical,Bid Opening Summary,Kamal Singh Pal,09-Jun-2020 02:19 PM,technical_48465.pdf,PWD,2019_PWD_33621_3,NO PW CHD CB -E-9/-19 5505-5604,Construction of Bamta Kanchi to Mamvi Sangroli road in GP. Bamta km 0/0 to 4/500,Er KS Pal,Internal,Suptt DAO DHD TA,Kamal Singh Pal,09-Jun-2020 02:24 PM,09-Jun-2020 02:30 PM,techsummary_48465.pdf (585.24 KB),Er JC Kanungo,Internal,Er JC Kanungo Suptt DAO DHD TA,Yogesh Sharma,29-Jul-2020 11:57 AM,finsummary_48465.pdf (17.99 KB),29-Jul-2020,"INR 1,886,926",60.0,Yogesh Sharma,29-Jul-2020 12:01 PM,62.pdf (244.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,The Earnest Money (Indicated In Schedule F),AOC,,,,,,,,,,,,2.0,142823.0,Kuldeep Singh,28-Dec-2019 03:09 PM,Accepted-AOC,Accepted,29-Jul-2020 12:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),AOC,,,,,,,,,,,,3.0,142817.0,PARAS GAZTA,28-Dec-2019 04:33 PM,Rejected-Technical,Non Responsive,09-Jun-2020 02:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),AOC,,,,,,,,,,,,4.0,142701.0,VIPAN KUMAR,28-Dec-2019 01:51 PM,Rejected-Technical,Non Responsive,09-Jun-2020 02:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
