Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Sanjiv Mahajan,Internal,"Sh. Santosh Dyal, DAO (Gr-I), Sh. Jiwan Singh, Supdt. Gr-II, Sh. Ajay Kumar, HDM",Sanjiv Mahajan,02-Jul-2020 03:15 PM,finsummary_53454.pdf (25.03 KB),02-Jul-2020,"INR 1,385,808",30.0,Sanjiv Mahajan,02-Jul-2020 03:20 PM,boqcomparativechartghata.pdf (25.00 KB),AOC,PWD,2020_PWD_36164_7,18679-18728 dt.7.3.2020,Annual Maintenance Plan (AMP) of Kangra Sub Division for the year 2020-21 Rural Road Ghata to Damehar (HP0406VR064) km. 0/0 to 1/0 and 1/0 to 1/770,Sanjiv Mahajan,Internal,"Er. Rishi Kumar, A.E., Sh. S.K. Dayal (DAO) (Gr-I), Sh. Ajay Kumar Mahajan, HDM, Sh. Jiwan Singh, Supdt. (Gr-II)",Sanjiv Mahajan,22-Apr-2020 12:57 PM,22-Apr-2020 01:00 PM,techsummary_53454.pdf (114.95 KB),Technical,Summary,Sanjiv Mahajan,22-Apr-2020 12:55 PM,technical_53454.pdf,1.0,156595.0,Navneet Thakur,01-Apr-2020 01:18 PM,Accepted-AOC,Award,02-Jul-2020 03:21 PM,Finance,Award,Sanjiv Mahajan,02-Jul-2020 03:10 PM,finance_53454.pdf,BOQ Comparative Chart,1.0,156595.0,Navneet Thakur,INR,"1,500,794",AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F(Required only National Bank ),"27,750",No,fixed,,EE Kangra,Kangra,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",500.0,EE Kangra,Kangra,No,1.0,FDR - Fixed Deposit,19-Mar-2020 10:00 AM,03-Apr-2020 11:30 AM,19-Mar-2020 10:00 AM,03-Apr-2020 10:00 AM,NA ,NA ,19-Mar-2020 10:00 AM,03-Apr-2020 10:00 AM,22-Apr-2020 01:00 PM,Annual Maintenance Plan (AMP) of Kangra Sub Division for the year 2020-21 Rural Road Ghata to Damehar (HP0406VR064) km. 0/0 to 1/0 and 1/0 to 1/770,(SH- P/L 30mm thick bituminous concrete in km. 0/0 to 1/0 and 1/0 to 1/770).,Please refer Tender documents. ,NA ,"13,85,808",Civil Works - Roads,NA ,Tender,120.0,30.0,items,176001.0,NA ,NA ,NA ,"Executive Engineer, HP.PWD., Division, Kangra",No ,No,PWD,18679-18728 dt.7.3.2020,2020_PWD_36164_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,156537.0,VP SHARMA,29-Mar-2020 04:47 PM,Rejected-Finance,Rate higher side,02-Jul-2020 03:15 PM,,,,,,,,,,,,AOC,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Detail of technical staff required as per Clause 36(1(2) and 36(A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Detail of litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b and Sr. No-4 Schedule-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST Registration (Refer General Rule No-21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
