EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"6,250",No,fixed,,Executive Officer MC Solan,Solan,Executive Officer MC Solan,Executive Officer MC Solan,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Copy of valid registration,Providing and laying Railing and R/wall from Attri Niwas to Smt Lalita house,Providing and laying Railing and R/wall from Attri Niwas to Smt Lalita house,Please refer Tender documents. ,NA ,"2,50,000",Civil Works,NA ,Tender,90.0,60.0,MC Solan,173212.0,NA ,NA ,NA ,MC Solan,No ,No,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Solan - UDDHP,"TEN(5)20/2019-4693-95,09/12/19",2019_UDDHP_33609_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,Executive Officer MC Solan,Solan,No,01-Jan-2020 09:00 AM,08-Jan-2020 02:00 PM,01-Jan-2020 09:00 AM,07-Jan-2020 05:00 PM,NA ,NA ,01-Jan-2020 09:00 AM,07-Jan-2020 05:00 PM,24-Jan-2020 05:00 PM,AOC,AE and JE,Internal,AE and JE,Vinod Pal,24-Jan-2020 01:08 PM,24-Jan-2020 05:00 PM,techsummary_48428.pdf (33.11 KB),1,144167,Bhupender Jaswal Contractor,07-Jan-2020 04:43 PM,Rejected-AOC,ok,01-Jul-2020 01:44 PM,01-Jul-2020,"INR 305,842",60.0,Lalit Kumar,01-Jul-2020 01:44 PM,33609.pdf (1495.00 KB),Awarded,Finance,ok,Vinod Pal,07-Feb-2020 03:04 PM,finance_48428.pdf,BOQ Comparative Chart,Technical,ok,Pramod Arya,21-Jan-2020 03:54 PM,technical_48428.pdf,AE and JE,Internal,AE and JE,Vinod Pal,05-Mar-2020 11:29 AM,finsummary_48428.pdf (33.10 KB),1.0,144081.0,Nitin Sharma,INR,"305,842.45",Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Solan - UDDHP,2019_UDDHP_33609_1,"TEN(5)20/2019-4693-95,09/12/19",Providing and laying Railing and R/wall from Attri Niwas to Smt Lalita house,AOC
,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,144112,BHUPENDER SINGH THAKUR,07-Jan-2020 02:53 PM,Rejected-AOC,ok,01-Jul-2020 01:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,144157,Jeevan Singh,07-Jan-2020 04:10 PM,Rejected-AOC,ok,01-Jul-2020 01:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,144081,Nitin Sharma,07-Jan-2020 12:48 PM,Accepted-AOC,ok,01-Jul-2020 01:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,144089,Parminder Dhiman,07-Jan-2020 01:09 PM,Rejected-AOC,ok,01-Jul-2020 01:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,144029,RAMESH CHAND,06-Jan-2020 07:39 PM,Rejected-AOC,ok,01-Jul-2020 01:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,143708,Rohit Chauhan,04-Jan-2020 10:35 AM,Rejected-AOC,ok,01-Jul-2020 01:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,144164,Subhash Chand Rana,07-Jan-2020 04:29 PM,Rejected-AOC,ok,01-Jul-2020 01:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,144076,Virender Thakur,07-Jan-2020 03:44 PM,Rejected-AOC,ok,01-Jul-2020 01:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,144051,Vivek Dobhal,07-Jan-2020 10:07 AM,Rejected-AOC,ok,01-Jul-2020 01:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
