Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Instrument Type,Tender Stage
Executive Engineer,Internal,Superintendent G-II DAO DHD TA,Rattan Kumar Sharma,29-Jul-2020 02:48 PM,finsummary_56526.pdf (224.58 KB),29-Jul-2020,"INR 602,900",120.0,Rattan Kumar Sharma,29-Jul-2020 02:51 PM,32.pdf (3822.00 KB),AOC,PWD,2020_PWD_38270_3,1231-81 dated 09.06.2020,C/O Govt. Degree College at Sangrah,Executive Engineer,Internal,Superintendent G-II DHD DAO,Rattan Kumar Sharma,14-Jul-2020 12:38 PM,14-Jul-2020 02:30 PM,techsummary_56526.pdf (884.59 KB),Technical,SUMMARY,Rattan Kumar Sharma,08-Jul-2020 11:53 AM,technical_56526.pdf,1.0,166122.0,ANIL KUMAR,06-Jul-2020 01:38 PM,Rejected-Technical,Not Qualified,14-Jul-2020 12:38 PM,1.0,166047.0,SUNIL KUMAR,INR,"490,278",Finance,SUMMARY,Rattan Kumar Sharma,17-Jul-2020 03:14 PM,finance_56526.pdf,BOQ Comparative Chart,AOC,22-Jun-2020 05:00 PM,07-Jul-2020 11:30 AM,22-Jun-2020 05:00 PM,06-Jul-2020 05:00 PM,NA ,NA ,22-Jun-2020 05:00 PM,06-Jul-2020 05:00 PM,14-Jul-2020 02:30 PM,350.0,"Executive Engineer, HPPWD Division Sangrah",Sangrah,No,"12,100",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",Sangrah,C/O Govt. Degree College at Sangrah,C/O PCC R/Wall and Back filling behind Retaining wall at Govt. degree College Sangrah),Please refer Tender documents. ,NA ,"6,02,900",Civil Works,NA ,Tender,90.0,120.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,PWD,1231-81 dated 09.06.2020,2020_PWD_38270_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,166020.0,Babu ram,05-Jul-2020 02:31 PM,Rejected-Finance,L4,29-Jul-2020 02:49 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,166052.0,BALBIR SINGH,05-Jul-2020 08:33 PM,Rejected-Finance,L3,29-Jul-2020 02:49 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FULL COPY OF LATEST CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,166151.0,BHARAT BHUSHAN,06-Jul-2020 03:32 PM,Rejected-Finance,L7,29-Jul-2020 02:49 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST NUMBER,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,165321.0,MULTAN SINGH,29-Jun-2020 04:46 PM,Rejected-Finance,L5,29-Jul-2020 02:49 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"LIST OF MACHINERY, TOOL, PLANT AS PER SBD CONDITIONS",,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,166111.0,RANDEEP SINGH,06-Jul-2020 12:57 PM,Rejected-Finance,L6,29-Jul-2020 02:49 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM NO 8,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,166034.0,SUBHASH CHAND,05-Jul-2020 05:03 PM,Rejected-Finance,L2,29-Jul-2020 02:49 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,166047.0,SUNIL KUMAR,05-Jul-2020 07:56 PM,Accepted-AOC,AOC,29-Jul-2020 02:52 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof to registration under Employees Provident Funds,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,UNDERTAKING THAT CONTRACTOR SHOULD NOT HAVE MORE THAN TWO CONTRACTS AT A TIME EACH OF RS. 02.00 LACS,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,AOC
