Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Er. Sushil Dhadwal,Internal,Sh.Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,04-Jun-2020 07:53 PM,finsummary_52753.pdf (470.33 KB),06-Jul-2020,"INR 1,658,910",90.0,Vijay Kumar Chaudhary,06-Jul-2020 06:13 PM,35890_3.pdf (1048.00 KB),SHRI NAVNEET THAKUR,PWD,2020_PWD_35890_3,9901-10,Periodic maintenance of Anil Gas Service to GPS Kand Link Dharamshala Khaniyara Road under AMP 2020-21 Rural Road in District Kangra (HP),Er. Sushil Dhadwal,Internal,Members Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,23-Apr-2020 02:54 PM,23-Apr-2020 03:00 PM,techsummary_52753.pdf (964.16 KB),Technical,As per document attached,Sushil Kumar Dhadwal,23-Mar-2020 04:23 PM,technical_52753.pdf,1.0,155373.0,Navneet Thakur,17-Mar-2020 07:20 PM,Accepted-AOC,L1,06-Jul-2020 06:14 PM,1.0,155373.0,Navneet Thakur,INR,"1,658,910",Finance,As per document attached,Sushil Kumar Dhadwal,28-Apr-2020 01:15 PM,finance_52753.pdf,BOQ Comparative Chart,AOC,04-Mar-2020 10:00 AM,19-Mar-2020 11:30 AM,04-Mar-2020 10:00 AM,18-Mar-2020 05:00 PM,NA ,NA ,04-Mar-2020 10:00 AM,18-Mar-2020 05:00 PM,23-Apr-2020 03:00 PM,1.0,DD - Demand Draft,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,500.0,EE Dharamshala,Dharamshala,No,Periodic maintenance of Anil Gas Service to GPS Kand Link Dharamshala Khaniyara Road under AMP 2020-21 Rural Road in District Kangra (HP),SH- Providing and Laying 30mm thick Bituminous concrete laying with paver finisher in km 1/000 to 2/210,Please refer Tender documents. ,NA ,"15,26,061",Civil Works - Roads,NA ,Tender,120.0,90.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (Indicated in schedule F),PWD,9901-10,2020_PWD_35890_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"30,400",No,fixed,,EE Dharamshala,Dharamshala,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,155525.0,pritam singh thkur,18-Mar-2020 12:13 PM,Rejected-Finance,L4,04-Jun-2020 07:53 PM,,,,,,,,,,,,AOC,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (Indicated in schedule F),,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,155625.0,Rohit,18-Mar-2020 03:54 PM,Rejected-Finance,L2,04-Jun-2020 07:53 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,155560.0,Ujjawal Singh,18-Mar-2020 03:40 PM,Rejected-Technical,NOT FULFILLING THE TENDER CRITERIAL,23-Apr-2020 02:54 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (General rule 21),,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,154570.0,VP SHARMA,13-Mar-2020 04:16 PM,Rejected-Finance,L3,04-Jun-2020 07:53 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (General rule 19),,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him (General rule No.16),,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number(EPF Number),,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery including Hot Mix plant with proof i.e RCs etc. and staff (indicated in schedule F,,,,,,,,,,,,,,,,,,,,,AOC
