Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
350.0,EE Paonta Sahib,Paonta Sahib,Yes,PWD,tender/2019-20-4213-63 dated 28.10.2019,2019_PWD_32475_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,06-Nov-2019 04:30 PM,18-Nov-2019 11:30 AM,06-Nov-2019 05:00 PM,16-Nov-2019 05:00 PM,NA ,NA ,06-Nov-2019 05:00 PM,16-Nov-2019 05:00 PM,26-Nov-2019 11:30 AM,Construction of Kotri Bagna Swar Kolar road km. 0/0 to 8/0 (SH Providing and laying GSB and Grading-II in km. 5/0 to 6/0).(MNP).,Construction of Kotri Bagna Swar Kolar road km. 0/0 to 8/0 (SH Providing and laying GSB and Grading-II in km. 5/0 to 6/0).(MNP).,Please refer tender document ,NA ,"6,94,715",Civil Works - Roads,NA ,Tender,60.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,1.0,DD - Demand Draft,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP)173025,"14,000",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,AOC,Er. R.K.Dhiman,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,25-Nov-2019 04:03 PM,26-Nov-2019 11:30 AM,techsummary_46717.pdf (791.55 KB),PWD,2019_PWD_32475_6,tender/2019-20-4213-63 dated 28.10.2019,Construction of Kotri Bagna Swar Kolar road km. 0/0 to 8/0 (SH Providing and laying GSB and Grading-II in km. 5/0 to 6/0).(MNP).,08-Jul-2020,"INR 694,715",90.0,Dalip Singh Tomar,08-Jul-2020 12:05 PM,aoc.pdf (1270.00 KB),AOC,Er. R.K.Dhiman,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,08-Jul-2020 12:03 PM,finsummary_46717.pdf (347.07 KB),1.0,136415.0,Ramesh Chand,INR,"1,113,926",Finance,Fin. Summary,Dalip Singh Tomar,08-Jul-2020 12:01 PM,finance_46717.pdf,BOQ Comparative Chart,1.0,136378.0,IQUBAL,16-Nov-2019 01:18 PM,Rejected-Technical,Not Qualified,25-Nov-2019 04:03 PM,Technical,Bid Opening Summary,Dalip Singh Tomar,25-Nov-2019 03:34 PM,technical_46717.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,136463.0,Naveen Chauhan,16-Nov-2019 02:11 PM,Rejected-Finance,L2,08-Jul-2020 12:03 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,136455.0,Nikhil,16-Nov-2019 01:20 PM,Rejected-Technical,Not Qualified,25-Nov-2019 04:03 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,136468.0,Rahul Chuhan,16-Nov-2019 02:42 PM,Rejected-Technical,Not Qualified,25-Nov-2019 04:03 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,136415.0,Ramesh Chand,15-Nov-2019 09:38 PM,Accepted-AOC,L1,08-Jul-2020 12:05 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery as per schedule F Sr.No.6.19Ref.Cl- No.18 i.e.R.C, purchase bills,ownership/Affidavit hire",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him gen. Rule sr.no.16),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
