Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,Summary,Sanjiv Mahajan,29-May-2020 04:37 PM,technical_47606.pdf,1.0,140259.0,NAVNEET SHARMA GOVT. CONTRACTOR,15-Dec-2019 11:42 PM,Rejected-Finance,Rate higher side,04-Jul-2020 01:24 PM,Finance,Summary,Sanjiv Mahajan,04-Jul-2020 01:22 PM,finance_47606.pdf,BOQ Comparative Chart,1.0,140263.0,VP SHARMA,INR,"2,127,811",04-Jul-2020,"INR 1,671,866",30.0,Sanjiv Mahajan,04-Jul-2020 01:25 PM,Award.pdf (237.00 KB),Award,s,Internal,"Sh. Santosh Kumar Dyal, DAO Gr-I, Sh. Jiwan Singh, Supdt. Gr-II. Sh. Ajay Kumar, HDM",Sanjiv Mahajan,04-Jul-2020 01:24 PM,finsummary_47606.pdf (25.06 KB),Sanjiv Mahajan,Internal,"Sh. Ajay Kumar, HDM, Sh. Jiwan Singh, Supdt. (Gr-II)",Sanjiv Mahajan,29-May-2020 04:40 PM,29-May-2020 04:45 PM,techsummary_47606.pdf (122.46 KB),PWD,2019_PWD_33029_1,11591-11640 dated 20-11-2019,Annual Maintenance plan (AMP) f Kangra Sub Division for the year 2019-20 Rural Road Zamanabad to Mehalu (HP0406VR049) km. 0/0 to 0/360),AOC,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",Annual Maintenance plan (AMP) f Kangra Sub Division for the year 2019-20 Rural Road Zamanabad to Mehalu (HP0406VR049) km. 0/0 to 0/360),(SH- P/L 30mm thick bituminous concrete pavement),Please refer Tender documents. ,NA ,"16,71,866",Civil Works - Roads,NA ,Tender,120.0,30.0,Work,176001.0,NA ,NA ,NA ,"Executive Engineer, HP.PWD., Division, Kangra",No ,No,500.0,"Executive Engineer H.P.PWD., Kangra",Kangra,No,PWD,11591-11640 dated 20-11-2019,2019_PWD_33029_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,FDR - Fixed Deposit,05-Dec-2019 10:00 AM,19-Dec-2019 11:30 AM,05-Dec-2019 10:00 AM,19-Dec-2019 11:00 AM,NA ,NA ,05-Dec-2019 10:00 AM,19-Dec-2019 11:00 AM,29-May-2020 04:45 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F(Required only National Bank ),"32,600",No,fixed,,"Executive Engineer H.P.PWD., Kangra",Kangra,AOC
,,,,,2.0,140914.0,pritam singh thkur,18-Dec-2019 04:27 PM,Rejected-Technical,Non Responsive,29-May-2020 04:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,AOC
,,,,,3.0,140263.0,VP SHARMA,16-Dec-2019 01:44 AM,Accepted-AOC,Award,04-Jul-2020 01:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical staff required as per Clause 36(1(2) and 36(A),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of litigation case,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b and Sr. No-4 Schedule-D,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (Refer General Rule No-21),,,,,,,AOC
