Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,13-Jun-2020 04:13 PM,finsummary_49563.pdf (263.90 KB),06-Jul-2020,"INR 58,349,719",730.0,Jeet Singh Thakur,06-Jul-2020 06:37 PM,AOC3499.pdf (455.00 KB),"Construction of 55.00 Mtr. Span PSC Box Girder Double Lane Bridge over Sal River on Chamba to Kiri road at RD. 3/870, under CRF Job No. CRF/HP/2018-19-/164",PWD,2020_PWD_34115_1,No.WA-II-/Contract/13912-14011 dated 31/12/2019,"Construction of 55.00 Mtr. Span PSC Box Girder Double Lane Bridge over Sal River on Chamba to Kiri road at RD. 3/870, under CRF Job No. CRF/HP/2018-19-/164",CE,Internal,EE Cba SE 7th Circle SED deputy Controller F and A,Jeet Singh Thakur,08-May-2020 11:11 AM,13-May-2020 11:30 AM,techsummary_49563.pdf (406.68 KB),Technical,6 Nos. bids received,Arun Pathania,07-Feb-2020 02:42 PM,technical_49563.pdf,1.0,148322.0,Ajay Kumar Sharma,05-Feb-2020 04:21 PM,Rejected-AOC,L5,06-Jul-2020 06:37 PM,Finance,Bid opening Summary,Jeet Singh Thakur,13-May-2020 06:44 PM,finance_49563.pdf,BOQ Comparative Chart,1.0,148319.0,Om Parkash Sharma And Sons,INR,"46,666,666",AOC,1.0,DD - Demand Draft,16-Jan-2020 06:45 PM,07-Feb-2020 11:30 AM,16-Jan-2020 06:45 PM,05-Feb-2020 05:00 PM,16-Jan-2020 06:45 PM ,24-Jan-2020 05:00 PM ,16-Jan-2020 06:45 PM,05-Feb-2020 05:00 PM,13-May-2020 11:30 AM,1.0,Tender drawing,Other,,1.0,Fee/PreQual/Technical,.pdf,Cost of Bidding Document in shape of D.D. as shown in IFB sr. No. 3,PWD,No.WA-II-/Contract/13912-14011 dated 31/12/2019,2020_PWD_34115_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Construction of 55.00 Mtr. Span PSC Box Girder Double Lane Bridge over Sal River on Chamba to Kiri road at RD. 3/870, under CRF Job No. CRF/HP/2018-19-/164","Construction of 55.00 Mtr. Span PSC Box Girder Double Lane Bridge over Sal River on Chamba to Kiri road at RD. 3/870, under CRF Job No. CRF/HP/2018-19-/164",Please refer Tender documents. ,NA ,"5,83,49,719",Civil Works - Bridges,NA ,Tender,90.0,730.0,Chamba,176310.0,Superintending Engineer 7th Circle HPPWD Dalhousie ,Superintending Engineer 7th Circle HPPWD Dalhousie ,28-Jan-2020 11:00 AM ,Superintending Engineer 7th Circle HPPWD Dalhousie,No ,No,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,"5,000",Executive Engineer Chamba Division HPPWD Chamba,Chamba,No,"6,16,000",No,fixed,,Executive Engineer Chamba Division HPPWD Chamba,Chamba,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,146043.0,K K Mahajan Constructions,05-Feb-2020 01:00 PM,Rejected-AOC,L4,06-Jul-2020 06:37 PM,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,.pdf,Bid Security as per ITB Cl 16.1 of ITB section 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,148123.0,M/s National Construction co.,04-Feb-2020 01:18 PM,Rejected-AOC,L2,06-Jul-2020 06:37 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Copy of Registration/constitution as per ITB Cl 4.3 (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,148319.0,Om Parkash Sharma And Sons,05-Feb-2020 04:13 PM,Accepted-AOC,L1,06-Jul-2020 06:37 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,General Experience as per ITB Cl 4.5.3(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,148333.0,Vijay Kumar Sharma,05-Feb-2020 04:27 PM,Rejected-AOC,L6,06-Jul-2020 06:37 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,General Experience as per ITB Cl 4.5.3(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,145473.0,V K Gupta and Associates,05-Feb-2020 03:28 PM,Rejected-AOC,L3,06-Jul-2020 06:37 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Undertaking as per ITB Cl 4.3 g and as per sample format in Q.I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,List of key personal as per ITB Cl 4.3(e) and Cl 4.5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,List of key plant and equipment as per ITB Cl 4.3(d) and ITB Cl 4.5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Credit Limit from the Bank as per ITB Cl 4.5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Undertaking as per ITB Cl 4.3(h),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Undertaking as per ITB Cl 4.3(I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Construction Programme and Methodology as per ITB Cl 4.3(l),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Undertaking as per ITB Cl 4.3(j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
