Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,Bid Opening Summary,Satish Kumar,18-Oct-2019 02:53 PM,technical_45839.pdf,1.0,134343.0,Asphalt Carpet Construction Company,16-Oct-2019 03:17 PM,Accepted-AOC,accepted,15-Jul-2020 05:21 PM,Finance,Financial Bid opening Sumamry,Satish Kumar,18-Oct-2019 03:31 PM,finance_45839.pdf,BOQ Comparative Chart,1.0,134332.0,Durga Construction,INR,"1,346,593",03-Dec-2019,"INR 1,251,322",60.0,Satish Kumar,15-Jul-2020 05:20 PM,AOC346.pdf (362.00 KB),AOC,Er Rajesh Kumar,Internal,Er Satish kumar AE Subathu Sh Ved Prakash Sharma Supdt Gr II Sh Amar Nath Arora HDM,Satish Kumar,18-Oct-2019 03:33 PM,finsummary_45839.pdf (55.15 KB),Er Rajesh Kumar,Internal,Er Satish Kumar AE Subathu Sh Ved Prakash Sharma Supdt Gr-II Sh Amar Nath Arora HDM,Satish Kumar,18-Oct-2019 03:06 PM,18-Oct-2019 03:20 PM,techsummary_45839.pdf (60.79 KB),PWD,2019_PWD_31865_1,No.PW/ksli/NIT/19-20-9810-19 dated 24/9/19,AMP of Kimughat Chakki ka mour road in 0/0 to 15/180,AOC,AMP of Kimughat Chakki ka mour road in 0/0 to 15/180,Annual Maintenance of Kimughat Chakki ka Mour Road in km 0/0 to 15/180 SH Periodical Renewal coat 30 mm thick Bituminous Concrete at Rd 2/00 to 3/200,Please refer Tender documents. ,NA ,"10,60,851",Civil Works,NA ,Tender,90.0,60.0,Kasauli,173204.0,NA ,NA ,NA ,EE Office Kasauli,No ,No,"21,300",No,fixed,,EE Kasauli,Kasauli,03-Oct-2019 10:00 AM,17-Oct-2019 11:00 AM,03-Oct-2019 11:00 AM,16-Oct-2019 04:00 PM,NA ,NA ,03-Oct-2019 11:00 AM,16-Oct-2019 04:00 PM,18-Oct-2019 03:20 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),1.0,DD - Demand Draft,PWD,No.PW/ksli/NIT/19-20-9810-19 dated 24/9/19,2019_PWD_31865_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EE HPPWD Kasauli,EE Kasauli Division HPPWD Kasauli,500.0,EE Kasauli,Kasauli,No,AOC
,,,,,2.0,134332.0,Durga Construction,16-Oct-2019 02:25 PM,Accepted-AOC,accepted,15-Jul-2020 05:21 PM,,,,,,,2.0,134343.0,Asphalt Carpet Construction Company,INR,"1,305,763",,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of gST,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,AOC
