Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,Technical Bid Opening Summary,Sudhir Kumar Gupta,09-Mar-2020 02:41 PM,technical_52300.pdf,1.0,152758.0,Atul Sharma,05-Mar-2020 12:13 PM,Rejected-Finance,L2,08-Jul-2020 05:37 PM,Finance,Financial Bid Opening Summary,Sudhir Kumar Gupta,19-Mar-2020 01:36 PM,finance_52300.pdf,BOQ Comparative Chart,1.0,152326.0,Pramod Kumar Sharma,INR,"2,049,115",Er Sudhir Kumar Gupta EE,Internal,ShPremRajMeenDAOShRamSawaroopSupdtShSureshKumarVermaHDMShHarishSinghClerk,Sudhir Kumar Gupta,08-Jul-2020 05:37 PM,finsummary_52300.pdf (83.06 KB),08-Jul-2020,"INR 1,927,036",30.0,Sudhir Kumar Gupta,08-Jul-2020 05:40 PM,2019-35631-2.pdf (224.00 KB),AOC,PWD,2020_PWD_35631_2,PW.SRDD-CB-CTR-2019-20 20083 DT 10.02.2020,Annual Surfacing on Khel Ka Chaura Baggi Road KM 0/00 TO 10/300,Er. Sudhir Kumar Gupta,Internal,Sh. Ram Swaroop Supdtt. Sh. Prem Raj Meena DAO Sh. Suresh Verma HDM Sh. Ramesh Thakur TA,Sudhir Kumar Gupta,19-Mar-2020 01:13 PM,19-Mar-2020 01:15 PM,techsummary_52300.pdf (237.12 KB),AOC,EE Dhami,Shimla Rural Division HPPWD Dhami,Annual Surfacing on Khel Ka Chaura Baggi Road KM 0/00 TO 10/300,SH Providing and Laying 25 mm thick Bituminous Concrete alongwith Providing and Laying of Hot Applied thermoplastic compound 2.50 mm thick for edge line in between km 3/00 to 5/00 ( under the AMP 2020-2021. ),Please refer Tender documents. ,NA ,"19,27,036",Civil Works - Roads,NA ,Tender,120.0,30.0,Dhami,171103.0,NA ,NA ,NA ,SE 4th Circle Shimla,No ,No,1.0,DD - Demand Draft,26-Feb-2020 03:00 PM,06-Mar-2020 11:00 AM,26-Feb-2020 03:00 PM,05-Mar-2020 05:00 PM,NA ,NA ,26-Feb-2020 03:00 PM,05-Mar-2020 05:00 PM,19-Mar-2020 01:15 PM,PWD,PW.SRDD-CB-CTR-2019-20 20083 DT 10.02.2020,2020_PWD_35631_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,EE Dhami,Dhami,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),"37,000",No,fixed,,EE Dhami,Dhami,AOC
,,,,,2.0,152326.0,Pramod Kumar Sharma,04-Mar-2020 09:31 PM,Accepted-AOC,AWARDED,08-Jul-2020 05:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC
