S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,Er.K.K.Kapoor,XENIPHDivisionNurpur,400.0,EE Nurpur,EE Nurpur,Yes,12-Jun-2020 05:00 PM,02-Jul-2020 11:30 AM,12-Jun-2020 05:00 PM,02-Jul-2020 11:00 AM,NA ,NA ,12-Jun-2020 05:00 PM,02-Jul-2020 11:00 AM,16-Jul-2020 11:40 AM,"Aug. and extension of various LWSS under drought hit area in Nurpur constituency. in Tehsil Nurpur Distt. Kangra SH Providing and installation of Submersible pumping machinery with allied accessories, Centrifugal pumping Machinery with allied acc","Aug. and extension of various LWSS under drought hit area in Nurpur constituency. in Tehsil Nurpur Distt. Kangra SH Providing and installation of Submersible pumping machinery with allied accessories, Centrifugal pumping Machinery with allied acc",Please refer Tender documents. ,NA ,"22,62,210",Civil Works,NA ,Tender,90.0,120.0,Nurpur,176202.0,NA ,NA ,NA ,Nurpur,No ,No,1.0,Fee/PreQual/Technical,.pdf,1. Income Tax/GST clearance certificate attached for the year 19-20,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Shahpur,Irrigation and Public Health,HP",NPRKNG-04-1128-35dt12-06-2020,2020_HPIPH_38032_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"41,440",Yes,fixed,,EE Nurpur,EE Nurpur,AOC,Er.S.S.Kousha,Internal,"Supdt W, CHD, EE (D), EE (N)",Kewal Krishan Kapoor,16-Jul-2020 11:36 AM,16-Jul-2020 11:40 AM,techsummary_56052.pdf (349.62 KB),1,165449,A.K. Traders,02-Jul-2020 10:18 AM,Rejected-Finance,Bidder higher Side Amount,31-Jul-2020 02:26 PM,Finance,summ,Kewal Krishan Kapoor,31-Jul-2020 02:05 PM,finance_56052.pdf,BOQ Comparative Chart,Technical,summary,Kewal Krishan Kapoor,16-Jul-2020 11:27 AM,technical_56052.pdf,31-Jul-2020,"INR 1,386,762",120.0,Kewal Krishan Kapoor,31-Jul-2020 02:47 PM,AOC.pdf (178.00 KB),AOC,Er.S.S.Kaushal,Internal,"Supdt (W),CHD (N).EE9 N) EE (D) Nurpur",Kewal Krishan Kapoor,31-Jul-2020 02:25 PM,finsummary_56052.pdf (104.45 KB),"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Shahpur,Irrigation and Public Health,HP",2020_HPIPH_38032_1,NPRKNG-04-1128-35dt12-06-2020,"Aug. and extension of various LWSS under drought hit area in Nurpur constituency. in Tehsil Nurpur Distt. Kangra SH Providing and installation of Submersible pumping machinery with allied accessories, Centrifugal pumping Machinery with allied acc",1.0,163692.0,sadeep kumar,INR,"1,386,762",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,2. Affidavit regarding Non Black list of firm/ contractor,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,165649,ANIL KUMAR,02-Jul-2020 08:07 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Jul-2020 11:27 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,3. Other Teams and condition as per NIT.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,165658,Bharat Engg and Suppliers,02-Jul-2020 10:08 AM,Rejected-Finance,Bidder higher Side Amount,31-Jul-2020 02:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,165645,dinesh kumar lath,01-Jul-2020 11:23 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Jul-2020 11:27 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,165665,HYDRO ENGINEERING COMPANY,02-Jul-2020 10:40 AM,Rejected-Finance,Bidder higher Side Amount,31-Jul-2020 02:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,165611,ROHIT VERMA,01-Jul-2020 04:39 PM,Rejected-Finance,Bidder higher Side Amount,31-Jul-2020 02:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,163692,sadeep kumar,02-Jul-2020 10:49 AM,Accepted-AOC,Bidder Lower Side Award Amount,31-Jul-2020 02:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,165666,Sanjay Gaur,02-Jul-2020 10:47 AM,Rejected-Finance,Bidder higher Side Amount,31-Jul-2020 02:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,165588,SS ENGINEERING WORKS,01-Jul-2020 04:21 PM,Rejected-Finance,Bidder higher Side Amount,31-Jul-2020 02:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,165566,VIVEK KUMAR,01-Jul-2020 10:01 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Jul-2020 11:27 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
