S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,156648.0,NAVNEET SHARMA GOVT. CONTRACTOR,03-Apr-2020 12:50 AM,Rejected-Finance,Rate higher side,03-Jul-2020 10:35 AM,Technical,Summary,Sanjiv Mahajan,22-Apr-2020 01:12 PM,technical_53459.pdf,Sanjiv Mahajan,Internal,"Er. Rishi Kumar, A.E., Sh. S.K. Dayal (DAO) (Gr-I), Sh. Ajay Kumar Mahajan, HDM, Sh. Jiwan Singh, Supdt. (Gr-II)",Sanjiv Mahajan,22-Apr-2020 01:15 PM,22-Apr-2020 01:20 PM,techsummary_53459.pdf (116.94 KB),Finance,Summary,Sanjiv Mahajan,02-Jul-2020 04:33 PM,finance_53459.pdf,BOQ Comparative Chart,PWD,2020_PWD_36164_10,18679-18728 dt.7.3.2020,Annual Maintenance Plan (AMP) of Lunj Sub Division for the year 2020-21 Rural Road Bhor Balli to Bohar Kawaloo (HP0406VR114) km. 0/0 to 1/0 and 1/0 2/0,Sanjiv Mahajan,Internal,"Sh. Santosh Dyal, DAO (Gr-I), Sh. Jiwan Singh, Supdt. Gr-II, Sh. Ajay Kumar, HDM",Sanjiv Mahajan,03-Jul-2020 10:34 AM,finsummary_53459.pdf (25.35 KB),1.0,156601.0,Navneet Thakur,INR,"1,813,060",03-Jul-2020,"INR 1,674,462",30.0,Sanjiv Mahajan,03-Jul-2020 10:39 AM,Award.pdf (164.00 KB),AOC,AOC,"32,650",No,fixed,,EE Kangra,Kangra,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F(Required only National Bank ),500.0,EE Kangra,Kangra,No,19-Mar-2020 10:00 AM,03-Apr-2020 11:30 AM,19-Mar-2020 10:00 AM,03-Apr-2020 11:00 AM,NA ,NA ,19-Mar-2020 10:00 AM,03-Apr-2020 11:00 AM,22-Apr-2020 01:20 PM,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",PWD,18679-18728 dt.7.3.2020,2020_PWD_36164_10,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,FDR - Fixed Deposit,Annual Maintenance Plan (AMP) of Lunj Sub Division for the year 2020-21 Rural Road Bhor Balli to Bohar Kawaloo (HP0406VR114) km. 0/0 to 1/0 and 1/0 2/0,(SH- P/L 30mm thick bituminous concrete in km. 0/0 to 1/0 and 1/0 to 2/0).,Please refer Tender documents. ,NA ,"16,74,462",Civil Works - Roads,NA ,Tender,120.0,30.0,items,176001.0,NA ,NA ,NA ,"Executive Engineer, HP.PWD., Division, Kangra",No ,No,AOC
2.0,156601.0,Navneet Thakur,01-Apr-2020 02:06 PM,Accepted-AOC,Award,03-Jul-2020 10:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,156590.0,pritam singh thkur,01-Apr-2020 12:58 PM,Rejected-Finance,Rate higher side,03-Jul-2020 10:35 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Detail of technical staff required as per Clause 36(1(2) and 36(A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Detail of litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b and Sr. No-4 Schedule-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,GST Registration (Refer General Rule No-21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
