Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Executive Engineer,Internal,Superintendent G-II DAO DHD Tender Assistant,Rattan Kumar Sharma,29-Jul-2020 12:03 PM,finsummary_56147.pdf (216.84 KB),PWD,2020_PWD_38093_11,980-1030 dated 01.06.2020,C/O Additional Accommodation in Govt. S.S.S Building at Lana Paller,29-Jul-2020,"INR 2,135,654",365.0,Rattan Kumar Sharma,29-Jul-2020 12:04 PM,30.pdf (3149.00 KB),AOC,1.0,165164.0,JAI GOPAL SHARMA,INR,"2,452,394",Technical,SUMMARY,Rattan Kumar Sharma,06-Jul-2020 04:32 PM,technical_56147.pdf,Executive Engineer,Internal,Superintendent G-II HDM DAO,Rattan Kumar Sharma,06-Jul-2020 04:34 PM,06-Jul-2020 04:35 PM,techsummary_56147.pdf (793.70 KB),1.0,165198.0,DALIP SINGH,29-Jun-2020 12:56 PM,Rejected-Finance,L4,29-Jul-2020 12:04 PM,1.0,Corrigendum,CORRIGENDUM,06-Jul-2020 04:23 PM,11.pdf ,10.04,Technical Opening,Finance,SUMMARY,Rattan Kumar Sharma,09-Jul-2020 12:29 PM,finance_56147.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,26.1. COST OF TENDER,PWD,980-1030 dated 01.06.2020,2020_PWD_38093_11,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"39,600",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",Sangrah,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",1.0,DD - Demand Draft,500.0,"Executive Engineer, HPPWD Division Sangrah",Sangrah,No,C/O Additional Accommodation in Govt. S.S.S Building at Lana Paller,C/o Two rooms with stair case and Site development,Please refer Tender documents. ,NA ,"21,35,654",Civil Works,NA ,Tender,90.0,365.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,15-Jun-2020 05:00 PM,30-Jun-2020 11:30 AM,15-Jun-2020 05:00 PM,29-Jun-2020 05:00 PM,NA ,NA ,15-Jun-2020 05:00 PM,29-Jun-2020 05:00 PM,06-Jul-2020 04:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,165164.0,JAI GOPAL SHARMA,28-Jun-2020 10:11 PM,Accepted-AOC,AOC,29-Jul-2020 12:05 PM,,,,,,,,,,,,,,AOC,,,.pdf,26.2.EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,165268.0,JAI PRAKASH,29-Jun-2020 03:40 PM,Rejected-Finance,L3,29-Jul-2020 12:04 PM,,,,,,,,,,,,,,AOC,,,.pdf,26.3.CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,165207.0,SEXIIR5915,29-Jun-2020 01:11 PM,Rejected-Finance,L2,29-Jul-2020 12:04 PM,,,,,,,,,,,,,,AOC,,,.pdf,26.4.GST REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,165273.0,Vijender,29-Jun-2020 03:14 PM,Rejected-Technical,Not Qualified,06-Jul-2020 04:34 PM,,,,,,,,,,,,,,AOC,,,.pdf,"26.6. LIST OF MACHINERY ,TOOL,PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,26.7. FORM NO 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof to registration under Employees Provident Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,UNDERTAKING THAT CONTRACTOR SHOULD NOT HAVE MORE THAN TWO CONTRACTS AT A TIME EACH OF RS. 02.00 LACS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
