Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,Executive Engineer,Executive Engineer HPPWD Paonta Sahib,PWD,tender/2019-20 8098-8147 dated 29.01.20120,2020_PWD_34562_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Restoration of damages caused due to laying of OFC on Paonta Puruwala Bhagani Dakpathar road (SH C/o side drain in left out reaches in km 14/0 to 20/0),Restoration of damages caused due to laying of OFC on Paonta Puruwala Bhagani Dakpathar road (SH C/o side drain in left out reaches in km 14/0 to 20/0),please refer tender document ,NA ,"6,19,177",Civil Works - Roads,NA ,Tender,90.0,90.0,Paonta Sahib,173029.0,NA ,NA ,NA ,Paonta Sahib,No ,No,1.0,DD - Demand Draft,"12,400",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,350.0,EE Paonta Sahib,Paonta Sahib,Yes,04-Feb-2020 04:30 PM,17-Feb-2020 11:30 AM,04-Feb-2020 05:00 PM,15-Feb-2020 05:00 PM,NA ,NA ,04-Feb-2020 05:00 PM,15-Feb-2020 05:00 PM,26-Feb-2020 03:10 PM,AOC,PWD,2020_PWD_34562_3,tender/2019-20 8098-8147 dated 29.01.20120,Restoration of damages caused due to laying of OFC on Paonta Puruwala Bhagani Dakpathar road (SH C/o side drain in left out reaches in km 14/0 to 20/0),Er. R.K. Dhiman,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,26-Feb-2020 10:57 AM,26-Feb-2020 03:10 PM,techsummary_50591.pdf (743.34 KB),Er. R.K. Dhiman,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant, Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,08-Jul-2020 03:57 PM,finsummary_50591.pdf (381.62 KB),08-Jul-2020,"INR 619,177",90.0,Dalip Singh Tomar,08-Jul-2020 04:00 PM,aoc.pdf (791.00 KB),AOC,Finance,Fin. Summary,Dalip Singh Tomar,08-Jul-2020 03:53 PM,finance_50591.pdf,BOQ Comparative Chart,1.0,149540.0,Basti Ram,INR,"722,735",1.0,149540.0,Basti Ram,14-Feb-2020 09:02 PM,Accepted-AOC,L1,08-Jul-2020 04:00 PM,Technical,Summary,Dalip Singh Tomar,26-Feb-2020 10:42 AM,technical_50591.pdf,AOC
,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,149650.0,DINESH KUMAR GUPTA,15-Feb-2020 03:08 PM,Rejected-Technical,Not Qualified,26-Feb-2020 10:57 AM,,,,,,AOC
,,.pdf,Contractors registration- refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,149587.0,Gurmeet Singh,15-Feb-2020 02:20 AM,Rejected-Finance,L2,08-Jul-2020 03:57 PM,,,,,,AOC
,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,149625.0,TOMAR CONSTRUCTION,15-Feb-2020 01:38 PM,Rejected-Technical,Not Qualified,26-Feb-2020 10:57 AM,,,,,,AOC
,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"Machinery asper schedule F Sr.No.6.19Ref.Cl No.18 .R.C,purchase billsownership/Affidavit hire basis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him gen. Rule sr.no.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
