Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
Technical,Bid Opening Summary,Satish Kumar,11-Nov-2019 03:32 PM,technical_46330.pdf,1.0,135761.0,Durga Construction,06-Nov-2019 02:35 PM,Accepted-AOC,accepted,15-Jul-2020 03:44 PM,Finance,Financial Bid Opening Summary,Satish Kumar,13-Nov-2019 02:58 PM,finance_46330.pdf,BOQ Comparative Chart,1.0,135702.0,Jamna Dass,INR,"748,012",Er Rajesh Kumar,Internal,Er Satish Kumar AE Subathu Sh Amar Nath Arora HDM Sh Deepak Walia Supdt Gr-II,Satish Kumar,13-Nov-2019 03:10 PM,finsummary_46330.pdf (52.86 KB),23-Nov-2019,"INR 608,987",60.0,Satish Kumar,15-Jul-2020 03:43 PM,AOC.pdf (475.00 KB),AOC,PWD,2019_PWD_32213_1,No/PW/Ksli/19 20 10770-79dt11/10/19,AMP Kimughat Chakki Ka Mour road in km 0/0 to 15/180,Er Rajesh kumar,Internal,Er Satish Kumar Supdt Gr-II Sh Amar Nath Arora HDM Sh Deepak Walia Supdt Gr-II,Satish Kumar,11-Nov-2019 03:35 PM,11-Nov-2019 03:40 PM,techsummary_46330.pdf (59.44 KB),AOC,350.0,EE Kasauli,Kasauli,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),AMP Kimughat Chakki Ka Mour road in km 0/0 to 15/180,AMP Kimughat Chakki Ka Mour road in km 0/0 to 15/180 SH Periodical Renewal coat with 20 mm thick premix carpet and seal coat at Rd 0/0 to 1/00,Please refer Tender documents. ,NA ,"6,08,987",Civil Works,NA ,Tender,75.0,60.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,1.0,DD - Demand Draft,23-Oct-2019 10:00 AM,07-Nov-2019 11:00 AM,23-Oct-2019 11:00 AM,06-Nov-2019 04:00 PM,NA ,NA ,23-Oct-2019 11:00 AM,06-Nov-2019 04:00 PM,11-Nov-2019 03:40 PM,"12,200",No,fixed,,EE Kasauli,Kasauli,PWD,No/PW/Ksli/19 20 10770-79dt11/10/19,2019_PWD_32213_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EE HPPWD Kasauli,EE HPPWD Kasauli,AOC
,,,,,2.0,135702.0,Jamna Dass,06-Nov-2019 11:35 AM,Accepted-AOC,accepted,15-Jul-2020 03:44 PM,,,,,,,2.0,135761.0,Durga Construction,INR,"843,093",,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,Finance,.xls,Finacne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
