Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
A/A to Transit Accommodation block 1 and 2 at Jakhoo Shimla. (SH- C/O Balconies for Set No. 1 to 8. ),A/A to Transit Accommodation block 1 and 2 at Jakhoo Shimla. (SH- C/O Balconies for Set No. 1 to 8. )(SH- C/O Balconies for Set No. 9 to 16. ),As per Bidding Documents ,NA ,"6,52,625",Civil Works,NA ,Tender,120.0,30.0,Jakhoo Shimla,171001.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,1.0,DD - Demand Draft,350.0,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",Shimla,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3),PWD,SD-III-CB-Tender/2020-21-463 dated 05-05-2020,2020_PWD_37017_4,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","13,060",No,fixed,,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",Shimla,15-May-2020 05:00 PM,29-May-2020 11:00 AM,15-May-2020 05:00 PM,28-May-2020 05:00 PM,NA ,NA ,15-May-2020 05:00 PM,28-May-2020 05:00 PM,24-Jun-2020 04:00 PM,AOC,1.0,159701.0,ARVIND KUMAR,28-May-2020 01:01 PM,Accepted-AOC,L1,31-Jul-2020 03:25 PM,Technical,Bid opening summary,Ajay Kumar Soni,29-May-2020 01:09 PM,technical_54643.pdf,1.0,159701.0,ARVIND KUMAR,INR,"695,175",Finance,Bid opening summary,Ajay Kumar Soni,04-Jul-2020 11:13 AM,finance_54643.pdf,BOQ Comparative Chart,PWD,2020_PWD_37017_4,SD-III-CB-Tender/2020-21-463 dated 05-05-2020,A/A to Transit Accommodation block 1 and 2 at Jakhoo Shimla. (SH- C/O Balconies for Set No. 1 to 8. ),ER.A.K.SONI,Internal,Sh. Padam SharmaSh.R.S.Thakur.Sh.Naresh Kumar,Ajay Kumar Soni,24-Jun-2020 03:33 PM,24-Jun-2020 04:00 PM,techsummary_54643.pdf (270.06 KB),ER.A.K.SONI,Internal,Sh. Padam SharmaSh.R.S.Thakur.Sh.Naresh Kumar,Ajay Kumar Soni,04-Jul-2020 11:21 AM,finsummary_54643.pdf (196.58 KB),25-Jul-2020,"INR 652,625",30.0,Ajay Kumar Soni,31-Jul-2020 03:24 PM,37017-4.pdf (423.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,.pdf,Earnest Money as per schedule F (6.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,159754.0,FURKAN AHEMED,28-May-2020 03:35 PM,Rejected-AOC,L2,31-Jul-2020 03:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,159660.0,Gaurav Parihar,27-May-2020 09:37 PM,Rejected-AOC,L3,31-Jul-2020 03:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,159709.0,kush vij,28-May-2020 02:36 PM,Rejected-AOC,L4,31-Jul-2020 03:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5.0,159527.0,SUNIL DUTT,28-May-2020 11:33 AM,Rejected-Technical,ok,24-Jun-2020 03:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
