Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
ER Arvind Sharma EE B and R Solan,Internal,Shri Deepak Anand Senior DAO Solan Shri Hemender Sharma HDM and Smt Rekha Kashyap Supdt Grade II PMGSY,Arvind Kumar,28-Jul-2020 03:35 PM,finsummary_51459.pdf (35.63 KB),28-Jul-2020,"INR 1,316,413",60.0,Arvind Kumar,28-Jul-2020 03:37 PM,Award.pdf (356.00 KB),AMP for the Year 2020 of Shamti Chaill Anji road Km0/0 to 3/450 VR,PWD,2020_PWD_35097_1,16203-10 dated 04.02.02020 Shamti Chaill Anjir roa,AMP for the Year 2020 of Shamti Chaill Anji road Km0/0 to 3/450 VR,Er Arvind Sharma EE Band R Solan,Internal,Shri Deepak Anand Senior DAO Solan Shri Hemende sharma HDM and Smt Rekha Kashyap Supdt Grade II PMGSY,Arvind Kumar,03-Mar-2020 11:24 AM,03-Mar-2020 11:30 AM,techsummary_51459.pdf (36.99 KB),Finance,financial summary,Arvind Kumar,04-Mar-2020 11:09 AM,finance_51459.pdf,BOQ Comparative Chart,1.0,150782.0,naresh vij govt contractor,INR,"1,316,413",Technical,Technical bid opening summary,Arvind Kumar,03-Mar-2020 10:37 AM,technical_51459.pdf,1.0,150782.0,naresh vij govt contractor,27-Feb-2020 07:57 PM,Accepted-AOC,Ok,28-Jul-2020 03:37 PM,AOC,PWD,16203-10 dated 04.02.02020 Shamti Chaill Anjir roa,2020_PWD_35097_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and erenest money indicate in Schedule F,EE B and R Division HPPWD solan,Near New Bus Stand Solan,15-Feb-2020 12:00 PM,29-Feb-2020 11:00 AM,15-Feb-2020 12:00 PM,29-Feb-2020 10:30 AM,NA ,NA ,15-Feb-2020 12:00 PM,29-Feb-2020 10:30 AM,03-Mar-2020 11:30 AM,"20,700",No,fixed,,EE B and R Division HPPWD Solan,EE Solan,AMP for the Year 2020 of Shamti Chaill Anji road Km0/0 to 3/450 VR,SH Providing and laying renewal coat by providing Bitumenous Concrete in Km0/0 to 1/0 including road marking C/o side drain,Please refer Tender documents. ,NA ,"10,32,795",Civil Works,NA ,Tender,90.0,60.0,Solan,173212.0,NA ,NA ,NA ,Solan,No ,No,1.0,DD - Demand Draft,500.0,EE B and R Division HPPWD Solan,EE Solan,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,151395.0,PAWAN SHARMA,28-Feb-2020 10:44 AM,Rejected-AOC,Ok,28-Jul-2020 03:37 PM,AOC,,,,,,,,,,,,,,,,,.pdf,Contractors registraiton reffer general rules No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,151325.0,shubham construction,27-Feb-2020 08:48 PM,Rejected-Technical,Contractor has not submit the original EMD and DD at the time of opening of techical bid Hence his bid is declared non responsive by the committee members,03-Mar-2020 11:24 AM,AOC,,,,,,,,,,,,,,,,,.pdf,GST registraton refer general rules no 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,work done certifidcate and work in hand certificate refer in general rules No 19 schedule F Note wor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"List of machenery, tool plant shown in schedule F with refeerence to clause 18 Affidavit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,affdavits of correctness of all the documents are submitted is true by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Contractor should have to submit the proof of EPF as mentioned in SBD Clause 25 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Work done condition one similar nature of work not less than 40 percent of the estimated cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Form no.8 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
