Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
350.0,EE Rampur,Rampur,Yes,R.R damages on T.J.G.N. Khamadi road Km. 0.000 to 52.000,"SH Removal of land slips in Km. 0.000 to 7.000, 8.000 to 9.000, 9.000 to 11.000, 11.000 to 13.000, 13.000 to 14.000, 14.000 to 17.000, 17.000 to 18.000, 18.000 to 20.000, 20.000 to 22.000 and 22.000 to 25.000",Please refer Tender documents. ,NA ,"9,78,872",Civil Works - Roads,NA ,Tender,90.0,NA ,Rampur,172001.0,NA ,NA ,NA ,EE Rampur,No ,No,EE Rampur,EE B and R Division HPPWD Rampur,"19,600",Yes,fixed,,EE Rampur,Rampur,02-Mar-2020 11:00 AM,11-Mar-2020 11:00 AM,02-Mar-2020 11:00 AM,11-Mar-2020 09:00 AM,02-Mar-2020 11:00 AM ,11-Mar-2020 09:00 AM ,02-Mar-2020 11:00 AM,11-Mar-2020 09:00 AM,17-Mar-2020 03:30 PM,1.0,DD - Demand Draft,PWD,PW/RMT/TA/2019-15210-12 dated 11.02.2020,2020_PWD_35780_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),AOC,PWD,2020_PWD_35780_1,PW/RMT/TA/2019-15210-12 dated 11.02.2020,R.R damages on T.J.G.N. Khamadi road Km. 0.000 to 52.000,1,153795,Ashok Kumar,09-Mar-2020 08:07 PM,Rejected-AOC,seventh lowest,03-Jul-2020 03:13 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),AOC,,,,,2,153925,Bhupender Singh Chauhan,10-Mar-2020 03:07 PM,Rejected-AOC,eleventh lowest,03-Jul-2020 03:13 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),AOC,,,,,3,153661,CONTRACTOR,09-Mar-2020 06:54 PM,Rejected-AOC,fifth lowest,03-Jul-2020 03:13 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General Rule No 21),AOC,,,,,4,153944,Dhyan Singh,10-Mar-2020 04:54 PM,Rejected-AOC,second lowest,03-Jul-2020 03:13 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),AOC,,,,,5,153703,HARISH KUMAR GOVT CONTRACTOR,09-Mar-2020 04:09 PM,Rejected-AOC,eighth lowest,03-Jul-2020 03:13 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",AOC,,,,,6,153699,HITESH THAKUR,09-Mar-2020 03:49 PM,Rejected-AOC,fourth lowest,03-Jul-2020 03:13 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration under Employees Provident Funds and Miscellaneous Provision act 1952,AOC,,,,,7,153657,JAI PARKASH,09-Mar-2020 04:46 PM,Rejected-AOC,ninth lowest,03-Jul-2020 03:13 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,8,151985,NARESH KUMAR CONTRACTOR,04-Mar-2020 12:13 PM,Accepted-AOC,first lowest,03-Jul-2020 03:13 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,AOC,,,,,9,153977,Sanjay Thakur,10-Mar-2020 07:23 PM,Rejected-AOC,third lowest,03-Jul-2020 03:13 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,10,153676,SHAMSHER GOVT,09-Mar-2020 02:48 PM,Rejected-AOC,tenth lowest,03-Jul-2020 03:13 PM,AOC
