Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of tender and erenest money indicate in Schedule F,350.0,EE B and R Division Solan,EE Solan,No,"12,500",No,fixed,,EE B and R Division Solan,EE Solan,C/o play ground at GMS kather under compled GSSS Solan under Mukhya Mantri Khel Vikas Yojna 201819,SH Cutting of play ground and C/o wire crate to support the excavated earth for extension of play ground Deposit work,Please refer Tender documents. ,NA ,"6,17,946",Civil Works,NA ,Tender,90.0,60.0,Solan,173212.0,NA ,NA ,NA ,Solan,No ,No,EE B and R Division HPPWD Solan,Near New Bus Stand Solan,PWD,12420-27 dated 26.11.2019 C/o play ground at GMS,2019_PWD_33095_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,04-Dec-2019 01:30 PM,18-Dec-2019 11:00 AM,04-Dec-2019 01:30 PM,18-Dec-2019 10:30 AM,NA ,NA ,04-Dec-2019 01:30 PM,18-Dec-2019 10:30 AM,20-Dec-2019 11:15 AM,1.0,DD - Demand Draft,AOC,1,140257,Arun Sharma,17-Dec-2019 07:58 AM,Rejected-AOC,Ok,27-Jul-2020 05:57 PM,Technical,Bid opening summary,Arvind Kumar,19-Dec-2019 01:02 PM,technical_47684.pdf,1.0,140615.0,Vikram Thakur,INR,"857,842.1",Finance,Financial bid opening summary,Arvind Kumar,20-Dec-2019 01:10 PM,finance_47684.pdf,BOQ Comparative Chart,PWD,2019_PWD_33095_1,12420-27 dated 26.11.2019 C/o play ground at GMS,C/o play ground at GMS kather under compled GSSS Solan under Mukhya Mantri Khel Vikas Yojna 201819,ER Arvind Sharma EE B and R solan,Internal,Shri Deepak Anand senior DAO Solan Shri Haminder Sharma HDM and Smt Rekha Kashyap Supdt Grade II PMGSY,Arvind Kumar,20-Dec-2019 11:08 AM,20-Dec-2019 11:15 AM,techsummary_47684.pdf (39.25 KB),ER Arvind Sharma EE B and R Solan,Internal,Shri Deepak Anand Senior DAO Solan Shri Hemender Sharma HDM and Smt Rekha Kashyap Supdt Grade II PMGSY,Arvind Kumar,27-Jul-2020 05:53 PM,finsummary_47684.pdf (35.25 KB),27-Jul-2020,"INR 726,931.1",60.0,Arvind Kumar,27-Jul-2020 05:57 PM,Award.pdf (344.00 KB),C/o play ground at GMS kather under compled GSSS Solan under Mukhya Mantri Khel Vikas Yojna 201819,AOC
,,.pdf,Contractors registraiton reffer general rules No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,2,140646,BHUPENDER SINGH THAKUR,17-Dec-2019 05:49 PM,Rejected-AOC,Ok,27-Jul-2020 05:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST registraton refer general rules no 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,140556,deepanshu sharma,17-Dec-2019 12:48 PM,Rejected-AOC,Ok,27-Jul-2020 05:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"List of machenery, tool plant shown in schedule F with refeerence to clause 18 Affidavit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,140531,GAURAV BANAL,17-Dec-2019 11:22 AM,Rejected-AOC,Ok,27-Jul-2020 05:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,affdavits of correctness of all the documents are submitted is true by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,140409,Hitender Krishan,16-Dec-2019 05:52 PM,Rejected-AOC,Ok,27-Jul-2020 05:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractor should have to submit the proof of EPF as mentioned in SBD Clause 25 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,140603,M/s rachin chaudhary,18-Dec-2019 10:14 AM,Rejected-AOC,Ok,27-Jul-2020 05:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,140295,Paramjeet Singh Pannu,16-Dec-2019 12:21 PM,Rejected-AOC,Ok,27-Jul-2020 05:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,140649,Ravi kant Verma,17-Dec-2019 06:23 PM,Rejected-AOC,Ok,27-Jul-2020 05:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,140137,R B Contructions,14-Dec-2019 03:57 PM,Rejected-AOC,Ok,27-Jul-2020 05:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,140748,suman kumar sharma,18-Dec-2019 02:59 AM,Rejected-AOC,Ok,27-Jul-2020 05:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
