Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
PWD,No/PW/ksli/NIT/19-20-10770-79 dt 11.10.19,2019_PWD_32214_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),EE HPPWD Kasauli,EE HPPWD Kasauli,"12,200",No,fixed,,EE Kasauli,Kasauli,23-Oct-2019 10:00 AM,07-Nov-2019 11:00 AM,23-Oct-2019 11:00 AM,06-Nov-2019 04:00 PM,NA ,NA ,23-Oct-2019 11:00 AM,06-Nov-2019 04:00 PM,11-Nov-2019 03:30 PM,350.0,EE Kasauli,Kasauli,No,AMP for Kimughat Chaki Ka Mour road in km 0/0 to 15/180,AMP for Kimughat Chaki Ka Mour road in km 0/0 to 15/180 SH Periodical Renwal coat 20 mm thick premix carpeet with seal coat in km 1/0 to 2/0,Please refer Tender documents. ,NA ,"6,08,987",Civil Works,NA ,Tender,75.0,90.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,AOC,Finance,Financial Bid Opening Summary,Satish Kumar,13-Nov-2019 03:17 PM,finance_46336.pdf,BOQ Comparative Chart,1.0,135705.0,Jamna Dass,INR,"748,012",1.0,135768.0,Durga Construction,06-Nov-2019 02:44 PM,Accepted-AOC,not lowest,15-Jul-2020 03:25 PM,Technical,Bid Opening Summary,Satish Kumar,11-Nov-2019 03:18 PM,technical_46336.pdf,Er Rajesh Kumar,Internal,Er Satish Kumar AE Subthu Sh Amar Nath Arora HDM Sh Deepak walia Supdt Gr-II,Satish Kumar,11-Nov-2019 03:27 PM,11-Nov-2019 03:30 PM,techsummary_46336.pdf (59.57 KB),PWD,2019_PWD_32214_1,No/PW/ksli/NIT/19-20-10770-79 dt 11.10.19,AMP for Kimughat Chaki Ka Mour road in km 0/0 to 15/180,23-Nov-2019,"INR 608,987",60.0,Satish Kumar,15-Jul-2020 03:24 PM,3382019-20.pdf (441.00 KB),AOC,Er Rajesh Kumar,Internal,Er Satish Kumar AE Subathu Sh Amar Nath Arora HDM Sh Deepak Walia Supdt Gr-II,Satish Kumar,13-Nov-2019 03:18 PM,finsummary_46336.pdf (52.67 KB),AOC
,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,135768.0,Durga Construction,INR,"843,093",2.0,135705.0,Jamna Dass,06-Nov-2019 11:32 AM,Accepted-AOC,Awarded,15-Jul-2020 03:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
