Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
04-Feb-2020 04:30 PM,17-Feb-2020 11:30 AM,04-Feb-2020 05:00 PM,15-Feb-2020 05:00 PM,NA ,NA ,04-Feb-2020 05:00 PM,15-Feb-2020 05:00 PM,26-Feb-2020 03:00 PM,PWD,tender/2019-20 8098-8147 dated 29.01.20120,2020_PWD_34562_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"50,000",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,"A/R and M/O Taruwala to Bherewala road in km 0/0 to 1/300. (SH P/L wearing G-II, Wet mix macadam, Premix carpet in km 0/0 to 1/300) Under MMGSY.","A/R and M/O Taruwala to Bherewala road in km 0/0 to 1/300. (SH P/L wearing G-II, Wet mix macadam, Premix carpet in km 0/0 to 1/300) Under MMGSY.",please refer tender document ,NA ,"25,03,786",Civil Works - Roads,NA ,Tender,90.0,90.0,Paonta Sahib,173029.0,NA ,NA ,NA ,Paonta Sahib,No ,No,"1,500",EE Paonta Sahib,Paonta Sahib,Yes,Executive Engineer,Executive Engineer HPPWD Paonta Sahib,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,AOC,Er. R. K. Dhiman,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,26-Feb-2020 10:48 AM,26-Feb-2020 03:00 PM,techsummary_50581.pdf (786.28 KB),PWD,2020_PWD_34562_1,tender/2019-20 8098-8147 dated 29.01.20120,"A/R and M/O Taruwala to Bherewala road in km 0/0 to 1/300. (SH P/L wearing G-II, Wet mix macadam, Premix carpet in km 0/0 to 1/300) Under MMGSY.",20-Jul-2020,"INR 2,503,786",90.0,Dalip Singh Tomar,20-Jul-2020 04:48 PM,aoc.pdf (1990.00 KB),AOC,Er. R.K. Dhiman,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,20-Jul-2020 04:45 PM,finsummary_50581.pdf (388.83 KB),1.0,149684.0,M/S SARVJEET SINGH,INR,"2,955,303",Finance,Fin Bid Opening Summary,Dalip Singh Tomar,20-Jul-2020 04:41 PM,finance_50581.pdf,BOQ Comparative Chart,1.0,149617.0,Budh Raj Singh,15-Feb-2020 11:56 AM,Rejected-Finance,L4,20-Jul-2020 04:46 PM,Technical,Summary,Dalip Singh Tomar,26-Feb-2020 10:38 AM,technical_50581.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,149544.0,Chanana Cont. Works,15-Feb-2020 12:26 PM,Rejected-Finance,L2,20-Jul-2020 04:46 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,149655.0,DINESH KUMAR GUPTA,15-Feb-2020 03:12 PM,Rejected-Technical,Not Qualified,26-Feb-2020 10:48 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,149481.0,Manoj Chawla,14-Feb-2020 06:33 PM,Rejected-Finance,L3,20-Jul-2020 04:46 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,149684.0,M/S SARVJEET SINGH,15-Feb-2020 04:35 PM,Accepted-AOC,L1,20-Jul-2020 04:49 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery asper schedule F Sr.No.6.19Ref.Cl No.18 .R.C,purchase billsownership/Affidavit hire basis",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,149517.0,Randhir Singh,14-Feb-2020 08:30 PM,Rejected-Technical,Not Qualified,26-Feb-2020 10:48 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him gen. Rule sr.no.16),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
