Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
Technical,Summary,Dalip Singh Tomar,19-Mar-2020 11:45 AM,technical_51373.pdf,1.0,152163.0,Budh Raj Singh,03-Mar-2020 11:11 AM,Rejected-Finance,L2,20-Jul-2020 03:56 PM,1.0,152122.0,Chanana Cont. Works,INR,"601,381",Finance,Fin Bid opening Summary,Dalip Singh Tomar,20-Jul-2020 03:53 PM,finance_51373.pdf,BOQ Comparative Chart,Er. R.K. Dhiman,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,20-Jul-2020 03:56 PM,finsummary_51373.pdf (429.21 KB),20-Jul-2020,"INR 527,499",90.0,Dalip Singh Tomar,20-Jul-2020 03:58 PM,aoc.pdf (1504.00 KB),AOC,PWD,2020_PWD_34999_5,CB/Tender/2019-20-8463-8512 dated 05.02.2020,"Perodical Renewal on Bata Bridge to Bias Left out Portion Majra Bias Mandir Road km 0/0 to 1/900. (SH P/L G-III for repair of pot holes and 30 mm thick bituminous concrete in km. 0/230 to 0/850, and Road side V-shape drain between RD 0/230 to 0/330",Er. R.K. Dhiman,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,19-Mar-2020 01:00 PM,19-Mar-2020 03:00 PM,techsummary_51373.pdf (1068.74 KB),AOC,1.0,DD - Demand Draft,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP),14-Feb-2020 04:30 PM,04-Mar-2020 11:30 AM,14-Feb-2020 05:00 PM,03-Mar-2020 05:00 PM,NA ,NA ,14-Feb-2020 05:00 PM,03-Mar-2020 05:00 PM,19-Mar-2020 03:00 PM,350.0,EE Paonta Sahib,Paonta Sahib,Yes,"10,600",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,"Perodical Renewal on Bata Bridge to Bias Left out Portion Majra Bias Mandir Road km 0/0 to 1/900. (SH P/L G-III for repair of pot holes and 30 mm thick bituminous concrete in km. 0/230 to 0/850, and Road side V-shape drain between RD 0/230 to 0/330","Perodical Renewal on Bata Bridge to Bias Left out Portion Majra Bias Mandir Road km 0/0 to 1/900. (SH P/L G-III for repair of pot holes and 30 mm thick bituminous concrete in km. 0/230 to 0/850, and Road side V-shape drain between RD 0/230 to 0/330",Please refer tender document. ,NA ,"5,27,499",Civil Works - Roads,NA ,Tender,90.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,PWD,CB/Tender/2019-20-8463-8512 dated 05.02.2020,2020_PWD_34999_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,AOC
,,,,,2.0,152122.0,Chanana Cont. Works,03-Mar-2020 01:24 PM,Accepted-AOC,L1,20-Jul-2020 03:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of 40 percent work done certificate for similar nature of work,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/C.A. annual report.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery as per schedule F Sr.No.6.19Ref.Cl- No.18 i.e.R.C,purchase bills,ownership/Affidavit hire",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,AOC
