S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Stage
1.0,162851.0,suriender,INR,"677,055",Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Nalagarh - UDDHP,2020_UDDHP_38004_1,1MC-NLG(6)2020-21(1),Development of Gaushala near Ghat in w no 1 nalagarh,RISHABH SHARMA,Internal,"PRESIDNET, EXECUTIVE OFFICER, ASSISTANT ENGINEER.",Rishabh Sharma,18-Jul-2020 07:26 PM,finsummary_55963.pdf (408.53 KB),18-Jul-2020,"INR 524,867",90.0,Rishabh Sharma,18-Jul-2020 07:28 PM,wn1.pdf (1094.00 KB),AWARD LETTER,Technical,bid opening,Rishabh Sharma,19-Jun-2020 07:38 PM,technical_55963.pdf,Finance,Financial Bid Opening,Rishabh Sharma,20-Jun-2020 05:08 PM,finance_55963.pdf,BOQ Comparative Chart,1.0,163127.0,Ajay Thakur,17-Jun-2020 11:07 PM,Rejected-Finance,L2 REJECTED,18-Jul-2020 07:26 PM,Executive Officer,Internal,Executive Officer Junior Engineer,Rishabh Sharma,20-Jun-2020 01:14 PM,20-Jun-2020 03:00 PM,techsummary_55963.pdf (558.84 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,EXECUTIVE OFFICER,EXECUTIVE OFFICER MC NALAGARH,10-Jun-2020 06:00 PM,18-Jun-2020 03:00 PM,10-Jun-2020 06:00 PM,18-Jun-2020 10:30 AM,10-Jun-2020 06:00 PM ,17-Jun-2020 05:00 PM ,10-Jun-2020 06:00 PM,18-Jun-2020 10:30 AM,20-Jun-2020 03:00 PM,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Nalagarh - UDDHP,1MC-NLG(6)2020-21(1),2020_UDDHP_38004_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,300.0,EXECUTIVE OFFICER,NALAGARH,Yes,"10,500",Yes,fixed,,EXECUTIVE OFFICER,NALAGARH,Development of Gaushala near Ghat in w no 1 nalagarh,Development of Gaushala near Ghat in w no 1 nalagarh,Please refer Tender documents. ,NA ,"5,24,867",Civil Works - Roads,NA ,Tender,120.0,90.0,NALAGARH,174101.0,NA ,NA ,NA ,NALAGARH,No ,No,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,163117.0,davinder kumar govt cont,17-Jun-2020 07:15 PM,Rejected-Technical,irresponsive,20-Jun-2020 01:14 PM,,,,,,,,AOC,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,163002.0,Hardeep Singh Bedi,17-Jun-2020 01:55 PM,Rejected-Finance,L5 REJECTED,18-Jul-2020 07:26 PM,,,,,,,,AOC,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,163059.0,rehana,17-Jun-2020 11:44 PM,Rejected-Finance,L4 REJECTED,18-Jul-2020 07:26 PM,,,,,,,,AOC,,,.pdf,Sales tax registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,163025.0,Sh. Bhupinder Singh Badi S/o Sh. Kishan Singh,17-Jun-2020 02:46 PM,Rejected-Finance,L3 REJECTED,18-Jul-2020 07:26 PM,,,,,,,,AOC,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19 c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,162851.0,suriender,16-Jun-2020 05:57 PM,Accepted-AOC,AWARDED AFTER NEGOTIATION,18-Jul-2020 07:28 PM,,,,,,,,AOC,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of both gazetted and non-gazetted M C Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
