Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
27-Jul-2020,"INR 3,613,544",180.0,Yogesh Sharma,27-Jul-2020 04:26 PM,57.pdf (212.00 KB),AOC,Er JC Kanungo,Internal,Er JC Kanungo Suptt DAO DHD TA,Yogesh Sharma,27-Jul-2020 04:14 PM,finsummary_41162.pdf (17.92 KB),Er KS Pal,Internal,Suptt DAO DHD TA,Kamal Singh Pal,09-Oct-2019 04:23 PM,09-Oct-2019 04:25 PM,techsummary_41162.pdf (268.60 KB),PWD,2019_PWD_28590_5,PW.CHD.CB-E-9/18- 15082-181 DT 23.2.19,C/O Dhabas to Sarain road K. 0/0 to 10/0,Finance,Bid Opening Summary,Yogesh Sharma,27-Jul-2020 04:10 PM,finance_41162.pdf,BOQ Comparative Chart,1.0,119880.0,Naveen Kumar,INR,"3,613,544",Technical,Bid Opening Summary,Kamal Singh Pal,09-Oct-2019 04:19 PM,technical_41162.pdf,1.0,119959.0,AJAY CHAUHAN,27-Mar-2019 04:58 PM,Rejected-Technical,Non Responsive,09-Oct-2019 04:23 PM,AOC,EE Chopal,HPPWD CHOPAL,PWD,PW.CHD.CB-E-9/18- 15082-181 DT 23.2.19,2019_PWD_28590_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,22-Mar-2019 01:30 PM,29-Mar-2019 11:30 AM,22-Mar-2019 01:30 PM,27-Mar-2019 05:00 PM,NA ,NA ,22-Mar-2019 01:30 PM,27-Mar-2019 05:00 PM,09-Oct-2019 04:25 PM,500.0,EE Chopal,Chopal,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),C/O Dhabas to Sarain road K. 0/0 to 10/0,Please refer Tender documents.,Please refer Tender documents. ,NA ,"24,56,843",Civil Works - Roads,NA ,Tender,90.0,180.0,Chopal,171211.0,NA ,NA ,NA ,Chopal,No ,No,"45,000",No,fixed,,EE Chopal,Chopal,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,119752.0,Bharat Bhushan Govt. Contractor,27-Mar-2019 12:59 PM,Rejected-Technical,Non Responsive,09-Oct-2019 04:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,119719.0,DASU RAM,26-Mar-2019 03:53 PM,Rejected-Technical,Non Responsive,09-Oct-2019 04:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,119940.0,Mohar Singh Govt. Contractor,27-Mar-2019 02:23 PM,Rejected-Technical,Non Responsive,09-Oct-2019 04:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,119765.0,M/S KANT MOTORS AND HARDWARE,27-Mar-2019 02:09 PM,Rejected-Technical,Non Responsive,09-Oct-2019 04:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,119880.0,Naveen Kumar,26-Mar-2019 07:28 PM,Accepted-AOC,Accepted,27-Jul-2020 04:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,119925.0,Rai Singh,27-Mar-2019 11:11 AM,Rejected-Technical,Non Responsive,09-Oct-2019 04:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,119966.0,rajinder,27-Mar-2019 04:19 PM,Rejected-AOC,Rejected,27-Jul-2020 04:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,119950.0,SHASHI BHUSHAN,27-Mar-2019 02:51 PM,Rejected-Technical,Non Responsive,09-Oct-2019 04:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,119928.0,surender dutt,27-Mar-2019 11:53 AM,Rejected-Technical,Non Responsive,09-Oct-2019 04:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,AOC
