S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
1.0,149814.0,M/s Kamala Enterprises,17-Feb-2020 11:51 AM,Accepted-AOC,L1,23-Jul-2020 04:18 PM,Technical,SUMMARY,Vijay Kumar Verma,04-Mar-2020 03:12 PM,technical_50997.pdf,Er. M.R.Rana,Internal,"Er Manoj Sood, AE Palampur and AE to EE, Sh. Rajesh Sood Sr DAO, Sh Sunil Dutt Supdt, Sh Manoj Kumar HDM",Vijay Kumar Verma,04-Mar-2020 03:23 PM,05-Mar-2020 10:00 AM,techsummary_50997.pdf (1247.22 KB),Finance,SUMMARY,Vijay Kumar Verma,23-Jul-2020 03:24 PM,finance_50997.pdf,BOQ Comparative Chart,PWD,2020_PWD_34755_14,16281-331,Periodical Maintenance of PAROUR LAHLA DARATI GOPAIPUR BALLAH RAKH GHAMROAT JAYUN SUKERI ANDI BUNDLA PALAMPUR under MAJOR DISTRICT ROADS MDR055 (AMP 2020 21 Phase-I,Er. M.R. Rana,Internal,"Er Manoj Sood, AE Palampur and AE to EE, Sh. Rajesh Sood Sr. DAO, Sh Sunil Dutt Supdt, Sh Manoj Kumar HDM",Vijay Kumar Verma,23-Jul-2020 04:13 PM,finsummary_50997.pdf (593.00 KB),1.0,149814.0,M/s Kamala Enterprises,INR,"830,790",23-Jul-2020,"INR 636,547",60.0,Vijay Kumar Verma,23-Jul-2020 04:17 PM,File0001.PDF (1339.00 KB),AOC,AOC,PWD,16281-331,2020_PWD_34755_14,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,10-Feb-2020 04:00 PM,22-Feb-2020 11:30 AM,10-Feb-2020 04:05 PM,22-Feb-2020 11:00 AM,NA ,NA ,10-Feb-2020 04:10 PM,22-Feb-2020 11:00 AM,05-Mar-2020 10:00 AM,"12,800",No,fixed,,EE Palampur,EE Palampur,350.0,EE Palampur,EE Palampur,No,Periodical Maintenance of PAROUR LAHLA DARATI GOPAIPUR BALLAH RAKH GHAMROAT JAYUN SUKERI ANDI BUNDLA PALAMPUR under MAJOR DISTRICT ROADS MDR055 (AMP 2020 21 Phase-I,Providing AND Laying 30 mm thick Bitumen Concrete with Paver finisher in Km 31/400 to 32/000,Please refer Tender documents. ,NA ,"6,36,547",Civil Works - Roads,NA ,Tender,120.0,60.0,Palampur,176061.0,NA ,NA ,NA ,Palampur,No ,No,1.0,DD - Demand Draft,Executive Engineer,HPPWD DIVISION PALAMPUR,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document in shape of D.D. as per SBD.,AOC
2.0,149762.0,Sanjeev,16-Feb-2020 08:25 PM,Rejected-Finance,L2,23-Jul-2020 04:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,.pdf,Earnest money/Bid Security in shape of F.D.R. as per SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
