Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
03-Jul-2020,"INR 2,407,753",30.0,Sanjiv Mahajan,03-Jul-2020 10:51 AM,Award.pdf (172.00 KB),AOC,Sanjiv Mahajan,Internal,"Sh. Santosh Dyal, DAO Gr-I, Sh. Jiwan Singh , Supdt. Gr--II, Sh. Ajay kumar, HDM",Sanjiv Mahajan,03-Jul-2020 10:49 AM,finsummary_53426.pdf (25.54 KB),Sanjiv Mahajan,Internal,"Er. Rishi Kumar, A.E., Sh. S.K. Dayal (DAO) (Gr-I), Sh. Ajay Kumar Mahajan, HDM, Sh. Jiwan Singh, Supdt. (Gr-II)",Sanjiv Mahajan,22-Apr-2020 12:46 PM,22-Apr-2020 12:50 PM,techsummary_53426.pdf (120.33 KB),PWD,2020_PWD_36164_5,18679-18728 dt.7.3.2020,"Annual Maintenance Plan (AMP) of Lunj Sub Division for the year 2020-21 PMGSY Rural Road Tiara to Kangra via Shamirpur (HP0406VR083) km. 0/0 to 1/0, 1/0 to 2/0 and 2/0 to 3/0",Technical,Summary,Sanjiv Mahajan,22-Apr-2020 12:43 PM,technical_53426.pdf,1.0,156639.0,NAVNEET SHARMA GOVT. CONTRACTOR,02-Apr-2020 11:40 PM,Rejected-Finance,Rate higher side,03-Jul-2020 10:49 AM,1.0,156589.0,Navneet Thakur,INR,"2,607,230",Finance,Summary,Sanjiv Mahajan,03-Jul-2020 10:45 AM,finance_53426.pdf,BOQ Comparative Chart,AOC,"Annual Maintenance Plan (AMP) of Lunj Sub Division for the year 2020-21 PMGSY Rural Road Tiara to Kangra via Shamirpur (HP0406VR083) km. 0/0 to 1/0, 1/0 to 2/0 and 2/0 to 3/0","(SH - P/L 30mm thick bituminous concrete in km. 0/0 to 1/0, 1/0 to 2/0 and 2/0 to 3/0).",Please refer Tender documents. ,NA ,"24,07,753",Civil Works - Roads,NA ,Tender,120.0,30.0,items,176001.0,NA ,NA ,NA ,"Executive Engineer, HP.PWD., Division, Kangra",No ,No,19-Mar-2020 10:00 AM,03-Apr-2020 11:30 AM,19-Mar-2020 10:00 AM,03-Apr-2020 11:00 AM,NA ,NA ,19-Mar-2020 10:00 AM,03-Apr-2020 11:00 AM,22-Apr-2020 12:50 PM,"1,500",EE Kangra,Kangra,No,"43,650",No,fixed,,EE Kangra,Kangra,"Executive Engineer, HP.PWD., Division, Kangra","xecutive Engineer, HP.PWD., Division, Kangra",1.0,FDR - Fixed Deposit,PWD,18679-18728 dt.7.3.2020,2020_PWD_36164_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F(Required only National Bank ),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,156589.0,Navneet Thakur,01-Apr-2020 12:49 PM,Accepted-AOC,Award,03-Jul-2020 10:51 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,156585.0,pritam singh thkur,01-Apr-2020 12:08 PM,Rejected-Finance,Rate higher side,03-Jul-2020 10:49 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,156534.0,VP SHARMA,29-Mar-2020 04:40 PM,Rejected-Finance,Rate higher side,03-Jul-2020 10:49 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical staff required as per Clause 36(1(2) and 36(A),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of litigation case,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b and Sr. No-4 Schedule-D,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (Refer General Rule No-21),AOC
