Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Executive Engineer,Internal,"XEN, HDM, AE, Sr. Asstt",Ramesh Rana,09-Dec-2021 12:27 PM,finsummary_78324.pdf (191.76 KB),09-Dec-2021,"INR 817,017",60.0,Ramesh Rana,09-Dec-2021 12:31 PM,a.pdf (892.00 KB),PWD,2021_PWD_52422_1,PW-KD/E-Tender/2021-22-3605-07 dt 07-09-2021,Improvement of Marathu Tharolla Tahu Chunjer Road in K.M. 0/00 to 17/100,Executive Engineer,Internal,"XEN, AE, HDM, Sr. Asstt",Ramesh Rana,27-Sep-2021 11:48 AM,27-Sep-2021 11:50 AM,techsummary_78324.pdf (1149.41 KB),Technical,UPLOADED SUMMARY,Ramesh Rana,27-Sep-2021 11:47 AM,technical_78324.pdf,1.0,237259.0,dinesh,22-Sep-2021 03:30 PM,Rejected-Finance,L2 Bidder,09-Dec-2021 12:27 PM,1.0,237203.0,sandeep gangta govt contractor,INR,"896,688",Finance,summary uploaded,Ramesh Rana,09-Dec-2021 12:24 PM,finance_78324.pdf,BOQ Comparative Chart,AOC,17-Sep-2021 05:00 PM,23-Sep-2021 11:00 AM,17-Sep-2021 05:00 PM,22-Sep-2021 06:00 PM,17-Sep-2021 05:00 PM ,20-Sep-2021 11:00 AM ,17-Sep-2021 05:00 PM,22-Sep-2021 06:00 PM,27-Sep-2021 11:50 AM,PWD,PW-KD/E-Tender/2021-22-3605-07 dt 07-09-2021,2021_PWD_52422_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Division HPPWD Kotkhai,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),1.0,ICICI BANK,"16,400",No,fixed,,Nil,Nil,350.0,Nil,Nil,No,Improvement of Marathu Tharolla Tahu Chunjer Road in K.M. 0/00 to 17/100,"C/o, R/Wall at R.D. 0/150 to 0/166.25 and 1/510 to 1/525",Please refer Tender documents. ,NA ,"8,17,017",Civil Works - Roads,NA ,Tender,90.0,60.0,Division Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,237203.0,sandeep gangta govt contractor,22-Sep-2021 02:53 PM,Accepted-AOC,Awarded to Lowest Bidder,09-Dec-2021 12:31 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
