Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Four BOQ and BOQ comparative Chart has been successfully generated and downloaded,Anil Verma,13-Oct-2021 05:54 PM,finance_76475.pdf,BOQ Comparative Chart,Technical,Out of five bidders committee found that four bidders are eligible.,Anil Verma,05-Oct-2021 11:36 AM,technical_76475.pdf,23-Dec-2021,"INR 84,992,980",450.0,Anil Verma,23-Dec-2021 12:20 PM,AwardSTP4.50MLD.pdf (1179.00 KB),Work Awarded to lowest bidder,"Er. Dharmendra Gill, CE",Internal,"Er. Upender Vaidya, SE SNR, Er. BS. Thakur SE (D), Er. Vivek Hazri EE (D), Er. Anil Verma EE SNR, Er. DC Rawat AE (D), Sh. Ashwani Sharma AC(FAS)",Anil Verma,05-Oct-2021 11:46 AM,06-Oct-2021 03:30 PM,techsummary_76475.pdf (858.37 KB),1.0,230883.0,21st Century Enviro Engineers Pvt. Ltd.,19-Aug-2021 03:36 PM,Rejected-AOC,other than lowest,23-Dec-2021 12:20 PM,1.0,229820.0,Oasis EPC Solutions Ltd,INR,0.0,"HP Irrigation and Public Health||S Nagar Circle,Irrigation and Public Health,HP||S.nagar,Irrigation and Public Health,HP",2021_HPIPH_51164_1,EE JSD SNR ES Tender/2020-7162-7210 dt. 12.08.2021,Upgradation of Sewage Treatment Plant Sundernagar and Providing sewerage connectivity to left out area under MC Sundernagar in Tehsil Sundernagar Distt Mandi HP,"Er. Dharmendra Gill, CE",Internal,"Er. Upender Vaidya, SE SNR, Er. B.S. Thakur SE(D), Er. Vivek Hazri, EE(D), Er. Anil Verma, EE SNR, Er, DC Rawat, AE(D), Sh. Ashwani Sharma, Assistant Controller",Anil Verma,13-Oct-2021 06:05 PM,finsummary_76475.pdf (858.37 KB),AOC,"8,50,000",No,fixed,,EE Sundernagar,Sundernagar,1.0,Fee,.pdf,Scan copy of bid security be submitted as per NIT,1.0,Office Order,Date,,12-Aug-2021 05:00 PM,24-Aug-2021 11:00 AM,12-Aug-2021 05:00 PM,23-Aug-2021 05:00 PM,NA ,NA ,12-Aug-2021 05:00 PM,23-Aug-2021 05:00 PM,06-Oct-2021 03:30 PM,EE JS Division Sundernagar,EE JS Division Sundernagar,"2,500",EE Sundernagar,Sundernagar,No,1.0,ICICI BANK,"HP Irrigation and Public Health||S Nagar Circle,Irrigation and Public Health,HP||S.nagar,Irrigation and Public Health,HP",EE JSD SNR ES Tender/2020-7162-7210 dt. 12.08.2021,2021_HPIPH_51164_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Both(Online/Offline),No,No,No,Upgradation of Sewage Treatment Plant Sundernagar and Providing sewerage connectivity to left out area under MC Sundernagar in Tehsil Sundernagar Distt Mandi HP,SH Upgradation of existing 3.54 MLD STP in MBBR technology including tertiary treatment automation of STP to upgraded capacity of 4.50 MLD including operation and maintenance of STP for five years,Please refer Tender documents. ,NA ,"8,49,92,980",Miscellaneous Works,NA ,Tender,180.0,450.0,Sundernagar,175018.0,NA ,NA ,NA ,Sundernagar,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,230877.0,Hydrotech Paryavaran India Pvt. Ltd.,23-Aug-2021 03:41 PM,Rejected-AOC,Lowest bidder,23-Dec-2021 12:20 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Scanned copy of cost of bid be deposited as per NIT,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,3.0,230545.0,MM ENVIRO PROJECTS PRIVATE LIMITED,23-Aug-2021 02:23 PM,Not Admitted-PreQual/Technical,Others-Firm have uploaded the registration certificate having work capacity of Rs. 750.00 lakh which is less than the DNIT amount and does not fulfil the NIT criteria.,05-Oct-2021 11:36 AM,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Scan copy of contractor registration as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,4.0,229820.0,Oasis EPC Solutions Ltd,23-Aug-2021 02:12 PM,Accepted-AOC,other than lowest,23-Dec-2021 12:20 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Scanned copy of PAN and GST registration as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,5.0,230904.0,RK Gupta AND CO,23-Aug-2021 04:54 PM,Rejected-AOC,other than lowest,23-Dec-2021 12:20 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Scan copy of undertaking as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Scanned copy of an affidavit that the firm has not ever been black listed as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Scan copy of authorization certificated of DSC as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Scan copy of annual financial turn over during las 3 years ending 3/2021 as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Scan copy of experience of similar work completed last 7 years as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Joint venture is not allowed as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
