S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
1.0,192763.0,akash,22-Dec-2020 10:50 AM,Accepted-AOC,awarded,29-Dec-2021 03:48 PM,Executive Engineer,Internal,Suptd. HDM. Dealing Assistant,Mohd. Arshad Rehman,29-Jan-2021 12:39 PM,29-Jan-2021 01:00 PM,techsummary_63990.pdf (253.56 KB),29-Dec-2021,"INR 11,187,201",120.0,Tilak Raj Pathak,29-Dec-2021 03:48 PM,AWD.pdf (197.00 KB),work award to sh Aakash sharma,Technical,BID Summury,Mohd. Arshad Rehman,29-Jan-2021 12:11 PM,technical_63990.pdf,Finance,Financial Bid,Mohd. Arshad Rehman,01-Jun-2021 02:52 PM,finance_63990.pdf,BOQ Comparative Chart,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nauradhar Dn,Irrigation and Public Health,HP",2020_HPIPH_43209_1,13915-14016 dated 14-12-2020,Providing LWSS for PC hab. of various GP under IPH Sub Division Rajgarh Tehsil Rajgarh DIstt. Sirmour,1.0,192763.0,akash,INR,"11,187,201",Superintending Engineer,Internal,TA DAO Gr-II DHD Suptd.,Tilak Raj Pathak,29-Dec-2021 03:43 PM,finsummary_63990.pdf (199.36 KB),AOC,14-Dec-2020 06:00 PM,22-Dec-2020 11:30 AM,14-Dec-2020 06:00 PM,22-Dec-2020 11:00 AM,NA ,NA ,14-Dec-2020 06:00 PM,22-Dec-2020 11:00 AM,29-Jan-2021 01:00 PM,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nauradhar Dn,Irrigation and Public Health,HP",13915-14016 dated 14-12-2020,2020_HPIPH_43209_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Annual Turn over last three year,Providing LWSS for PC hab. of various GP under IPH Sub Division Rajgarh Tehsil Rajgarh DIstt. Sirmour,"SH- Laying and Jointing, testing and commissioning of GMS pipe line in distribution system and providing FHTC to balance house holds",Please refer Tender documents. ,NA ,,Civil Works,Distribution system ,Tender,120.0,120.0,Nohradhar,173104.0,NA ,NA ,NA ,Nohradhar,No ,No,"1,63,200",Yes,fixed,,EE Nohradhar,Nohradhar,"1,500",EE Nohradhar,Nohradhar,No,Executive Engineer,Jal Shakti Division Nohradhar,AOC
2.0,192887.0,competent associates,22-Dec-2020 10:38 AM,Rejected-Finance,Rejected,29-Dec-2021 03:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Work done as per NIT terms and condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,192726.0,KULDEEP SHARMA,22-Dec-2020 10:51 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Jan-2021 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest copy of Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,192723.0,Sai Aqua Machines and Builders,21-Dec-2020 06:11 PM,Rejected-Finance,Rejected,29-Dec-2021 03:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,cost of tender in favor of EE NOhradhar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5.0,192599.0,shiv iron general engineers,21-Dec-2020 01:43 PM,Rejected-Finance,Rejected,29-Dec-2021 03:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money duly pledged in favor of EE Nohradhar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that firm/contractor not blacklisted by the Govt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income tax return for the year 2019-20 and GST clearnce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
