S.No,Instrument Type,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,DD - Demand Draft,EE Rampur,EE B and R Division HPWD Rampur,500.0,EE Rampur,Rampur,Yes,19-Jul-2021 12:00 PM,26-Jul-2021 11:00 AM,19-Jul-2021 12:00 PM,26-Jul-2021 09:00 AM,19-Jul-2021 12:00 PM ,26-Jul-2021 09:00 AM ,19-Jul-2021 12:00 PM,26-Jul-2021 09:00 AM,29-Jul-2021 11:00 AM,Improvement of black spot on Rohru Sungri Bahli Taklech Nogli road Km. 27.000 to 80.000,"SH C.O wire crate R.wall for improvement of narrow patch at RD 29.345 to 29.360, 29.700 to 29.712, 37.240 to 37.300, 37.870 to 37.890 and 39.780 to 39.790",Please refer Tender documents. ,NA ,"12,28,665",Coal,NA ,Tender,90.0,NA ,EE B and R Division HPPWd Rampur,172001.0,NA ,NA ,NA ,EE Rampur,No ,No,"24,500",Yes,fixed,,EE Rampur,Rampur,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),PWD,PW/RMP/TA/2021-2934-36 dated 30.06.2021,2021_PWD_50050_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,1.0,224207.0,DHARAM PAL GOVT CONTRACTOR,24-Jul-2021 03:11 PM,Accepted-AOC,1st lowest,24-Dec-2021 12:34 PM,Technical,Proceeding,Sandeep Sobti,28-Jul-2021 04:36 PM,technical_74865.pdf,1.0,224207.0,DHARAM PAL GOVT CONTRACTOR,INR,"1,152,256",Finance,Proceeding,Sandeep Sobti,24-Dec-2021 12:21 PM,None,BOQ Comparative Chart,PWD,2021_PWD_50050_1,PW/RMP/TA/2021-2934-36 dated 30.06.2021,Improvement of black spot on Rohru Sungri Bahli Taklech Nogli road Km. 27.000 to 80.000,Er. S.K. Sobti,Internal,AE Rampur DHD,Sandeep Sobti,28-Jul-2021 04:42 PM,29-Jul-2021 11:00 AM,techsummary_74865.pdf (277.02 KB),Er. S.K. Sobti,Internal,DAO Supdt,Sandeep Sobti,24-Dec-2021 12:30 PM,finsummary_74865.pdf (277.02 KB),24-Dec-2021,"INR 1,228,665",120.0,Sandeep Sobti,24-Dec-2021 12:34 PM,DharamPal50050.pdf (572.00 KB),Award letter,AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,,,,,,,,,AOC,2.0,224257.0,NARAYAN SINGH,24-Jul-2021 03:24 PM,Rejected-AOC,2nd lowest,24-Dec-2021 12:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General Rule No 21),,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and detail of ongoing works (Refer General Rule No 19),,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration under Employees Provident Funds and Miscellaneous Provision act 1952,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Clearance of GST return attested by CA.,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
