Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Balance work of C/o link road from Garh Boun to Upper Malkehar Chander to Chah road Km 0/0 to 1/300,"C/o R/wall at RD 1/210 to 1/263 (both sides), B/wall at RD 0/560 to 0/620 and 0/635 to 0/680, C/o 1.00 mtr. Span Kuhal crossing at RD 1/295, 1.00 mtr. Span RCC culvert at RD 1/209 and U-shape drain at RD 0/710 to 0/910",Please refer Tender documents. ,NA ,"9,42,355",Civil Works - Roads,NA ,Tender,120.0,180.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,PWD,Garh Boun to Upper Malkehar Chander to Chah,2021_PWD_47688_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form to be submitted through online.,"18,900",No,fixed,,Nil,Nil,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,30-Jun-2021 10:00 AM,09-Jul-2021 11:30 AM,30-Jun-2021 10:05 AM,09-Jul-2021 11:00 AM,NA ,NA ,30-Jun-2021 10:30 AM,09-Jul-2021 11:00 AM,17-Aug-2021 11:00 AM,350.0,Nil,Nil,No,1.0,ICICI BANK,AOC,PWD,2021_PWD_47688_2,Garh Boun to Upper Malkehar Chander to Chah,Balance work of C/o link road from Garh Boun to Upper Malkehar Chander to Chah road Km 0/0 to 1/300,Sh Manish Sehgal,Internal,Himanshu Verma AE Harjeet Singh Supdt Suresh Kumar HDM Suraj Parkash Sr DAO Manjeet Kumar Jr Asstt,Manish Sehgal,16-Aug-2021 02:32 PM,17-Aug-2021 11:00 AM,techsummary_73647.pdf (982.36 KB),SHRI MANISH SEHGAL,Internal,,Manish Sehgal,17-Dec-2021 11:14 AM,finsummary_73647.pdf (1252.39 KB),17-Dec-2021,"INR 1,154,703.2",180.0,Manish Sehgal,17-Dec-2021 11:18 AM,AOC.pdf (2813.00 KB),AOC,1.0,221968.0,SUDHA THAKUR,INR,"1,142,716",Finance,SUMMARY,Manish Sehgal,17-Dec-2021 11:11 AM,finance_73647.pdf,BOQ Comparative Chart,1.0,221042.0,Om Parkash,07-Jul-2021 03:45 PM,Rejected-AOC,BID RANK-L2,17-Dec-2021 11:18 AM,Technical,Bid opening summary,Manish Sehgal,16-Aug-2021 02:30 PM,technical_73647.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money submitted through online duly pledged in favour of Executive Engineer, Bhawarna Divisi",,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,221968.0,SUDHA THAKUR,07-Jul-2021 06:47 PM,Accepted-AOC,BID RANK-L1,17-Dec-2021 11:18 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,221310.0,Virender Singh And Sons,07-Jul-2021 12:57 PM,Rejected-AOC,BID RANK-L3,17-Dec-2021 11:18 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration and PAN Copy.,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand.,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
